girtat	kirːtaht
unni	unːniː
bilkidit	pilːkiːtiht
bealgi	pea̯lːkiː
gealbu	kea̯lːpuː
lastan	lasːtan
niillas	nijllas
viessat	vie̯ssaht
jahki	jahkiː
bealdu	pea̯lːtuː
bearjadat	pea̯rːjataht
eappir	ea̯ppiːr
bolden	poːlːten
dávda	taːvːta
dievddu	tie̯vːttuː
dierbut	tie̯rːpuːht
ruolla	ruo̯lːla
liiva	lijːva
čeŋkkeš	t͡ʃeːŋkkeʃ
oaggut	oɑ̯ɡːɡuːht
já	jaː
olgun	olːkuːn
čuorpmas	t͡ʃuo̯rpmas
leahki	lea̯hkiː
luiste	lujːste
bardit	parːtiːht
kránnjáid	kraːɲɲaːjt
bárut	paːruːht
veaksi	vea̯kːsiː
jalga	jalːka
gosse	kosse
gáddit	kaːdːdiːht
dálkkas	taːlkkas
guovža	kuo̯vːt͡ʃa
roabát	roɑ̯paːht
duvdni	tuvːtniː
guosmut	kuo̯sːmuːht
bárbmu	paːrːpmuː
árggit	aːrːkkiːht
čielgat	t͡ʃie̯lːkaht
dievasmahttit	tie̯vasmahːtiːht
geassi	kea̯sːsiː
njozet	ɲoːt͡seht
vatnat	vatnaht
giellá	kie̯llaː
eadnin	ea̯dːniːn
lossadeamos	lossate̯amos
illu	illuː
boksa	pokːsa
beštor	peʃːtor
borran	porran
váilut	vaːjːluːht
guossi	kuo̯sːsiː
bieđut	pie̯ðuːht
leavvat	lea̯vvaht
boaldit	poɑ̯lːtiːht
jallas	jallas
gessen	keːssen
gussa	kussa
dávdi	taːvːtiː
idjadit	iɟɟatiht
goikásit	kojːkaːsiht
salla	salla
mirkko	mirkko
govahallat	kovahallaht
rápmi	raːpmiː
čáhppat	t͡ʃaːhːpaht
deatte	te̯atte
goahti	koɑ̯htiː
nullet	nuːlleht
dikŋa	titɲa
sarrit	sarriːht
čielga	t͡ʃie̯lːka
čurti	t͡ʃurːtiː
issorit	issoriht
alvvaheapme	alvvahe̯apme
iskat	isːkaht
basastit	pasastiht
ŧ	θ
čakča	t͡ʃakːt͡ʃa
čuovgat	t͡ʃuo̯vːkaht
ipmi	ipmiː
árves	aːrːves
lehkos	leːhkos
buohccát	puo̯hːt͡saːht
hállan	haːllan
ahkáduvvat	ahkaːtuvvaht
muhto	muhto
šallju	ʃaʎːʎuː
burke	purːke
bala	pala
neon	neːon
suotnju	suo̯tɲuː
čealluladdat	t͡ʃea̯lluːladːdaht
beage	pe̯ake
almmuheapmi	almmuːhea̯pmiː
duipi	tujːpiː
jalkát	jalːkaːht
čitnut	t͡ʃitnuːht
luodda	luo̯dːda
dunin	tuːniːn
beallji	pea̯ʎːʎiː
aste	asːte
gealut	kea̯luːht
roŋge	roŋːke
boazu	poɑ̯t͡suː
muiten	mujːten
vuohpput	vuo̯hːpuːht
málle	maːlːle
vuoksá	vuo̯kːsaː
doaivut	toɑ̯jːvuːht
eale	e̯ale
láibu	laːjːpuː
evttohit	evttohiht
čađđa	t͡ʃaðða
gáisá	kaːjːsaː
vuohttit	vuo̯hːtiːht
lumma	lumːma
ballat	pallaht
mii	mij
ruškadeamos	ruʃːkate̯amos
don	ton
dáidda	taːjːtta
guovla	kuo̯vːla
ruopma	ruo̯pma
áibbas	aːjːppas
áddjá	aːɟːɟaː
moddját	moɟːɟaːht
bihppor	pihːpor
ohca	oht͡sa
vielppis	vie̯lppiːs
ammal	ammal
cappis	t͡sappiːs
bahát	pahaːht
bávkit	paːvːkiːht
árgges	aˑrːkkes
njuolgut	ɲuo̯lːkuːht
geassi	kea̯ssiː
ealáhus	ea̯laːhus
muohta	muo̯hta
beroštupmi	peːroʃtupmiː
dáidu	taːjːtuː
guolbmat	kuo̯lːpmaht
reavvat	rea̯vvaht
balli	palːliː
oattes	o̯ɑttes
láikkit	laːjkkiːht
vuoras	vuo̯ras
faggut	faɡːɡuːht
alloska	alloska
lávlageame	laːvːlake̯ame
riekti	rie̯kːtiː
ledjet	leɟɟeht
dáđvi	taːðːviː
čuođát	t͡ʃuo̯ðaːht
grámmá	kraːmːmaː
ráhkistit	raːhkiːstiht
caggat	t͡saɡːɡaht
bordá	porːtaː
gálgi	kaːlːkiː
ilus	iluːs
apmasit	apmasiht
borre	porre
ala	ala
jus	jus
ollán	ollaːn
galgat	kalːkaht
miehtá	mie̯htaː
dárustit	taːruːstiht
fargga	farːkka
gii	kij
áigá	aːjːkaː
riggut	riɡːɡuːht
fállat	faːllaht
bussá	pusːsaː
čeargat	t͡ʃea̯rːkaht
áibmi	aːjːpmiː
buohkat	puo̯hkaht
gákti	kaːkːtiː
geahččalit	kea̯hːt͡ʃaliht
livččiiga	livtt͡ʃijka
čaibmat	t͡ʃajːpmaht
jurdda	jurːtta
árggimus	aːrːkkiːmus
čálli	t͡ʃaːlːliː
juohkehaš	ju̯ohkehaʃ
bárdni	paːrːtniː
bahá	pahaː
dutnje	tutɲe
alva	alːva
arvvosmahttit	arvvosmahːtiːht
luiken	luːjːken
bossu	possuː
gáfe	kaːfe
du	tuː
roandit	roɑ̯nːtiːht
ođđa	oðða
klora	kloːra
cáhkit	t͡saːhkiːht
njálmmi	ɲaːlmmiː
vuohki	vuo̯hkiː
njuovvat	ɲuo̯vvaht
geafes	ke̯afes
nuorttu	nuo̯rttuː
čolga	t͡ʃolːka
sáhppadit	saːhːpatiht
oaksi	oɑ̯kːsiː
bávlos	paːvːlos
čeavlámus	t͡ʃea̯vːlaːmus
bievval	pie̯vval
eaktu	ea̯kːtuː
rievnnu	rie̯vnnuː
boson	poson
roggi	roɡːɡiː
loaktit	loɑ̯kːtiːht
čuovgadeamos	t͡ʃuo̯vːkate̯amos
jierbmi	jie̯rːpmiː
dálvi	taːlːviː
nihlla	nil̥l̥a
vuossi	vuo̯sːsiː
ruoŧŧa	ruo̯θθa
čuovga	t͡ʃuo̯vːka
buškit	puʃːkiːht
čipma	t͡ʃipma
gielddu	kie̯lːttuː
gillát	kilːlaːht
golgat	kolːkaht
dábálaš	taːpaːlaʃ
duoggi	tuo̯ɡːɡiː
rievdnu	rie̯vːtnuː
láppis	laːppiːs
ležže	ledːd͡ʒe
čiehppa	t͡ʃie̯hːpa
hoallat	hoɑ̯llaht
diibmá	tijːpmaː
ledje	leɟɟe
duovli	tuo̯vːliː
fas	fas
leagi	lea̯kiː
leažžabehtet	lea̯dːd͡ʒapeːhteht
guoggut	kuo̯ɡːɡuːht
reavrut	rea̯vːruːht
mannat	mannaht
heaibat	hea̯jːpaht
gora	kora
suovnnji	suo̯vɲɲiː
váttes	vaˑttes
on	oːn
málta	maːlːta
lákca	laːkːt͡sa
oliime	olijme
máltit	maːlːtiːht
goarkŋun	koɑ̯rtɲuːn
gávdnat	kaːvːtnaht
justa	jusːta
mokta	mokːta
čollut	t͡ʃolluːht
konto	kʰonːto
easka	ea̯sːka
doaimmahus	toɑ̯jmmahus
gutna	kutna
gihpu	kihpuː
bearal	pea̯ral
riššu	riʃʃuː
sárggis	saːrːkkiːs
jáhkkit	jaːhːkiːht
dárru	taːrruː
njukča	ɲukːt͡ʃa
dearvva	tea̯rvva
jiehtanas	jie̯htanas
doapmat	toɑ̯pmaht
huhttát	huhːtaːht
láse	laːse
teret	tʰeːreht
ballalas	pallalas
golli	kolːliː
holle	hoːlle
gáranas	kaːranas
alladávttálaš	allataːvttaːlaʃ
jorbaseamos	jorːpase̯amos
láigohit	laːjːkohiht
njuorju	ɲuo̯rːjuː
oppa	oppa
čivga	t͡ʃivːka
baldu	palːtuː
beanna	pea̯nːna
leidde	lejːtte
viehkat	vie̯hkaht
satmi	satːmiː
dudnuide	tudːnujte
vuol	vuo̯l
heaŋgát	hea̯ŋːkaːht
rádjat	raːɟɟaht
čeavlát	t͡ʃea̯vːlaːht
bealušteaddji	pea̯luːʃtea̯ɟːɟiː
boahtte	po̯ɑhːte
čuopma	t͡ʃuo̯pma
rahpat	rahpaht
luike	luːjːke
guhtta	kuhːta
anár	anaːr
olmmái	olmmaːj
jurbmát	jurːpmaːht
gohččut	kohːt͡ʃuːht
oste	oːsːte
šaddat	ʃadːdaht
oastit	oɑ̯sːtiːht
garrasit	karrasiht
bargu	parːkuː
viisses	vijsses
nuorasmit	nuo̯rasmiht
leandit	lea̯nːtiːht
beavrrehis	pe̯avrrehis
ruoksadit	ruo̯kːsatiht
villat	vilːlaht
addjohit	aɟːɟohiht
juokŋat	juo̯tɲaht
iežat	ie̯t͡ʃaht
eanodat	e̯anotaht
gealdit	kea̯lːtiːht
borgat	porːkaht
njoammut	ɲoɑ̯mmuːht
doaimmalaš	toɑ̯jmmalaʃ
gieddi	kie̯dːdiː
čuohkat	t͡ʃuo̯hkaht
lei	lej
dáigi	taːjːkiː
maŋis	maɲiːs
buotnjut	puo̯tɲuːht
riika	rijːka
muvra	muvːra
gieđbmi	kie̯ðːpmiː
lehket	leːhkeht
oahci	oɑ̯ht͡siː
romes	romes
hállu	haːlːluː
geafi	kea̯fiː
gelden	keːlːten
jorra	jorːra
ruoksi	ruo̯kːsiː
čađat	t͡ʃaðaht
logan	lokan
eadnis	ea̯dːniːs
deabbu	tea̯bːbuː
dieppe	ti̯eppe
geatki	kea̯tːkiː
darfi	tarːfiː
leahppi	lea̯hːpiː
gorro	koːrro
savu	savuː
njáldit	ɲaːlːtiːht
luiten	luːjːten
dehálaš	tehaːlaʃ
nealgut	nea̯lːkuːht
dealo	te̯alo
logat	lokaht
maŋŋit	maŋɲiːht
ráddut	raːdːduːht
mohkkámus	mohːkaːmus
duođamus	tuo̯ðamus
meahcci	mea̯hːt͡siː
ajihastit	ajiːhasːtiːht
dearvašeamos	tea̯rːvaʃe̯amos
gurut	kuruːht
njala	ɲala
giepma	kie̯pma
čavga	t͡ʃavːka
buvtta	puvtta
russo	ruːsso
eapmi	ea̯pmiː
sáibma	saːjːpma
lobis	lopiːs
labmát	labːmaːht
fidnu	fidːnuː
ivdnet	ivːtneht
suossa	suo̯ssa
rabat	rapaht
sáiva	saːjːva
hárve	haˑrːve
buoiddášit	puo̯jːttaːʃiht
saját	sajaːht
sárgi	saːrːkiː
bealkit	pea̯lːkiːht
aiddostassii	ajːttostassij
losimus	losiːmus
állát	alːlaːht
cuvket	t͡suːvːkeht
gievrramus	kie̯vrramus
njirvat	ɲirːvaht
mielas	mie̯las
ruoksat	ruo̯kːsaht
bierdni	pie̯rːtniː
bárra	paːrra
duohččat	tuo̯hːt͡ʃaht
julmmut	julmmuːht
silli	silliː
oađđit	oɑ̯ððiːht
gotka	kotːka
gargit	karːkiːht
jalŋŋis	jalŋɲiːs
ollo	oːllo
cahkkát	t͡sahːkaːht
bargat	parːkaht
ballu	palːluː
almmostahttit	almmostahːtiːht
dehálit	tehaːliht
buollát	puo̯lːlaːht
dehálaččamus	tehaːlatt͡ʃamus
vuole	vu̯ole
baldá	palːtaː
eahppi	ea̯hːpiː
ahkásaš	ahkaːsaʃ
čoavji	t͡ʃoɑ̯vːjiː
buikku	pujkkuː
boksen	pokːsen
ollibehtet	olliːpeːhteht
čuožžut	t͡ʃuo̯dːd͡ʒuːht
diibmu	tijːpmuː
horsta	horːsta
vovdna	vovːtna
gossen	kossen
buoidudit	puo̯jːtuːtiht
sámástit	saːmaːstiht
bivnnuhis	pivnnuːhis
máksit	maːkːsiːht
čielgi	t͡ʃie̯lːkiː
gudni	kudːniː
heaitit	hea̯jːtiːht
suhkkes	suːhːkes
áfáiduvvat	aːfaːjtuvvaht
bivnnuheapme	pivnnuːhe̯apme
iežas	ie̯t͡ʃas
girdno	kirːtno
goahcat	koɑ̯ht͡saht
addilit	adːdiːliht
viežžat	vie̯dːd͡ʒaht
dietnut	tie̯tnuːht
bábir	paːpiːr
guohpput	kuo̯hːpuːht
gođđit	koðːðiːht
buktu	pukːtuː
raban	rapan
nuortalaš	nuo̯rːtalaʃ
buđet	puðeht
himsi	himːsiː
dutkat	tutːkaht
birra	pirra
alvvalaš	alvvalaʃ
borri	porːriː
sarva	sarːva
gisse	kiːsse
dovddaldat	tovːttaltaht
álkes	aˑlːkes
vearri	vea̯rriː
rážžat	raːdːd͡ʒaht
garra	karra
loavdit	loɑ̯vːtiːht
nordat	norːtaht
massit	masːsiːht
ealán	ea̯laːn
dávgi	taːvːkiː
oapmet	o̯ɑpmeht
maŋit	maɲiːht
uksa	ukːsa
doboš	toːpoʃ
dállas	taːllas
čiktit	t͡ʃikːtiːht
gieggat	kie̯ɡːɡaht
human	human
dorvu	torːvuː
duolbut	tuo̯lːpuːht
logu	lokuː
njammot	ɲamːmoht
jođánis	joðaːnis
gáffe	kaːffe
márfi	maːrːfiː
doalvi	toɑ̯lːviː
ollon	oːllon
jalgadit	jalːkatiht
gáhččat	kaːhːt͡ʃaht
ceavvi	t͡sea̯vviː
butnjat	putɲaht
čeahppi	t͡ʃea̯hːpiː
gáisi	kaːjːsiː
gorru	korːruː
máhccat	maːhːt͡saht
biddu	pidːduː
ásahit	aːsahiht
fuorrá	fuo̯rraː
čákŋat	t͡ʃaːtɲaht
ane	ane
eahccit	ea̯hːt͡siːht
láikkimus	laːjkkiːmus
ieža	ie̯t͡ʃa
dolastaddat	tolastadːdaht
addámuš	adːdaːmuʃ
gulcat	kulːt͡saht
čalmmeheapme	t͡ʃalmmehe̯apme
mannan	mannan
bleahkka	plea̯hːka
muolddat	muo̯lːttaht
romis	romiːs
oza	ot͡sa
časkit	t͡ʃasːkiːht
baldit	palːtiːht
guhkes	kuhkes
gáma	kaːma
bláđđi	plaːððiː
cuovcca	t͡suo̯vtt͡sa
luite	luːjːte
áltá	aːlːtaː
amiidit	amijtiht
njuoratmánná	ɲuo̯ratmaːnnaː
čuolggu	t͡ʃuo̯lːkkuː
rátnáseamos	raːtnaːse̯amos
jugahahtti	jukahahːtiː
rimsi	rimːsiː
sullii	sullij
beastit	pea̯sːtiːht
nuorvvu	nuo̯rvvuː
cinná	t͡sinːnaː
bártni	paːrtniː
gavja	kavːja
iežade	ie̯t͡ʃate
beaiveloddi	pea̯jːvelodːdiː
vuosttaš	vuo̯staʃ
guhtemuš	kuhtemuʃ
báhcit	paːht͡siːht
goalmmát	koɑ̯lmmaːht
ellen	eːllen
násti	naːsːtiː
máhttit	maːhːtiːht
oliidet	olijteht
biera	pie̯ra
loddi	lodːdiː
sávaldat	saːvaltaht
bullet	puːlleht
guolli	kuo̯lliː
báralaš	paːralaʃ
ivdni	ivːtniː
anatomiija	anatʰomijja
dahku	tahkuː
jalgadeamos	jalːkate̯amos
čuorgat	t͡ʃuo̯rːkaht
belohahkii	peːlohahkij
din	tiːn
cabbin	t͡sabːbiːn
čeavrris	t͡ʃea̯vrriːs
ađaiduvvat	aðajtuvvaht
cillat	t͡sillaht
geavaheaddji	kea̯vahea̯ɟːɟiː
save	save
fierrut	fie̯rruːht
oston	oːsːton
ruoidna	ruo̯jːtna
márfut	maːrːfuːht
nullos	nuːllos
oaidnaleapmi	oɑ̯jːtnalea̯pmiː
suorbma	suo̯rːpma
buhtes	puhtes
davrát	tavːraːht
njárbe	ɲaːrːpe
loahppat	loɑ̯hːpaht
nummir	nummiːr
leabba	lea̯bːba
táŋka	tʰaːŋːka
beađbi	pea̯ðːpiː
danne	tanne
árbi	aːrːpiː
guoccat	kuo̯tt͡saht
njamat	ɲamaht
gáskit	kaːsːkiːht
duddjot	tuːɟːɟoht
ollen	ollen
buhttásit	puhːtaːsiht
bárbmoloddi	paːrːpmolodːdiː
gessos	keːssos
oliimet	olijmeht
ráigi	raːjːkiː
duogŋat	tuo̯dːɲaht
njavge	ɲavːke
láhčit	laːht͡ʃiːht
logai	lokaj
viššat	viʃʃaht
dáhpi	taːhpiː
addálit	adːdaːliht
cagan	t͡sakan
duski	tusːkiː
mordon	moːrːton
dárbbuheapme	taːrːppuːhe̯apme
guvri	kuvːriː
vuolgit	vuo̯lːkiːht
ciellat	t͡sie̯llaht
goivo	koːjːvo
spáillit	spaːjlliːht
muoddá	muo̯dːdaː
áppes	aːppes
gilvu	kilːvuː
duhát	tuhaːht
alli	alːliː
eahket	e̯ahkeht
bivvalis	pivvalis
čiekŋalis	t͡ʃie̯tɲalis
duháhat	tuhaːhaht
gilljut	kiʎːʎuːht
imit	imiːht
čuoldit	t͡ʃuo̯lːtiːht
riitát	rijːtaːht
alimahtes	aliːmahtes
hieibmat	hie̯jːpmaht
astu	asːtuː
ruškkut	ruʃkuːht
sarcut	sarːt͡suːht
jorgalit	jorːkaliht
lihppu	lihːpuː
oalle	o̯ɑlle
máze	maːt͡se
náđđut	naːððuːht
vuossa	vuo̯ssa
dierbi	tie̯rːpiː
albmudit	alːpmuːtiht
alimus	aliːmus
ruodnát	ruo̯dːnaːht
suohkku	suo̯hːkuː
balus	paluːs
rávis	raːviːs
duohta	tuo̯hta
veadjemeahttunvuohta	vea̯ɟɟemea̯hːtuːnvuo̯hta
ađđamahttá	aððamahːtaː
njealját	ɲea̯ʎʎaːht
njunni	ɲunniː
galle	kalːle
rádji	raːɟɟiː
guđju	kuðːjuː
bálbma	paːlːpma
rahkat	rahkaht
sahkanit	sahkaniht
boagustit	poɑ̯kuːstiht
beston	peːsːton
leaŋgga	lea̯ŋːkka
máinnastit	maːjnnastiht
muhttit	muhːtiːht
doarridit	toɑ̯rriːtiht
lokten	lokːten
cahppát	t͡sahːpaːht
leaira	lea̯jːra
dolat	tolaht
suođđat	suo̯ððaht
sávvat	saːvvaht
divvut	tivvuːht
rávdu	raːvːtuː
gullu	kulluː
addon	adːdon
ihkku	ihːkuː
skaipi	skajːpiː
atnu	atnuː
badji	paɟɟiː
borgárlaš	porːkaːrlaʃ
ilu	iluː
gossat	kossaht
doaibmat	toɑ̯jːpmaht
dápmat	taːpmaht
fuolki	fuo̯lːkiː
kálka	kʰaːlːka
balan	palan
čoavdit	t͡ʃoɑ̯vːtiːht
sáhttit	saːhːtiːht
neahpi	nea̯hpiː
báidi	paːjːtiː
čaimmas	t͡ʃajmmas
luoikat	luo̯jːkaht
čuođi	t͡ʃuo̯ðiː
jaskadit	jasːkatiht
gulaš	kulaʃ
ruonámus	ruo̯naːmus
geaŧŧu	kea̯θθuː
miella	mie̯lla
basii	pasij
átnut	aːtnuːht
biigot	pijːkoht
cuokca	t͡suo̯kːt͡sa
áiti	aːjːtiː
čorru	t͡ʃorruː
gaskavuohta	kasːkavuo̯hta
hivsset	hivsseht
garca	karːt͡sa
áitit	aːjːtiːht
hurri	hurːriː
biise	pijːse
ađahuvvat	aðahuvvaht
eatnit	ea̯tniːht
fárfu	faːrːfuː
baldi	palːtiː
njanzát	ɲanːt͡saːht
liidni	lijːtniː
friddjamus	friɟːɟamus
submi	subːmiː
áicat	aːjːt͡saht
doaimmaheapme	toɑ̯jmmahe̯apme
dorski	torːskiː
bikten	pikːten
molli	molːliː
alit	aliːht
bánno	paːnːno
snielut	snie̯luːht
balut	paluːht
ballen	pallen
ája	aːja
oasi	oɑ̯siː
jápmit	jaːpmiːht
čáhppes	t͡ʃaːhːpes
távval	tʰaːvval
duivi	tujːviː
ceggosit	t͡seːɡːɡosiht
čoalbmi	t͡ʃoɑ̯lːpmiː
joatkit	joɑ̯tːkiːht
okta	okːta
nuorat	nuo̯raht
ruossut	ruo̯ssuːht
risttalaš	ristalaʃ
livččii	livtt͡ʃij
njaŋgát	ɲaŋːkaːht
aivvefal	ajvvefal
jođánit	joðaːniht
duoršu	tuo̯rːʃuː
diksu	tikːsuː
áhtat	aːhtaht
loga	loka
náhkki	naːhːkiː
njuikut	ɲujːkuːht
biehkan	pie̯hkan
giehpa	kie̯hpa
riktes	riːkːtes
davis	taviːs
geasset	ke̯asseht
guhte	kuhte
mođđi	moððiː
ráhput	raːhpuːht
čoarvi	t͡ʃoɑ̯rːviː
goallut	koɑ̯lluːht
luli	luliː
gába	kaːpa
báhčit	paːht͡ʃiːht
báraheapme	paːrahe̯apme
fierbmi	fie̯rːpmiː
dinguin	tiːnːkujn
šaldi	ʃalːtiː
sadjit	saɟɟiːht
ruškes	ruʃːkes
čoađgi	t͡ʃoɑ̯ðːkiː
dáčča	taːtt͡ʃa
dávžat	taːvːt͡ʃaht
čivrrus	t͡ʃivrruːs
leaččan	lea̯tt͡ʃan
sohka	sohka
molat	molaht
virgi	virːkiː
gádjut	kaːɟɟuːht
njuolgat	ɲuo̯lːkaht
báze	paːt͡se
giehka	kie̯hka
čuoigát	t͡ʃuo̯jːkaːht
čigŋát	t͡ʃidːɲaːht
ruojus	ruo̯juːs
gatna	katna
ruosta	ruo̯sːta
olle	olle
gávcci	kaːvtt͡siː
čájehit	t͡ʃaˑjehiht
addit	adːdiːht
lávlageatte	laːvːlake̯atte
jástit	jaːsːtiːht
borde	porːte
bollu	polːluː
gažaldat	kat͡ʃaltaht
vahkat	vahkaht
ipmil	ipmiːl
čorga	t͡ʃorːka
mearkkašit	mea̯rkkaʃiht
gievra	kie̯vːra
bassot	passoht
njuiket	ɲujːkeht
čiehka	t͡ʃie̯hka
dearvašit	tea̯rːvaʃiht
loaidat	loɑ̯jːtaht
čuovža	t͡ʃuo̯vːt͡ʃa
ladju	laɟɟuː
duopmu	tuo̯pmuː
áksi	aːkːsiː
njassat	ɲassaht
vihpat	vihpaht
issoreamos	issore̯amos
lávki	laːvːkiː
gulkat	kulːkaht
viissis	vijssiːs
gánda	kaːnːta
goldnat	kolːtnaht
moskát	mosːkaːht
jielti	jie̯lːtiː
ađa	aða
ballu	palluː
holbi	holːpiː
maid	majt
njuolggut	ɲuo̯lːkkuːht
agálaččat	akaːlatt͡ʃaht
vejolaš	vejolaʃ
dii	tij
suovssa	suo̯vssa
eatnat	ea̯tnaht
heŋge	heŋːke
sápmelaš	saˑpmelaʃ
jorri	jorːriː
goabbá	koɑ̯bːbaː
duđaheapme	tuðahe̯apme
njárbes	ɲaːrːpes
goaivut	koɑ̯jːvuːht
čatnat	t͡ʃatnaht
jallamus	jallamus
láiki	laːjːkiː
diŋgot	tiŋːkoht
sahčat	saht͡ʃaht
luoittu	luo̯jttuː
bokten	pokːten
beaivváš	pea̯jvvaːʃ
čuohppat	t͡ʃuo̯hːpaht
mannos	mannos
navdit	navːtiːht
rahkkes	rahːkes
seassat	sea̯ssaht
vuoddji	vuo̯ɟːɟiː
addet	adːdeht
suoggat	suo̯ɡːɡaht
olliba	olliːpa
bokte	pokːte
látna	laːtna
golbma	kolːpma
doavttir	toɑ̯vttiːr
hupmat	hupmaht
ruvdet	ruvːteht
heŋgo	heŋːko
viiddidit	vijːttiːtiht
rohtu	rohtuː
agis	akiːs
bullen	puːllen
mohkkái	mohːkaːj
hihttát	hihːtaːht
biddi	pidːdiː
nuorta	nuo̯rːta
vuollat	vuo̯llaht
oaivi	oɑ̯jːviː
soabbut	soɑ̯bːbuːht
giehta	kie̯hta
fális	faːliːs
bahás	pahaːs
ordi	orːtiː
čeavlás	t͡ʃea̯vːlaːs
boagán	poɑ̯kaːn
bohtanit	pohtaniht
lodji	loɟɟiː
čáihni	t͡ʃaːjːn̥iː
eai	ea̯j
etniin	eːtnijn
čáihmi	t͡ʃaːjːm̥iː
ávus	aːvuːs
dápmot	taːpmoht
doavggus	toɑ̯vːkkuːs
vielgat	vie̯lːkaht
doallat	toɑ̯llaht
nanosmit	nanosmiht
gohcit	koht͡siːht
širrat	ʃirraht
čáhccái	t͡ʃaːhːt͡saːj
beaska	pea̯sːka
veardi	vea̯rːtiː
čoska	t͡ʃosːka
toga	tʰoːka
váso	vaːso
oahpes	o̯ɑhpes
eallit	ea̯lliːht
čábbámus	t͡ʃaːbːbaːmus
divrras	tivrras
leigga	lejːkka
soahpat	soɑ̯hpaht
hullat	hullaht
baldalit	palːtaliht
beađđat	pea̯ððaht
áisá	aːjːsaː
gálbi	kaːlːpiː
vilges	viːlːkes
adde	adːde
náráš	naːraːʃ
lávlut	laːvːluːht
meahkástat	mea̯hkaːstaht
fáddá	faːdːdaː
čájáhus	t͡ʃaːjaːhus
oidit	ojːtiːht
gazo	kat͡so
dáidduheapme	taːjːttuːhe̯apme
šuohkkit	ʃuo̯hːkiːht
hilbbut	hilːppuːht
funet	fuːneht
siessá	sie̯ssaː
eadjit	ea̯ɟɟiːht
čuovggahit	t͡ʃuo̯vːkkahiht
hápmi	haːpmiː
suddat	sudːdaht
livččet	livtt͡ʃeht
deaddit	tea̯dːdiːht
heargi	hea̯rːkiː
sákta	saːkːta
mártá	maːrːtaː
nubbin	nubːbiːn
davvi	tavviː
ruovda	ruo̯vːta
lassa	lassa
jorbbot	jorːppoht
etniide	eːtnijte
šalbmi	ʃalːpmiː
geahpis	kea̯hpiːs
iežame	ie̯t͡ʃame
figge	fiɡːɡe
baikit	pajːkiːht
čeallulit	t͡ʃea̯lluːliht
čuoigat	t͡ʃuo̯jːkaht
gaiba	kajːpa
guorsat	kuo̯rːsaht
gálašit	kaːlaʃiht
njuvdit	ɲuvːtiːht
laigat	lajːkaht
ruoivát	ruo̯jːvaːht
lieksi	lie̯kːsiː
suorgi	suo̯rːkiː
biipu	pijːpuː
reabbá	rea̯bːbaː
gastá	kasːtaː
lihkkat	lihːkaht
bázzi	paːdːd͡ziː
boadnji	poɑ̯dːɲiː
