girtat	kirːtaht
bealjeheapme	pe̯aʎʎehe̯apme
ollet	olleht
duot	tuo̯ht
baggat	paɡːɡaht
leamaš	lea̯maʃ
fuones	fu̯ones
čielgaseamos	t͡ʃie̯lːkase̯amos
mánáidgárdi	maːnaːjtkaːrːtiː
máhtu	maːhtuː
áigi	aːjːkiː
luoitu	luo̯jːtuː
lebbes	leːbːbes
romi	romiː
ovcci	ovtt͡siː
čuorvut	t͡ʃuo̯rːvuːht
latnja	latɲa
cuhllat	t͡sul̥l̥aht
jabbut	jabːbuːht
bivvát	pivvaːht
ballot	palloht
logát	lokaːht
biergu	pie̯rːkuː
muitte	mujtte
čielggas	t͡ʃie̯lːkkas
holvut	holːvuːht
joahcat	joɑ̯ht͡saht
lono	lono
aldna	alːtna
buktit	pukːtiːht
rattis	rattiːs
áittar	aːjttar
njuoršu	ɲuo̯rːʃuː
albbas	alːppas
gumpe	kumːpe
doahput	toɑ̯hpuːht
gássa	kaːssa
oasis	oɑ̯siːs
dálvet	taˑlːveht
olát	olaːht
juge	juːke
cullat	t͡sullaht
deaivat	tea̯jːvaht
áidut	aːjːtuːht
ođut	oðuːht
oassi	oɑ̯ssiː
ollá	ollaː
gákkis	kaːkkiːs
davás	tavaːs
čelo	t͡ʃeːlo
gulat	kulaht
gokčat	kokːt͡ʃaht
nisu	nisuː
dieigut	tie̯jːkuːht
sárrat	saːrraht
riegádanbeaivi	rie̯kaːtanːpea̯jvi
guorbmi	kuo̯rːpmiː
njalgat	ɲalːkaht
mielddus	mie̯lːttuːs
fákta	faːkːta
cearki	t͡sea̯rːkiː
buvru	puvːruː
dásset	taːsːseht
ahkkás	ahːkaːs
boran	poran
čeahkka	t͡ʃea̯hːka
soadji	soɑ̯ɟɟiː
beassat	pea̯ssaht
háŋgu	haːŋːkuː
doppe	toːppe
ostos	oːsːtos
veaigi	vea̯jːkiː
dolalaš	tolalaʃ
millu	milːluː
laggat	laɡːɡaht
devdot	teːvːtoht
jaskat	jasːkaht
čiekčá	t͡ʃie̯kːt͡ʃaː
luotkkus	luo̯tkuːs
bealuštit	pea̯luːʃtiht
geahčastit	kea̯ht͡ʃastiht
báiki	paːjːkiː
basson	passon
náhpi	naːhpiː
cizáš	t͡sit͡saːʃ
áhpásmit	aːhpaːsmiht
vuolpu	vuo̯lːpuː
doaimmahat	toɑ̯jmmahaht
geahčču	kea̯hːt͡ʃuː
mollen	mollen
deakčut	tea̯kːt͡ʃuːht
romit	romiːht
vuodjut	vuo̯ɟɟuːht
bilbut	pilːpuːht
vuoiga	vuo̯jːka
gohccát	kohːt͡saːht
nave	nave
buorre	pu̯orre
juga	juka
lehpet	leːhpeht
njávkat	ɲaːvːkaht
humai	humaj
siedja	sie̯ɟɟa
dudno	tudːno
nála	naːla
čábbe	t͡ʃaːbːbe
biestit	pie̯sːtiːht
bakku	pakkuː
gaskii	kasːkij
čurge	t͡ʃurːke
dievdu	tie̯vːtuː
lotti	lottiː
siellu	sie̯lluː
niitu	nijːtuː
avis	aviːs
áices	aːjːt͡ses
čeaskkut	t͡ʃea̯skuːht
dorve	torːve
gávri	kaːvːriː
šođbbut	ʃoðːppuːht
datni	tatniː
doaivvuheapme	toɑ̯jvvuːhe̯apme
liiki	lijːkiː
juogut	juo̯kuːht
doarru	toɑ̯rruː
čuoivvat	t͡ʃuo̯jvvaht
ášši	aːʃːʃiː
ruohtas	ruo̯htas
ehpet	eːhpeht
volta	volːta
gohppi	kohːpiː
niitit	nijːtiːht
einnostus	eːjnnostus
oaidu	oɑ̯jːtuː
ruovttoluotta	ruo̯vttoluo̯tta
balai	palaj
coakcut	t͡soɑ̯kːt͡suːht
ravgat	ravːkaht
láhppi	laːhːpiː
oalli	oɑ̯lliː
gávdnot	kaːvːtnoht
rievssat	rie̯vssaht
adnostit	adːnostiht
jeaggi	jea̯ɡːɡiː
almmá	almmaː
duoddi	tuo̯dːdiː
ájáhallat	aːjaːhallaht
cuhpat	t͡suhpaht
dello	teːllo
álo	aːlo
čirrat	t͡ʃirraht
balde	palːte
mánnávuohta	maːnnaːvuo̯hta
dávjá	taːvːjaː
huikit	hujːkiːht
geavvat	kea̯vvaht
dákko	taːkko
guohkkat	kuo̯hːkaht
reaisu	rea̯jːsuː
jiekŋa	jie̯tɲa
guhkimus	kuhkiːmus
borden	porːten
boanda	poɑ̯nːta
bordos	porːtos
duopma	tuo̯pma
gierdat	kie̯rːtaht
leabbat	lea̯bːbaht
guoirat	kuo̯jːraht
boaris	poɑ̯riːs
čavgadit	t͡ʃavːkatiht
agi	akiː
biebmu	pie̯bːmuː
lehkon	leːhkon
cuvzat	t͡suvːt͡saht
sevnnjodeapmi	seːvɲɲotea̯pmiː
gielda	kie̯lːta
moni	moniː
juogadit	juo̯katiht
čávdit	t͡ʃaːvːtiːht
headju	hea̯ɟɟuː
dievas	tie̯vas
goasii	koɑ̯sij
gaivát	kajːvaːht
árvidit	aːrːviːtiht
gávccát	kaːvtt͡saːht
dieigu	tie̯jːkuː
livččiidet	livtt͡ʃijteht
russat	russaht
badjel	paɟɟel
áhkku	aːhːkuː
bihkka	pihːka
gožža	kodːd͡ʒa
dálvvadis	taːlvvatis
duostat	tuo̯sːtaht
čuvges	t͡ʃuːvːkes
basaldat	pasaltaht
oalul	oɑ̯luːl
vurket	vuːrːkeht
basset	passeht
jode	jote
áddehahtti	aːdːdehahːtiː
oabbá	oɑ̯bːbaː
čiekŋaleamos	t͡ʃie̯tɲale̯amos
boaráseamos	poɑ̯raːse̯amos
luotkkos	lu̯otkos
gievrrat	kie̯vrraht
altteson	altteson
cuohkki	t͡suo̯hːkiː
njulges	ɲuːlːkes
divrasit	tivːrasiht
moardit	moɑ̯rːtiːht
bora	pora
doahkki	toɑ̯hːkiː
duohpat	tuo̯hpaht
dovtta	tovtta
aivve	ajvve
dulden	tuːlːten
oattit	oɑ̯ttiːht
káffe	kʰaːffe
buokčat	puo̯kːt͡ʃaht
birrin	pirriːn
agálaš	akaːlaʃ
čádjidit	t͡ʃaːɟɟiːtiht
čahki	t͡ʃahkiː
juolgi	juo̯lːkiː
basahat	pasahaht
oppal	oppal
vuodjaláibi	vuo̯ɟɟalaːjːpiː
ruoŧagiella	ruo̯θakie̯lla
šibit	ʃipiːht
biktit	pikːtiːht
haksi	hakːsiː
čáppat	t͡ʃaːppaht
leat	lea̯ht
bárti	paːrːtiː
dieno	ti̯eno
duinna	tujnna
ádji	aːɟɟiː
heaŋgut	hea̯ŋːkuːht
geaidut	kea̯jːtuːht
oaddi	oɑ̯dːdiː
gobmi	kobːmiː
issoras	issoras
geaidit	kea̯jːtiːht
juksu	jukːsuː
gággat	kaːɡːɡaht
rikkes	rikkes
čorggut	t͡ʃorːkkuːht
nuondat	nuo̯nːtaht
boahtit	poɑ̯htiːht
iežamet	ie̯t͡ʃameht
coakcul	t͡soɑ̯kːt͡suːl
nulle	nuːlle
gaston	kasːton
áldu	aːlːtuː
gossos	kossos
dávvir	taːvviːr
odne	odːne
lihpi	lihpiː
duđahit	tuðahiht
biegga	pie̯ɡːɡa
avvit	avviːht
luoitit	luo̯jːtiːht
earti	ea̯rːtiː
culci	t͡sulːt͡siː
ráhpásmit	raːhpaːsmiht
oanimus	oɑ̯niːmus
allodat	allotaht
leačča	lea̯tt͡ʃa
almmolaš	almmolaʃ
snávggut	snaːvːkkuːht
duostilis	tuo̯sːtiːlis
ahkásii	ahkaːsij
oahpahit	oɑ̯hpahiht
vahca	vaht͡sa
deallut	tea̯lluːht
buođđu	puo̯ððuː
čorgadeamos	t͡ʃorːkate̯amos
ahkit	ahkiːht
jođán	joðaːn
nas	nas
nisun	nisuːn
dápmu	taːpmuː
ceahkki	t͡sea̯hːkiː
ádde	aːdːde
bušku	puʃːkuː
guoddit	kuo̯dːdiːht
čeahpes	t͡ʃe̯ahpes
dáhttut	taːhːtuːht
buvri	puvːriː
breahtta	prea̯hːta
čábbáseamos	t͡ʃaːbːbaːse̯amos
irrasit	irrasiht
lehkoska	leːhkoska
fiskadit	fisːkatiht
doaivva	toɑ̯jvva
ballon	pallon
sehkket	seːhːkeht
goargŋut	koɑ̯rːtɲuːht
čoavččis	t͡ʃoɑ̯vtt͡ʃiːs
gávpot	kaːvːpoht
lávlageattet	laːvːlake̯atteht
doppe	toppe
muitalus	mujːtalus
deavdit	tea̯vːtiːht
gopmat	kopmaht
gohcu	koht͡suː
gosahit	kosahiht
goikat	kojːkaht
gilvit	kilːviːht
uhkki	uhːkiː
manne	manne
giđđa	kiðða
riggi	riɡːɡiː
rátkit	raːtːkiːht
gárpa	kaːrːpa
hárcut	haːrːt͡suːht
rusta	rusːta
viđji	viðːjiː
veret	veːreht
kárta	kʰaːrːta
fanas	fanas
vára	vaːra
boahtal	poɑ̯htal
háŋgut	haːŋːkuːht
ruonát	ruo̯naːht
duotna	tuo̯tna
senet	seːneht
reakci	rea̯kːt͡siː
soahki	soɑ̯hkiː
njuoska	ɲuo̯sːka
riehpu	rie̯hpuː
loavdda	loɑ̯vːtta
geahči	kea̯ht͡ʃiː
bulki	pulːkiː
hahppit	hahːpiːht
alla	alla
suohpput	suo̯hːpuːht
vealgi	vea̯lːkiː
peanna	pʰea̯nːna
atnit	atniːht
hávga	haːvːka
riessat	rie̯ssaht
vuotna	vuo̯tna
rássi	raːssiː
sáhppi	saːhːpiː
čájihit	t͡ʃaːjiːhiht
cealkit	t͡sea̯lːkiːht
ássat	aːssaht
dudnon	tudːnon
ean	ea̯n
joksat	jokːsaht
čulggon	t͡ʃulːkkon
čáhci	t͡ʃaːht͡siː
sávri	saːvːriː
dáiddár	taːjːttaːr
oarji	oɑ̯rːjiː
láibi	laːjːpiː
ruovdi	ruo̯vːtiː
doadjit	toɑ̯ɟɟiːht
kássa	kʰaːsːsa
čábbát	t͡ʃaːbːbaːht
buvda	puvːta
oaidnaleapmái	oɑ̯jːtnalea̯pmaːj
eadniska	ea̯dːniːska
juoigat	juo̯jːkaht
láikkes	laˑjkkes
mugga	muɡːɡa
duollji	tuo̯ʎːʎiː
ruošši	ruo̯ʃʃiː
dot	toːht
vázzit	vaːdːd͡ziːht
luokčat	luo̯kːt͡ʃaht
juná	junaː
bronsa	pronːsa
dolin	toliːn
fierpmi	fie̯rpmiː
jietna	jie̯tna
girse	kirːse
ratni	ratniː
base	pase
liepma	lie̯pma
ruodjat	ruo̯ɟɟaht
ádjit	aːɟɟiːht
guoggát	kuo̯ɡːɡaːht
gárta	kaːrːta
iežadet	ie̯t͡ʃateht
dábba	taːbːba
bára	paːra
stetoskohppa	stetoskohpːɑ
gájot	kaːjoht
bolto	polːto
dohko	tohko
čujuhus	t͡ʃujuːhus
skurtnjas	skurtɲas
vuovda	vuo̯vːta
dássi	taːssiː
doaibma	toɑ̯jːpma
nahkihit	nahkiːhiht
gáhtat	kaːhtaht
bassat	passaht
ovdagovva	ovːtakovva
doaŋgi	toɑ̯ŋːkiː
buogu	puo̯kuː
beahttit	pea̯hːtiːht
áktit	aːkːtiːht
mánnu	maːnnuː
cáhpat	t͡saːhpaht
eará	ea̯raː
rásttis	raːstiːs
helvet	helːveht
etniiguin	eːtnijkujn
dássit	taːssiːht
veadju	vea̯ɟɟuː
haddi	hadːdiː
guovgát	kuo̯vːkaːht
gossan	kossan
roaibut	roɑ̯jːpuːht
oaidnit	oɑ̯jːtniːht
mana	mana
justit	jusːtiːht
geargat	kea̯rːkaht
sáđđat	saːððaht
duhtat	tuhtaht
golgadat	kolːkataht
áiru	aːjːruː
aldi	alːtiː
vuossu	vuo̯sːsuː
leimme	lejmme
lehkot	leːhkoht
čiehkat	t͡ʃie̯hkaht
siivu	sijːvuː
bordet	porːteht
dikšu	tikːʃuː
bealjeheamos	pe̯aʎʎehe̯amos
biila	pijːla
deapmat	tea̯pmaht
čalbmi	t͡ʃalːpmiː
čuohcat	t͡ʃuo̯ht͡saht
galgan	kalːkan
eŋgelas	eŋːkelas
munno	munːno
jiellat	jie̯llaht
áigodat	aːjːkotaht
sálbma	saːlːpma
báhcci	paːhːt͡siː
dáhpáhus	taːhpaːhus
beaivet	pe̯ajːveht
deaddu	tea̯dːduː
olmmoš	olmmoʃ
áddjut	aːɟːɟuːht
bielkka	pie̯lkka
oaidnalit	oɑ̯jːtnaliht
arvi	arːviː
boaski	poɑ̯sːkiː
suossat	suo̯ssaht
lákcut	laːkːt͡suːht
mánná	maːnnaː
seaggi	sea̯ɡːɡiː
čukčá	t͡ʃukːt͡ʃaː
minin	miːniːn
golbmii	kolːpmij
guolga	kuo̯lːka
rikkis	rikkiːs
cukcat	t͡sukːt͡saht
doarrát	toɑ̯rːraːht
aliheamos	aliːhe̯amos
coggat	t͡soɡːɡaht
arvit	arːviːht
njuiken	ɲujːken
ruoksát	ruo̯kːsaːht
čalmmeheamos	t͡ʃalmmehe̯amos
letne	letne
bastil	pasːtiːl
maŋŋel	maŋɲel
lávlageaskka	laːvːlakea̯ska
reahpen	rea̯hpen
dievvaseamos	tie̯vvase̯amos
ollut	olːluːht
dorvvolaččamus	torvvolatt͡ʃamus
buoiddes	pu̯ojːttes
bikte	pikːte
gissat	kissaht
čuolbmat	t͡ʃuo̯lːpmaht
čuvdi	t͡ʃuvːtiː
juvla	juvːla
lánto	laːnːto
kránnjá	kraːɲːɲaː
nolla	nolːla
bavssa	pavssa
dellos	teːllos
eadnái	ea̯dːnaːj
lulli	lulliː
rehppo	rehːpo
imis	imiːs
várdát	vaːrːtaːht
keallir	kʰea̯lliːr
nuortu	nuo̯rːtuː
máddi	maːdːdiː
geahčastat	kea̯ht͡ʃastaht
burrus	purruːs
ruobbi	ruo̯bːbiː
addálasat	adːdaːlasaht
girona	kiːrona
basahit	pasahiht
elle	eːlle
áidnu	aːjːtnuː
girdi	kirːtiː
suoldni	suo̯lːtniː
ollos	ollos
boasta	poɑ̯sːta
astos	asːtos
gávtti	kaːvttiː
it	iht
báddat	paːdːdaht
rišša	riʃːʃa
brillat	prillaht
oskut	osːkuːht
manale	manale
koahkka	kʰoɑ̯hːka
njeazzát	ɲea̯dːd͡zaːht
dassat	tassaht
moarsi	moɑ̯rːsiː
njallat	ɲallaht
hárdit	haːrːtiːht
áhpásmahttit	aːhpaːsmahːtiːht
rišša	riʃʃa
láibut	laːjːpuːht
dáhpáhuvvat	taːhpaːhuvvaht
seaidni	sea̯jːtniː
galgen	kalːken
darvi	tarːviː
dárbu	taːrːpuː
divri	tivːriː
monni	monniː
dábálaččat	taːpaːlatt͡ʃaht
njiellat	ɲie̯llaht
avvi	avviː
báffat	paːffaht
ruoŧŧelaš	ru̯oθθelaʃ
dáški	taːʃːkiː
guovda	kuo̯vːta
geaidi	kea̯jːtiː
ološ	oːloʃ
fuotnut	fuo̯tnuːht
várju	vaːrːjuː
duldet	tuːlːteht
váivi	vaːjːviː
boaibmut	poɑ̯jːpmuːht
sevnnjodit	seːvɲɲotiht
lábbá	laːbːbaː
mollet	molleht
leabbut	lea̯bːbuːht
sáhppat	saːhːpaht
fitnat	fitnaht
doarjut	toɑ̯rːjuːht
dávgut	taːvːkuːht
muitit	mujːtiːht
čuokkis	t͡ʃuo̯kkiːs
munnon	munːnon
guđat	kuðaht
leaikut	lea̯jːkuːht
kirku	kʰirːkuː
boaggut	poɑ̯ɡːɡuːht
doavki	toɑ̯vːkiː
vuoŋas	vuo̯ɲas
huma	huma
sámi	saːmiː
leaš	lea̯ʃ
borrá	porraː
goikáseamos	kojːkaːse̯amos
gohcut	koht͡suːht
guorbát	kuo̯rːpaːht
ráhkadit	raːhkatiht
asit	asiːht
vallji	vaʎːʎiː
gievrras	kie̯vrras
eaba	ea̯pa
boaššu	poɑ̯ʃːʃuː
loktat	lokːtaht
bieđgát	pie̯ðːkaːht
duoggut	tuo̯ɡːɡuːht
ráhkkásit	raːhːkaːsiht
akta	akːta
fagŋát	fadːɲaːht
lávlageamet	laːvːlake̯ameht
balahahtti	palahahːtiː
gullat	kullaht
čoaskkis	t͡ʃoɑ̯skiːs
gođđit	koððiːht
giksat	kikːsaht
diehtu	tie̯htuː
buhttáseamos	puhːtaːse̯amos
barut	paruːht
vuorbi	vuo̯rːpiː
eanet	e̯aneht
goansta	koɑ̯nːsta
diehppi	tie̯hːpiː
cuollat	t͡suo̯llaht
vátnat	vaːtnaht
niittu	nijttuː
čoavdda	t͡ʃoɑ̯vːtta
ruhta	ruhta
láhppu	laːhːpuː
heagga	hea̯ɡːɡa
čoaskámus	t͡ʃoɑ̯sːkaːmus
vieris	vie̯riːs
humat	humaht
gursa	kurːsa
miela	mie̯la
suopma	suo̯pma
jiehkki	jie̯hːkiː
cabbi	t͡sabːbiː
árpa	aːrːpa
nuoramus	nuo̯ramus
čierrá	t͡ʃie̯rːraː
agáiduvvat	akaːjtuvvaht
gurká	kurːkaː
muŋkát	muŋːkaːht
gusa	kusa
bieggat	pie̯ɡːɡaht
nagir	nakiːr
addálas	adːdaːlas
njalla	ɲalla
sárdnut	saːrːtnuːht
beassi	pea̯sːsiː
dinin	tiːniːn
jagi	jakiː
ráhkistuvvat	raːhkiːstuvvaht
hollos	hoːllos
nogai	nokaj
etniid	eːtnijt
girdit	kirːtiːht
deret	teːreht
reive	rejːve
dálvvás	taːlvvaːs
erenoamáš	erenoɑ̯maːʃ
čala	t͡ʃala
dolle	toːlle
čierastit	t͡ʃie̯rastiht
norga	norːka
sáhka	saːhka
ruitu	rujːtuː
juorbut	juo̯rːpuːht
leažžá	lea̯dːd͡ʒaː
dorvvastit	torvvastiht
áddet	aːdːdeht
ruovgat	ruo̯vːkaht
sahkat	sahkaht
mu	muː
muohttit	muo̯hːtiːht
lunddolaš	lunːttolaʃ
lieđđi	lie̯ððiː
gosahat	kosahaht
oktii	okːtij
čihkoseamos	t͡ʃiːhkose̯amos
giella	kie̯lla
lossa	lossa
njoarrat	ɲoɑ̯rraht
gálvát	kaːlːvaːht
ramas	ramas
peara	pʰea̯ra
beasti	pea̯sːtiː
guorus	kuo̯ruːs
geallir	kea̯lliːr
munnuin	munːnujn
ealla	ea̯lla
roadda	roɑ̯dːda
horbma	horːpma
rihtu	rihtuː
bierdna	pie̯rːtna
vielti	vie̯lːtiː
čahrrat	t͡ʃar̥r̥aht
riikkat	rijkkaht
cuozza	t͡suo̯dːd͡za
alladávttat	allataːvttaht
ávki	aːvːkiː
bilidit	piliːtiht
guovlat	kuo̯vːlaht
ábbut	aːbːbuːht
nanosmahttit	nanosmahːtiːht
vuokta	vuo̯kːta
duolvva	tuo̯lvva
gobiid	kopijt
goaivu	koɑ̯jːvuː
muoldu	muo̯lːtuː
eatni	ea̯tniː
bomba	pomːpa
bindut	pinːtuːht
fearrat	fea̯rraht
árbmu	aːrːpmuː
alde	alːte
geaidnu	kea̯jːtnuː
goapma	koɑ̯pma
gapmu	kapmuː
eatnu	ea̯tnuː
beavdi	pea̯vːtiː
leaika	lea̯jːka
muovlla	muo̯vlla
easkka	ea̯ska
bidjat	piɟɟaht
doaimmahit	toɑ̯jmmahiht
deahkki	tea̯hːkiː
balden	palːten
muorra	muo̯rra
riddu	ridːduː
muitát	mujːtaːht
ákšu	aːkːʃuː
avi	aviː
siidu	sijːtuː
eallin	ea̯lliːn
fiertu	fie̯rːtuː
čohkka	t͡ʃohːka
ruoktu	ruo̯kːtuː
dolas	tolas
dálki	taːlːkiː
addáleamos	adːdaːle̯amos
addáladdat	adːdaːladːdaht
jugat	jukaht
dollen	toːllen
eanu	ea̯nuː
frákta	fraːkːta
ollu	olluː
dorvvoleamos	torvvole̯amos
joga	joka
davi	taviː
varra	varra
ruškat	ruʃːkaht
gorden	koːrːten
máhccut	maːhːt͡suːht
in	in
regole	reːkole
giemardit	kie̯martiht
bealji	pea̯ʎʎiː
savvit	savviːht
seakti	sea̯kːtiː
hoigat	hojːkaht
duvdit	tuvːtiːht
állut	aːlːluːht
muovla	muo̯vːla
guoddá	kuo̯dːdaː
hávdi	haːvːtiː
cogge	t͡soɡːɡe
buhtis	puhtiːs
nieida	nie̯jːta
ollibeahtti	olliːpea̯hːtiː
suollit	suo̯lliːht
ale	ale
guođđit	kuo̯ððiːht
manai	manaj
gieldit	kie̯lːtiːht
bokset	pokːseht
siekŋa	sie̯tɲa
basttoheapme	pastohe̯apme
čeargulit	t͡ʃea̯rːkuːliht
baika	pajːka
aiget	ajːkeht
olli	olliː
dievvasit	tie̯vvasiht
gallen	kalːlen
beste	peːsːte
liŋka	liŋːka
viertu	vie̯rːtuː
johka	johka
ŋ	ŋ
áigut	aːjːkuːht
máivi	maːjːviː
doalli	toɑ̯lliː
lahpat	lahpaht
garas	karas
čavges	t͡ʃavːkes
gaskit	kasːkiːht
mearka	mea̯rːka
duhtavaš	tuhtavaʃ
joksi	jokːsiː
háhkat	haːhkaht
čáhppadit	t͡ʃaːhːpatiht
njurgut	ɲurːkuːht
duhkku	tuhːkuː
guoros	ku̯oros
buoibmat	puo̯jːpmaht
hála	haːla
daŋas	taɲas
orda	orːta
ruossa	ruo̯sːsa
duoddut	tuo̯dːduːht
čuorgadit	t͡ʃuo̯rːkatiht
čearru	t͡ʃea̯rruː
bodnját	podːɲaːht
rusena	rusena
cuhlli	t͡sul̥ːl̥iː
lávka	laːvːka
vuođđu	vuo̯ððuː
alvvaiduvvat	alvvajtuvvaht
cibmut	t͡sibːmuːht
bossut	possuːht
seksa	sekːsa
leažžaba	lea̯dːd͡ʒapa
eadni	ea̯dːniː
boandut	poɑ̯nːtuːht
váddut	vaːdːduːht
ruivi	rujːviː
čáskat	t͡ʃaːsːkaht
norden	norːten
borramuš	porramuʃ
kárpa	kʰaːrːpa
dikšut	tikːʃuːht
lutnjat	lutɲaht
geallit	kea̯lliːht
astet	asːteht
bagadeaddji	pakatea̯ɟːɟiː
guoibmi	kuo̯jːpmiː
duolvasit	tuo̯lːvasiht
lama	lama
čuoskut	t͡ʃuo̯sːkuːht
losit	losiːht
goallát	koɑ̯lːlaːht
geallat	kea̯llaht
njoalpi	ɲoɑ̯lːpiː
lávlagan	laːvːlakan
livččiime	livtt͡ʃijme
busse	pusːse
čelččen	t͡ʃeːltt͡ʃen
álggahit	aːlːkkahiht
niibi	nijːpiː
dušše	tuʃʃe
reaŋga	rea̯ŋːka
diggot	tiɡːɡoht
bahčit	paht͡ʃiːht
čakčat	t͡ʃakːt͡ʃaht
čábbásit	t͡ʃaːbːbaːsiht
guodja	kuo̯ɟɟa
luopmu	luo̯pmuː
gili	kiliː
eastat	ea̯sːtaht
šieđđat	ʃie̯ððaht
beroštit	peːroʃtiht
silli	silːliː
dearvvaš	tea̯rvvaʃ
lávgut	laːvːkuːht
adnot	adːnoht
njárbut	ɲaːrːpuːht
vuolla	vuo̯lla
riehpat	rie̯hpaht
čuollát	t͡ʃuo̯lːlaːht
ollot	olloht
balddihahtti	palːttiːhahːtiː
lievlla	lie̯vlla
soarvi	soɑ̯rːviː
rašši	raʃʃiː
gahkit	kahkiːht
čáđbmi	t͡ʃaːðːpmiː
boktit	pokːtiːht
saje	saje
duohko	tu̯ohko
nappo	nappo
biibal	pijːpal
álgu	aːlːkuː
vašši	vaʃʃiː
ellos	eːllos
geassit	kea̯ssiːht
lievla	lie̯vːla
bagadit	pakatiht
bánžat	paːnːt͡ʃaht
árjja	aːrjja
doabo	to̯ɑpo
boltut	polːtuːht
doardna	toɑ̯rːtna
árpu	aːrːpuː
sopmu	sopmuː
gávrát	kaːvːraːht
barta	parːta
bassi	pasːsiː
šaddu	ʃadːduː
fárru	faːrruː
guktii	kukːtij
doallu	toɑ̯lluː
rievtti	rie̯vttiː
basttálmit	pastaːlmiht
maŋos	maɲos
jurddašit	jurːttaʃiht
eadnámet	ea̯dːnaːmeht
vuolli	vuo̯lliː
dieigi	tie̯jːkiː
searvi	sea̯rːviː
gaškát	kaʃːkaːht
gildát	kilːtaːht
anihahtti	aniːhahːtiː
luossa	luo̯ssa
hoallu	hoɑ̯lːluː
jugus	jukuːs
mehter	meːhter
lamai	lamaj
miehtat	mie̯htaht
náđđát	naːðːðaːht
juohkit	juo̯hkiːht
ahkahaš	ahkahaʃ
njoazimus	ɲoɑ̯t͡siːmus
dilli	tilliː
cuoppu	t͡suo̯ppuː
ohcat	oht͡saht
livčče	livtt͡ʃe
beđo	peːðo
dulde	tuːlːte
judda	judːda
leavga	lea̯vːka
čotta	t͡ʃotta
čeavži	t͡ʃea̯vːt͡ʃiː
ealihit	ea̯liːhiht
gahppat	kahːpaht
ássi	aːsːsiː
suoksa	suo̯kːsa
lávlageaset	laːvːlake̯aseht
borahahtti	porahahːtiː
oažži	oɑ̯dːd͡ʒiː
guorga	kuo̯rːka
dá	taː
suffá	suffaː
áhci	aːht͡siː
apmaseamos	apmase̯amos
oatnut	oɑ̯tnuːht
gissen	kiːssen
lievssi	lie̯vssiː
rámbi	raːmːpiː
bohčit	poht͡ʃiːht
joavdat	joɑ̯vːtaht
beavrrit	pea̯vrriːht
vuorjat	vuo̯rːjaht
aivvestassii	ajvvestassij
fárret	faːrreht
oahkut	oɑ̯hkuːht
gulla	kulːla
ráhččat	raːhːt͡ʃaht
dohpat	tohpaht
vuiges	vuːjːkes
muitaleaddji	mujːtalea̯ɟːɟiː
muohttát	muo̯hːtaːht
boares	po̯ɑres
bivnnut	pivnnuːht
ráidu	raːjːtuː
vahcut	vaht͡suːht
