а	ʔaː
гъопэкӏьаку	ʁʷaːpakʲʼaːkʷ
гъопэкӏьэхь	ʁʷaːpakʲʼaħ
гъопэкӏэхь	ʁʷaːpat͡ʃʼaħ
гъотын	ʁʷatən
гъоу	ʁʷaw
гъофы	ʁʷafə
гъочӏэгъ	ʁʷat͡ʂʼaʁ
гъошэгь	ʁʷaʃaɡʲ
гъощэн	ʁʷaɕan
гъу	ʁʷə
гъуазэ	ʁʷaːza
гъуамэ	ʁʷaːma
гъуанэ	ʁʷaːna
гъуаплъэ	ʁʷaːpɬa
гъуапэ	ʁʷaːpa
гъубдж	ʁʷəbd͡ʒ
гъугъэ	ʁʷəʁa
гъуен	ʁʷəjan
гъукӏэ	ʁʷət͡ʃʼa
гъумы	ʁʷəmə
гъун	ʁʷən
гъунапкъэ	ʁʷənaːpqa
гъунгьэ	ʁʷənɡʲa
гъунд	ʁʷənd
гъунджэ	ʁʷərd͡ʒa
гъунэ	ʁʷəna
гъунэгъу	ʁʷənaʁʷ
гъунэфын	ʁʷənafən
гъургьэ	ʁʷərɡʲa
гъурз	ʁʷərz
гъуркӏ	ʁʷərt͡ʃʼ
гъусэ	ʁʷəsa
гъусэн	ʁʷəsan
гъутхьан	ʁʷətħaːn
гъучӏы	ʁʷət͡ʃʼə
гъучӏыбзыу	ʁʷət͡ʂʼəbzəw
гъучӏынэ	ʁʷət͡ʂʼəna
гъучӏыӏунэ	ʁʷət͡ʂʼəʔʷəna
гъучӏӏунэ	ʁʷət͡ʂʼəʔʷəna
гъушъы	ʁʷəʂə
гъушъын	ʁʷəʂən
гъы	ʁə
гъыбзэ	ʁəbza
гъымакъэ	ʁəmaːqa
гъын	ʁən
гъынэнэн	ʁənanan
гъычгъэ	ʁət͡ʃʁa
гъэ	ʁa
гъэбылъын	ʁabəɬən
гъэбыяун	ʁabəjaːn
гъэбэдзэжьын	ʁabad͡zaʑən
гъэгожъын	ʁaɡʷaʐən
гъэгоӏэн	ʁaɡʷaʔan
гъэгубжын	ʁaɡʷəbʒən
гъэгумэкӏын	ʁaɡʷəmat͡ʃən
гъэгъун	ʁaʁʷən
гъэгъушъын	ʁaʁʷʂən
гъэгъын	ʁaʁən
гъэгъэн	maʁaʁan
гъэгьэн	ʁaɡʲan
гъэделэн	ʁadajlan
гъэджыджэн	ʁad͡ʒəd͡ʒan
гъэджэн	ʁad͡ʒan
гъэдэӏон	ʁadaʔʷən
гъэжъон	ʁaʒʷan
гъэжъэн	ʁaʐan
гъэжьэн	jaʁaʑan
гъэзалъэ	ʁazaːɬa
гъэзет	ʁazjat
гъэзетщапӏэ	ʁazjatɕaːpʼa
гъэзэжьын	ʁazaʑən
гъэзэзэн	ʁazazan
гъэзэн	ʁazan
гъэзэщын	ʁazaʃən
гъэкощын	ʁakʷaɕən
гъэкуон	ʁakʷəwan
гъэкъын	ʁaqən
гъэкъэбзэн	ʁaqabzan
гъэкъэркъэтэн	ʁaqarqatan
гъэкьэн	ʁakʲan
гъэкьэрэгъун	ʁakaraʁʷən
гъэкьэрэзын	ʁakʲarazən
гъэкӏодын	ʁakʷʼadən
гъэкӏосэн	ʁakʷʼasan
гъэкӏын	ʁat͡ʃʼən
гъэкӏэрэкӏэн	ʁat͡ʃarat͡ʃan
гъэлагъэ	ʁalaːʁa
гъэлакӏо	ʁaɮaːkʷʼa
гъэлъэжъон	ʁaɬaʐʷan
гъэлъэпӏэн	ʁaɬapʼan
гъэлъэхъу	ʁaɬaχʷ
гъэлыгъон	ʁaɮəʁʷan
гъэлыгьын	ʁaləɡʲən
гъэлыджын	ʁaləd͡ʒən
гъэлэжьэн	ʁalaʑan
гъэлэлэн	ʁalalan
гъэлӏэн	ʁaɬʼan
гъэмартын	ʁamaːrtən
гъэмафэ	ʁamaːfa
гъэмысэн	ʁaməsan
гъэмэхъэшэн	ʁamaχaʃan
гъэны	ʁanə
гъэнэфэн	ʁanafan
гъэон	ʁawan
гъэохъун	ʁawaχʷən
гъэпкӏын	ʁapt͡ʃʼən
гъэплъын	ʁapɬən
гъэпрэзэн	ʁaprazan
гъэпскӏын	ʁapsət͡ʃʼən
гъэпскӏыпӏэ	ʁapst͡ʃəpʼa
гъэпсыкӏ	ʁapsət͡ʃʼ
гъэпсыкӏын	ʁapsət͡ʃʼən
гъэпсыкӏьын	ʁapsəkʲʼən
гъэпсын	ʁapsən
гъэпсэн	ʁʷatən
гъэпсэфакӏо	ʁapsafaːkʷʼa
гъэпсэфыгъо	ʁapsafəʁʷa
гъэпсэфын	ʁapsafən
гъэпсӏэн	ʁapsʼən
гъэпхын	jaʁapxən
гъэпцӏакӏо	ʁapt͡sʼaːkʷʼa
гъэпцӏэн	ʁapt͡sʼən
гъэпшъын	ʁapʂən
гъэпщтын	ʁapɕtən
гъэпщын	ʁapɕən
гъэпщынэн	ʁapɕənan
гъэпщэн	ʁapɕan
гъэпыин	ʁapəjən
гъэпыутын	ʁapəwtən
гъэпэн	əʁapan
гъэпӏоркӏын	ʁapʷʼant͡ʃʼən
гъэпӏэркӏьын	ʁapʼarkʲən
гъэрекӏопагъэ	ʁarakʷʼapaːʁa
гъэрсысын	ʁarsəsən
гъэрэзэн	ʁarazan
гъэрэкӏо	ʁarakʷʼa
гъэрэкӏопагъэ	ʁarakʷʼapaːʁa
гъэсагъ	ʁasaːʁ
гъэсмэджэн	ʁasmad͡ʒan
гъэстын	ʁastən
гъэстыныпхъ	ʁastənəpχ
гъэсымэджэн	ʁasmad͡ʒan
гъэсысын	ʁasəsən
гъэсэкъатын	ʁasaqaːtən
гъэсэкӏэн	ʁasat͡ʃʼan
гъэсэн	ʁasan
гъэсэныгъэ	ʁasanəʁa
гъэсэпэтхыдэ	ʁasapatxəda
гъэсэфытхыдэ	ʁasafətxəda
гъэсэхъуджэн	ʁasaχʷəd͡ʒan
гъэткӏун	ʁatkʷʼən
гъэтхапэмаз	ʁatxaːpamaːz
гъэтхъын	ʁatχən
гъэтхъэжьын	ʁaːtχaʑən
гъэтхъэн	ʁatχan
гъэтэрэзыжьын	ʁat͡sat͡ʃaʑən
гъэтэрэзын	ʁatarazən
гъэтӏылъын	ʁatʼəɬən
гъэтӏысын	ʁatʼəsən
гъэтӏэпӏын	ʁatʼapʼən
гъэтӏэтӏэн	ʁatʼatʼan
гъэузын	ʁawzən
гъэунэзэн	ʁawnazan
гъэунэн	ʁawənən
гъэунэхъун	ʁawnaχʷʁn
гъэунэшкӏун	ʁawnaʃkʷʼən
гъэупысӏэн	ʁawpsʼan
гъэупыцӏэн	ʁawpsʼan
гъэупэпцӏын	ʁawpapt͡sʼən
гъэупӏысӏэн	ʁawpsʼan
гъэупӏыцӏэн	ʁawpʼət͡sʼan
гъэупӏэпӏэн	ʁawpʼapʼan
гъэутхъон	ʁawtχʷan
гъэутэшъон	ʁawtaʃʷan
гъэутӏэпӏын	ʁawtʼapʼən
гъэухьазырын	ħaːzərən
гъэуцун	ʁawət͡ʃʷən
гъэучыен	ʁawt͡ʃəjan
гъэушъэбын	ʁawʂabən
гъэушӏоин	ʁawʂʷajən
гъэушӏоркъын	ʁawʃʷʼarqən
гъэуэн	ʁawan
гъэфэбапӏэ	ʁafabaːpʼa
гъэхъужьын	ʁaχʷəʑən
гъэхъун	ʁaχʷən
гъэхъэн	ʁaχan
гъэхьазырын	ħaːzərən
гъэхьын	jaʁaħən
гъэцохъон	ʁat͡sʷaχʷan
гъэцэкӏэжьын	ʁat͡sat͡ʃaʑən
гъэцэкӏэжьыпӏэ	ʁat͡sət͡ʃaʑəpʼa
гъэцэкӏэн	ʁat͡sat͡ʃan
гъэцӏыон	ʁat͡sʼəwan
гъэцӏырэн	ʁat͡sʼəran
гъэцӏэтхын	ʁat͡sʼatxən
гъэчанын	ʁat͡ʃaːnən
гъэчъэхын	jaʁat͡ʂaxən
гъэчэн	ʁat͡ʃan
гъэчэрэгъун	ʁat͡ʃaraʁʷən
гъэчэрэзын	ʁat͡ʃarazən
гъэшъуен	ʁaʂʷjan
гъэшъхъын	ʁaʂəχən
гъэшъхъэгъ	ʁaʂχəʁa
гъэшъхъэшъхъэн	ʁaʂχaʂχan
гъэшъыпкъэжьын	ʁaʂəpqaʑən
гъэшъыхъыгъ	ʁaʂχəʁa
гъэшӏон	ʁaʃʷʼan
гъэшӏоӏун	ʁaʃʷʼaʔʷən
гъэшӏыкӏьэен	ʁaʃʼəkʲʼajan
гъэшӏыкӏэен	ʁaʃʼət͡ʃʼajan
гъэшӏэгъон	ʁaʃʼaəʁʷan
гъэшӏэгъоны	ʁaʃʼaʁʷanə
гъэщтын	ʁaɕtən
гъэщтэн	ʁaɕtan
гъэщын	ʁaɕən
гъэщынэн	ʁaɕənan
гъэӏонтӏэн	ʁaʔʷantʼan
гъэӏортӏэн	ʁaʔʷartʼan
гъэӏорышӏэн	ʁaʔʷarʃʼan
гъэӏулэн	ʁaʔʷəlan
гъэӏэсэн	ʁaʔasan
гыен	ɣəjan
гыкӏалъэ	ɣət͡ʃʼaːɬa
гыкӏыгъ	ɣət͡ʃʼəʁ
гыкӏын	ɣət͡ʃən
гыкӏэн	ɣət͡ʃʼan
гын	ɣən
гыны	ɣənə
гыныплъ	ɣənəpɬ
гырзын	ɣərzən
гьанэ	ɡʲaːna
гьары	ɡʲaːrə
гьаур	ɡʲaːwər
гьи	ɡʲəj
гьэгу	ɡʲaɡʷ
гьэгуалъэ	ɡʲaɡʷaːɬa
гьэгун	ɡʲaɡʷən
гьэнэпылъапӏ	ɡʲanapəɬaːpʼ
гьэфы	ɡʲafə
гьэч	ɡʲat͡ʃ
гьэш	ɡʲaʃ
гьэщту	ɡʲaɕtəw
гэ	ɣa
дагъо	daːʁʷa
дагъэ	daːʁa
дадыу	daːdəw
дае	daːja
дакъэ	daːqa
дакӏэ	daːt͡ʃa
дампӏ	daːmpʼ
данэ	daːna
дао	daːwa
дапӏэ	daːpʼa
даргу	daːrɡʷ
дасэ	daːsa
даут	dawət
дауш	daːwəʃ
дахэ	daːxa
дашӏэ	daːʃʼa
даӏо	daːʔʷa
дегъэбзыхыкӏэн	ʁapsən
деджэгъу	dajd͡ʒaʁʷ
дежъыон	dajʐəwan
дежъыуакӏо	dajʐəwaːkʷa
дежъыун	dajʐəwan
декъузэн	dajqʷəzan
декъыен	dajqəjan
делагъэ	dajlaːʁa
делашъу	dajlaːʃʷ
делъэсыкӏын	dajɬasət͡ʃən
делъэсэен	dajɬasajan
делъэшъоен	dajɬaʂʷajan
делэ	dajla
делэ	dajɮa
делэжъ	dajlaʐ
делэхъан	dajlaχaːn
делэщ	dajlaɕ
деокӏын	dajwat͡ʃən
дес	dajs
дестэ	dajsta
дестэгъу	dajstaʁʷ
десэгъу	dajsaʁʷ
деузэндын	dajwzandən
деузэнкӏын	dajwzant͡ʃən
деукъон	dajqʷan
деупӏэпӏэн	dajwpʼapʼan
деусын	dajsən
деусэн	dajsan
деутын	dajtən
деушъэн	dajʂan
дефыен	dajfəjan
дехын	dajxəx
дехьыен	dajħəjan
дехьыхын	dajħəxən
дещыен	dajɕəjan
деӏэн	dajʔan
джабгъо	d͡ʒaːbʁʷa
джагъо	d͡ʒaːʁʷa
джагъу	d͡ʒaʁʷ
джадэ	d͡ʒaːda
джае	d͡ʒaːja
джакӏо	d͡ʒaːkʷʼa
джамбырыу	d͡ʒaːmbərəw
джамбырыугъазэ	d͡ʒaːmbərəwʁaːza
джан	d͡ʒaːn
джанкъылъыщ	d͡ʒaːnəɬəɕ
джантый	d͡ʒaːntəj
джанщэрэхъ	d͡ʒaːnɕaraχ
джанэ	d͡ʒaːna
джаргъэн	d͡ʒaːrʁan
джары	d͡ʒaːrə
джарэу	d͡ʒaːraw
джасэ	d͡ʒaːsa
джау	d͡ʒaːw
джаузэ	d͡ʒaːwza
джаур	d͡ʒaːwər
джаущтэу	d͡ʒaːwəɕtaw
джашъо	d͡ʒaːʃʷa
джащыгъум	d͡ʒaːɕəʁʷəm
джы	d͡ʒə
джыбэ	d͡ʒəba
джыджэн	mad͡ʒəd͡ʒan
джыдэдэм	d͡ʒədadam
джыкӏэ	d͡ʒət͡ʃʼa
джын	d͡ʒən
джынапцӏэ	d͡ʒənaːpt͡sʼa
джынджыф	d͡ʒənd͡ʒəf
джыны	d͡ʒənə
джынэ	d͡ʒəna
джынэс	d͡ʒənas
джынэузэщ	d͡ʒənawzaɕ
джырыкъу	d͡ʒərəqʷ
джырэ	d͡ʒəra
джырэблагъ	d͡ʒərablaːr
джырэкӏэ	d͡ʒərat͡ʃʼa
джыхашъо	d͡ʒəxaːʃʷa
джыхьан	d͡ʒəħaːn
джыхьынэм	d͡ʒəħənam
джыхэкӏотэн	d͡ʒaxakʷʼatan
джыхэлъэдэн	d͡ʒəxaɬadan
джыхэон	d͡ʒəxawan
джыхэпкӏьэн	d͡ʒəxapkʲʼan
джыхэпкӏэн	d͡ʒəxapt͡ʃʼan
джыхэупсӏэн	d͡ʒəxawpsʼan
джыхэхьэн	d͡ʒəxaħan
джэгогъу	d͡ʒaɡʷaʁʷ
джэгу	d͡ʒaɡʷ
джэгуакӏо	d͡ʒaɡʷaːkʷʼa
джэгуалъэ	d͡ʒaɡʷaːɬa
джэгун	d͡ʒaɡʷən
джэгупӏэ	d͡ʒaɡʷəpʼa
джэгъогъу	d͡ʒaʁʷəɡʷ
джэгъогъун	d͡ʒaʁʷəɡʷən
джэгъолӏ	d͡ʒaʁʷaɬʼ
джэгъун	d͡ʒaʁʷən
джэгъучӏэлъ	d͡ʒaʁʷaɬ
джэдз	d͡ʒad͡z
джэдыгу	d͡ʒadəɡʷ
джэдыпэ	d͡ʒadəpa
джэжьын	d͡ʒaʑən
джэлъын	d͡ʒaɬən
джэлыгъон	d͡ʒaɬəʁʷan
джэмышх	d͡ʒaməʃx
джэн	d͡ʒan
джэнапхъэ	d͡ʒanaːpχa
джэнджэш	d͡ʒand͡ʒaʃ
джэндын	d͡ʒandən
джэнета	d͡ʒanajtaː
джэнчы	d͡ʒant͡ʃə
джэнчыдз	d͡ʒant͡ʃəd͡z
джэныкъохьаку	d͡ʒanəqʷaħaːkʷ
джэныкъу	d͡ʒanəqʷ
джэнэпылъапӏ	d͡ʒanapəɬaːpʼ
джэрыон	d͡ʒarəwan
джэрыуакӏо	d͡ʒarəwaːkʷʼa
джэуап	d͡ʒawaːp
джэущтэу	d͡ʒawɕtaw
джэфы	d͡ʒafə
джэхашъо	d͡ʒaxaːʃʷa
джэщгъум	d͡ʒaɕʁʷəm
дзакӏо	d͡zaːkʷʼa
дзапӏэ	d͡zaːpʼa
дзуцон	d͡zʷət͡sʷan
дзын	d͡zən
дзыо	d͡zəwa
дзэ	d͡za
дзэкӏолӏы	d͡zakʷʼaɬʼə
дзэлыкъуэбгъэ	dzaləqʷabʁa
дзэлӏы	d͡zaɬʼə
дзэпщ	d͡zapɕə
динынчъэ	dənənt͡ʂʼa
дыгьы	dəɡʲə
дыджы	dəd͡ʒə
дыин	dəjən
дый	dəj
дыйдалхь	dəjdaːlħ
дыйдэлъ	dəjdaɬ
дыйрылъ	dəjarəɬ
дыйшъо	dəjʃʷa
дыйшъоутын	dəjʃʷawtən
дыкъын	dəqən
дын	dən
дыо	dəwa
дыргу	dərɡʷ
дырын	dərən
дысы	dəsə
дыу	dəw
дыухьэ	dəwħa
дыухэр	dəwar
дыуэр	dəwar
дыхьэщхын	dəħaɕxən
дышъэ	dəʂa
дышъэкӏ	dəʂat͡ʃ
дышъэчэт	dəʐakʲat
дышъэчэт	dəʐat͡ʃat
дыщыпс	dəɕəps
дэ	da
дэбзыкъу	dabzəqʷ
дэбыбэен	dabəbajan
дэгу	daɡʷə
дэгъналъэ	daʁnaːɬa
дэгъолъхьан	taʁʷaɬħaːn
дэгъу	daʁʷə
дэгъэбыбыкӏын	daʁabəbət͡ʃən
дэгъэбыбэен	daʁabəbajan
дэгъэбылъхьан	daʁabəɬħan
дэгъэбылъхьэн	daʁabəɬħan
дэгъэдыдыкӏын	daʁadədəkʲən
дэгъэзен	daʁazajan
дэгъэзын	daʁazən
дэгъэкӏоен	daʁakʷʼajan
дэгъэнэн	daʁanan
дэгъэптӏэн	daʁaptʼan
дэгъэткӏон	daʁatkʷʼan
дэгъэтын	daʁatən
дэгъэтӏысхьэн	daʁatʼəsħan
дэгъэтӏытӏэн	daʁatʼətʼan
дэгъэуцон	daʁawat͡sʷan
дэгъэфэн	daʁafan
дэгъэчъыхьэн	daʁat͡ʃəħan
дэж	daʒ
дэжь	daʑ
дэзэкӏон	dazakʷʼan
дэи	dajə
дэигъэ	dajəʁa
дэй	daj
дэкон	dakʷan
дэкьэн	dakʲan
дэкӏогъу	dakʷʼaʁʷ
дэкӏоен	dakʷʼajan
дэкӏон	dakʷʼan
дэкӏоцэн	dakʷʼat͡san
дэкӏояпӏэ	dakʷʼajaːpʼa
дэлъхьэн	daɬħan
дэлъын	daɬən
дэлъыпӏэ	daɬəpʼa
дэн	dan
дэнэн	danan
дэон	dawan
дэпкъы	dapqə
дэптӏэн	daptʼan
дэсын	dasən
дэтхъын	datχən
дэтэкъон	dataqʷan
дэтэкъун	dataqʷən
дэуахьы	dawaːħə
дэублэн	dawəbɮan
дэубытэн	dawbətan
дэугощын	dawɡʷaɕən
дэфын	dafən
дэфыцӏэн	dafət͡sʼan
дэфэн	dafan
дэхъун	daχʷən
дэхьагъо	daħaːʁʷa
дэхьан	daħaːn
дэхьапӏэ	daħaːpʼa
дэхьащх	daħaːɕx
дэхьащхын	daħaːɕxən
дэхьыен	daħəjan
дэхьын	daħən
дэхьыхын	daħəxən
дэхьэ	daħa
дэхьэгъу	daħaːʁʷa
дэхьэзэ	daħaza
дэхэт	daxat
дэшхын	daʃxən
дэщтэн	daɕtan
дэщыен	daɕəjan
дэщэн	daɕan
дэялъ	dajaːɬ
дэӏон	daʔʷan
дэӏэпыӏэн	daʔapəʔan
е	ja
ебгъэн	jabʁan
ебгъэчэхын	jabʁat͡ʃaxən
ебгын	jabɣən
ебз	jabz
ебзэин	jabzajən
еблэгъапӏэ	jablaʁaːpʼa
еблэгъэн	jablaʁan
ебэджын	jabad͡ʒən
ебэнын	jabanən
ебэун	bawan
егугъун	jaɡʷəʁʷən
егукӏэн	jaɡʷət͡ʃan
егун	jaɡʷən
егупсэн	jaɡʷəpsan
егупшысэн	jaɡʷəpʃəsan
егъанэ	jaʁaːna
егъашӏи	jaʁaːʃʼəj
егъоин	ʁʷajən
егъуин	jaʁʷəjən
егъэблэгъэн	jaʁablaʁan
егъэбэджын	jaʁabad͡ʒən
егъэджэн	jaʁad͡ʒan
егъэжьапӏэ	jaʁaʑaːpʼa
егъэжьэн	jaʁaʑan
егъэзыгъ	jaʁatəʁ
егъэзын	jaʁatən
егъэкӏун	jaʁakʷʼən
егъэлъэгъун	jaʁaɬaʁʷən
егъэлыен	jaʁaɮəjan
егъэолӏэн	jaʁawaɬʼan
егъэпхыгъ	xaʃʼaːʁ
егъэпхын	jaʁapxən
егъэсэн	jaʁasan
егъэтыгъ	jaʁatəʁ
егъэтын	jaʁatən
егъэуагъ	jaʁawaːʁ
егъэун	jaʁawən
егъэусыен	ʁawsəjan
егъэхын	jaʁaxən
егъэхьын	jaʁaħən
егъэчъэхын	jaʁat͡ʂaxən
егъэӏун	jaʁaʔʷən
егыин	jaɣəjən
егьапӏэ	jaɡʲaːpʼa
егьэн	jaɡʲan
еджакӏо	jad͡ʒaːkʷʼa
еджапӏэ	jad͡ʒaːpʼa
еджыджэхын	jad͡ʒəd͡ʒan
еджэжьын	d͡ʒaʑən
еджэн	jad͡ʒan
еджэнджэшын	jad͡ʒand͡ʒanʃən
едзын	jad͡ʒən
едэхэшӏэн	jadaxaʃʼan
едэӏун	jadaʔʷən
ежь	jaʑ
ежьапӏэ	jaʑaːpʼa
ежьашъо	jaʑaːʂʷa
ежьхэ	jaʑxa
ежьэжьын	jaʑaʑən
ежьэн	jaʑan
ежэн	jaʒan
езбырэу	jazbəraw
езбэрэу	jazbaraw
езэгъын	jazaʁən
езэон	jazawan
езэщын	jazaʃən
еин	jajən
екъудыин	qʷədəjən
екӏолӏэн	jakʷʼaɬʼan
екӏошъэн	jakʷʼaʂan
екӏун	jakʷʼən
екӏуэщэн	jakʷʼaɕan
екӏэхын	jat͡ʃʼaxəm
елбэтэу	jaɮbataw
елъэпэон	jaɬapawan
елэн	jalan
емын	jamən
емынэ	jaməna
енэгуен	janaɡʷəjan
енэгуй	janaɡʷəj
енэгуягъо	janaɡʷəjaːʁʷa
енэкъокъун	janaqʷaqʷan
енэкӏьэон	janakʲawan
енэкӏэон	janat͡ʃawan
енэпэон	napawan
енэпэшъоон	janapaʃʷawan
енэсӏын	janasʼən
енэу	janaw
енэцӏын	janat͡sʼən
еон	jawan
еоой	jawawaj
еплъын	japɬən
епхын	japxən
епцӏыжьын	japt͡sʼəʑən
епщэн	jpɕan
епыгьын	japəɡʲən
епыджын	japəd͡ʒən
епэсын	japasən
епэшӏэн	japaʃʼan
епӏэстхъын	japʼastχən
ерагъ	jaraːʁ
ерагъкӏэ	jaraːʁt͡ʃʼa
ерагъэу	jaraːʁaw
еры	jarə
ерыуадж	jarəwaːd͡ʒ
естылӏэн	jastəɬʼan
есын	jasən
есыпӏэ	jasəpʼa
есэн	jasan
есэпэон	jasapawan
етхъон	jatχʷan
етын	jatən
етӏагъо	jatʼaːʁʷa
етӏагъу	jatʼaːʁʷ
етӏанэ	jatʼaːna
етӏапсӏэ	jatʼaːpt͡sʼa
етӏапцӏэ	jatʼaːpt͡sʼa
етӏуанэ	jatʷʼaːna
етӏупщыхьахын	jatʷʼpɕəħaːxən
етӏэрэхын	jatʼaraxən
етӏэхъун	jatʼaχʷən
еубзэн	jawəbzan
еубын	jawbən
еубэн	jawban
еугъоин	jawəʁʷajən
еуджэгъун	jawd͡ʒaːʁʷən
еузэнкӏын	jawzant͡ʃən
еузэпкъын	jawzapqən
еукӏорэикӏын	jawkʷʼarajət͡ʃʼən
еукӏын	jawət͡ʃʼən
еун	jawən
еупцӏын	jawpt͡sʼən
еупчын	jawpt͡ʃən
еутын	jawtən
еутэкӏын	jawtat͡ʃʼən
еутэкӏьын	jawtakʲʼən
еуцолӏэн	jawt͡ʃʷaɬʼan
ехъонын	jaχʷanən
ехъопсэн	jaχʷapsan
ехъу	jaχʷ
ехъункӏын	jaχʷənt͡ʃən
ехъурэ	jaχʷra
ехъушъутэон	χʷəʂʷtawan
ехъырхъышэн	jaχərχəʃan
ехъырэхъышэн	jaχəraχəʃan
ехын	jaxə
ехьагъушъугъун	jaħaːʁʷəʃʷəʁʷən
ехьыжьэн	jaħəʑan
ецыгъон	jat͡səʁʷan
ецэгъон	jat͡səʁʷan
ецӏэтхъун	jat͡sʼatχʷən
ецӏэшъутэхын	jat͡sʼaʃʷtaxən
ечъэжьэн	jat͡ʂaʑan
ечъэхын	jat͡ʂaxən
ечэнджэшын	jat͡ʃand͡ʒaʃən
ешъокӏу	jaʂʷakʷʼ
ешъон	jaʂʷan
ешъорый	jaʃʷarəj
ешъуакӏо	jaʃʷʼaːkʷʼa
ешъугъон	jaʃʷʁʷən
ешъугъун	jaʃʷʁʷən
ешъукӏын	jaʃʷət͡ʃʼən
ешъухъогъон	jaʃʷəχʷaʁʷan
ешъухъугъон	jaʃʷχʷəʁʷan
ешӏужьын	jaʃʷʼəʑən
ешӏухъогъон	jaʃʷʼəχʷəʁʷan
ешӏэн	jaʃʼan
ещэхын	jaɕaxən
еӏолӏэн	jaʔʷaɬʼan
еӏорышӏэн	jaʔʷarʃʼan
еӏун	jaʔʷən
еӏункӏын	jaʔʷənt͡ʃʼən
еӏункӏэн	jaʔʷənt͡ʃʼən
еӏэзэн	jaʔazan
еӏэн	jaʔan
жабз	ʒabz
жае	ʒaːja
жакъэ	ʒaːqa
жакӏьэ	ʒaːkʲa
жакӏэ	ʒaːtʃʼa
жалэ	ʒaːla
жантӏ	ʒaːntʼ
жашъу	ʒaːʂʷ
жашӏу	ʒaːʃʷʼ
жъабгъо	ʐaːbʁʷa
