ላይ	lˈaj
ማንኛውም	mˈanɨɲawɨm
ራሱን	rˈasun
ሲገመት	sˈiɡəmət
ቀመር	k`ˈəmər
በመጀመሪያ	bˈəməd͡ʒəmərija
በምድር	bˈəmɨdɨr
ታላላቅ	tˈalalak`
ወንድም	wˈənɨdɨm
ወንጌል	wˈənɨɡel
ወገኖች	wˈəɡənot͡ʃ
ያሕል	jˈahɨl
ደራሲ	dˈərasi
ህግ	hˈɨɡ
ማናቸውም	mˈanat͡ʃəwɨm
ማወቅ	mˈawək`
ሳለ	sˈalə
በቅርቡ	bˈək`ɨrɨβu
ባህል	bˈahɨl
ንጉሱ	nˈɨɡusu
አብዛኞቹ	ʔˈaβɨzaɲot͡ʃu
ወዲህ	wˈədiç
ወዲያው	wˈədijaw
የሆነውን	jˈəhonəwɨn
የተመሠረተ	jˈətəməsərətə
የኢትዮጵያን	jˈəʔitɨjop`ɨjan
የዘር	jˈəzər
ይፋዊ	jˈɨfawi
ደስ	dˈəs
ዳር	dˈar
ድንግል	dˈɨnɨɡɨl
ጽሑፎች	tsˈɨhufot͡ʃ
ፍሬ	fˈɨre
ልጁን	lˈɨd͡ʒun
መሰረታዊ	mˈəsərətawi
ማስረጃ	mˈasɨrəd͡ʒa
ሥራዊት	sˈɨrawit
ረገድ	rˈəɡəd
ቴክኖሎጂ	tˈekɨnolod͡ʒi
አለው	ʔˈaləw
አሜሪካ	ʔˈamerika
ወርቅ	wˈərɨk`
ዘውድ	zˈəwɨd
የእጅ	jˈəʔɨd͡ʒ
ደቂቃ	dˈək`ik`a
ድጋፍ	dˈɨɡaf
ገዛ	ɡˈəza
ጉባኤ	ɡˈuβaʔe
ግዛቶች	ɡˈɨzatot͡ʃ
ጸሐፊ	tsˈəhafi
ፓርቲ	pˈarɨti
ሕዝቡ	hˈɨzɨβu
ምህንድስና	mˈɨhɨnɨdɨsɨna
በተደረገው	bˈətədərəɡəw
በደንብ	bˈədənɨb
በግዕዝ	bˈəɡɨʔɨz
ተቋማት	tˈək`wamat
ትክክል	tˈɨkɨkɨl
ነበርና	nˈəβərɨna
ነኝ	nˈəɲ
አረፍተ	ʔˈarəfɨtə
አብያተ	ʔˈaβɨjatə
አንዳንዴ	ʔˈanɨdanɨde
ከክርስቶስ	kˈəkɨrɨsɨtos
ውሸት	wˈɨʃət
የአገሪቱ	jˈəʔaɡəritu
የወርቅ	jˈəwərɨk`
ግልጽ	ɡˈɨlɨts
ግንብ	ɡˈɨnɨb
ጣቢያ	t`ˈaβija
ለማለት	lˈəmalət
መምህር	mˈəmɨhɨr
መደበኛ	mˈədəβəɲa
ስለዚህም	sˈɨləzihɨm
በሰው	bˈəsəw
በአለም	bˈəʔaləm
በጥንት	bˈət`ɨnɨt
ባህርይ	bˈahɨrɨj
ተራሮች	tˈərarot͡ʃ
ተክለ	tˈəkɨlə
ትውፊት	tˈɨwɨfit
ኃይለ	hˈajɨlə
አለቆች	ʔˈalək`ot͡ʃ
እነርሱም	ʔˈɨnərɨsum
እንዳሉት	ʔˈɨnɨdalut
ዓመቱ	ʔˈamətu
የሚታወቀው	jˈəmitawək`əw
የተባሉት	jˈətəβalut
የግል	jˈəɡɨl
ይችላል	jˈɨt͡ʃɨlal
ጉዳዮች	ɡˈudajot͡ʃ
ጋዜጠኛ	ɡˈazet`əɲa
ጠረፍ	t`ˈərəf
ጽሁፍ	tsˈɨhuf
ሃያ	hˈaja
ለረጅም	lˈərəd͡ʒɨm
ለጊዜው	lˈəɡizew
ሌሎቹ	lˈelot͡ʃu
ሰወች	sˈəwət͡ʃ
በመላው	bˈəməlaw
በሚገባ	bˈəmiɡəβa
በሚገኘው	bˈəmiɡəɲəw
በአካባቢው	bˈəʔakaβaβiw
ተቀባይነት	tˈək`əβajɨnət
ትልቁ	tˈɨlɨk`u
ኑሮ	nˈuro
አቆጣጠር	ʔˈak`ot`at`ər
አዲሱ	ʔˈadisu
እነዚህም	ʔˈɨnəzihɨm
ከሌላ	kˈəlela
ከኢትዮጵያ	kˈəʔitɨjop`ɨja
ወይዘሮ	wˈəjɨzəro
ዘመኑ	zˈəmənu
ዘመድ	zˈəməd
የተባሉ	jˈətəβalu
ያለበት	jˈaləβət
ዳግማዊ	dˈaɡɨmawi
ግምገማ	ɡˈɨmɨɡəma
ለማወቅ	lˈəmawək`
መስክ	mˈəsɨk
መጠሪያ	mˈət`ərija
ረጅም	rˈəd͡ʒɨm
ርዝመት	rˈɨzɨmət
በጠቅላላ	bˈət`ək`ɨlala
በጥንታዊ	bˈət`ɨnɨtawi
ተስፋ	tˈəsɨfa
አንድን	ʔˈanɨdɨn
አገሩ	ʔˈaɡəru
እነዚህን	ʔˈɨnəzihɨn
ካለው	kˈaləw
ውኃ	wˈɨha
የመንግሥት	jˈəmənɨɡɨsɨt
የመጀመሪያውን	jˈəməd͡ʒəmərijawɨn
የምግብ	jˈəmɨɡɨb
ያው	jˈaw
ዳሩ	dˈaru
ገብተው	ɡˈəβɨtəw
ግማሽ	ɡˈɨmaʃ
ህዝቦች	hˈɨzɨβot͡ʃ
ሆና	hˈona
ሆኗል	hˈonwal
ለሰው	lˈəsəw
ሊቅ	lˈik`
መሪዎች	mˈəriwot͡ʃ
ሙከራ	mˈukəra
ምስል	mˈɨsɨl
በሰፊ	bˈəsəfi
በዚያም	bˈəzijam
በፍጹም	bˈəfɨtsum
ተማሪዎች	tˈəmariwot͡ʃ
ተናጋሪዎች	tˈənaɡariwot͡ʃ
ንብረት	nˈɨβɨrət
ንግድ	nˈɨɡɨd
አባቱ	ʔˈaβatu
አነስተኛ	ʔˈanəsɨtəɲa
ከመቶ	kˈəməto
ከብዙ	kˈəβɨzu
ዜጎች	zˈeɡot͡ʃ
የዓማርኛ	jˈəʔamarɨɲa
ይሁንና	jˈɨhunɨna
ድርጊት	dˈɨrɨɡit
ገብቶ	ɡˈəβɨto
ጥቃት	t`ˈɨk`at
መቃብር	mˈək`aβɨr
መንደር	mˈənɨdər
መንገዶች	mˈənɨɡədot͡ʃ
ሠፈር	sˈəfər
ቁስ	k`ˈus
ቁጥሮች	k`ˈut`ɨrot͡ʃ
ቅርሶች	k`ˈɨrɨsot͡ʃ
በተፈጥሮ	bˈətəfət`ɨro
ባንድ	bˈanɨd
ተጠቃሚ	tˈət`ək`ami
ነፃ	nˈətsa
ንግግር	nˈɨɡɨɡɨr
አሊ	ʔˈali
ከጥንት	kˈət`ɨnɨt
ክብ	kˈɨb
ወይ	wˈəj
ዓይነቶች	ʔˈajɨnətot͡ʃ
የሥራ	jˈəsɨra
የብርሃን	jˈəβɨrɨhan
የተሰራ	jˈətəsəra
የእንግሊዝ	jˈəʔɨnɨɡɨliz
የፊደል	jˈəfidəl
ግቢ	ɡˈɨβi
ለማሳየት	lˈəmasajət
ስንት	sˈɨnɨt
ቅጠል	k`ˈɨt`əl
በሰፊው	bˈəsəfiw
በስተቀር	bˈəsɨtək`ər
አሉ	ʔˈalu
አልፋቤት	ʔˈalɨfaβet
አመጽ	ʔˈaməts
እናቱ	ʔˈɨnatu
እድገት	ʔˈɨdɨɡət
ከዚሁ	kˈəzihu
ክለብ	kˈɨləb
ያሉትን	jˈalutɨn
ይታያል	jˈɨtajal
ገበያ	ɡˈəβəja
ግድ	ɡˈɨd
ሊባል	lˈiβal
ልዑል	lˈɨʔul
መሪነት	mˈərinət
ቀበሮ	k`ˈəβəro
በቤተ	bˈəβetə
በነበረው	bˈənəβərəw
ቡድኖች	bˈudɨnot͡ʃ
ብላ	bˈɨla
ነውና	nˈəwɨna
ነገሠ	nˈəɡəsə
አማርኛ	ʔˈamarɨɲa
አንደኛው	ʔˈanɨdəɲaw
አጭር	ʔˈat͡ʃ`ɨr
እርሱም	ʔˈɨrɨsum
እንደሆኑ	ʔˈɨnɨdəhonu
ከሚገኙ	kˈəmiɡəɲu
ከርሱ	kˈərɨsu
ወሰን	wˈəsən
ዓመታቸው	ʔˈamətat͡ʃəw
ዝም	zˈɨm
የመጣ	jˈəmət`a
የስራ	jˈəsɨra
የአማርኛ	jˈəʔamarɨɲa
የጋራ	jˈəɡara
ዲግሪ	dˈiɡɨri
ጊዜም	ɡˈizem
ጤና	t`ˈena
ጨዋታ	t͡ʃ`ˈəwata
ጫፍ	t͡ʃ`ˈaf
ጽንሰ	tsˈɨnɨsə
ሊቀ	lˈik`ə
መጻፍ	mˈətsaf
ማተሚያ	mˈatəmija
ማታ	mˈata
ሸዋ	ʃˈəwa
በግብጽ	bˈəɡɨβɨts
ብዙዎች	bˈɨzuwot͡ʃ
ችግሮች	t͡ʃˈɨɡɨrot͡ʃ
አለ	ʔˈalə
አላቸው	ʔˈalat͡ʃəw
ኤርትራ	ʔˈerɨtɨra
እነ	ʔˈɨnə
እናም	ʔˈɨnam
ወጥ	wˈət`
ዉስጥ	wˈusɨt`
ዑደት	ʔˈudət
ዓማርኛ	ʔˈamarɨɲa
የቅዱስ	jˈək`ɨdus
የተወሰነ	jˈətəwəsənə
የውሃ	jˈəwɨha
ያላቸውን	jˈalat͡ʃəwɨn
ደጃዝማች	dˈəd͡ʒazɨmat͡ʃ
ጥበቃ	t`ˈɨβək`a
ሁላቸው	hˈulat͡ʃəw
ሆስፒታል	hˈosɨpital
ለራሱ	lˈərasu
መኪና	mˈəkina
መክተብ	mˈəkɨtəb
ሙያ	mˈuja
ማህበራዊ	mˈahɨβərawi
ሪፐብሊክ	rˈipəβɨlik
ስህተት	sˈɨhɨtət
በልዩ	bˈəlɨju
በመቶ	bˈəməto
በቀስ	bˈək`əs
በእርሱ	bˈəʔɨrɨsu
ባቢሎን	bˈaβilon
ተመልሶ	tˈəməlɨso
ተቃውሞ	tˈək`awɨmo
ትርጉሙ	tˈɨrɨɡumu
ኋላ	hwˈala
ነገዶች	nˈəɡədot͡ʃ
ኖሮ	nˈoro
እምቢ	ʔˈɨmɨβi
እንግዳ	ʔˈɨnɨɡɨda
እውቀት	ʔˈɨwɨk`ət
ከሚለው	kˈəmiləw
ከተለያዩ	kˈətələjaju
ዘጠኝ	zˈət`əɲ
ዝቅ	zˈɨk`
የሚሰራ	jˈəmisəra
የሚኖሩ	jˈəminoru
ድርጅቶች	dˈɨrɨd͡ʒɨtot͡ʃ
ግለሰብ	ɡˈɨləsəb
ጳጳስ	p`ˈap`as
ሀብት	hˈaβɨt
ሊሆኑ	lˈihonu
ልብስ	lˈɨβɨs
መልዕክት	mˈəlɨʔɨkɨt
ማዕከላዊ	mˈaʔɨkəlawi
ሰማያዊ	sˈəmajawi
ሳይቀር	sˈajɨk`ər
በላቲን	bˈəlatin
ባህር	bˈahɨr
ተክል	tˈəkɨl
አማካኝነት	ʔˈamakaɲɨnət
አረንጓዴ	ʔˈarənɨɡwade
አብሮ	ʔˈaβɨro
አብዛኛውን	ʔˈaβɨzaɲawɨn
አካባቢዎች	ʔˈakaβaβiwot͡ʃ
እኔም	ʔˈɨnem
ውድቀት	wˈɨdɨk`ət
ውግያ	wˈɨɡɨja
የሚገኙት	jˈəmiɡəɲut
የቀድሞ	jˈək`ədɨmo
የአለም	jˈəʔaləm
የጽሕፈት	jˈətsɨhɨfət
ይዘት	jˈɨzət
ዴ	dˈe
መታወቂያ	mˈətawək`ija
መጥፎ	mˈət`ɨfo
ሙቀት	mˈuk`ət
ቀዳማዊ	k`ˈədamawi
ቅጣት	k`ˈɨt`at
በመጨረሻም	bˈəmət͡ʃ`ərəʃam
በትምህርት	bˈətɨmɨhɨrɨt
በአሜሪካ	bˈəʔamerika
ባጠቃላይ	bˈat`ək`alaj
ተነስቶ	tˈənəsɨto
ተወላጅ	tˈəwəlad͡ʒ
አንደኛ	ʔˈanɨdəɲa
አዋጅ	ʔˈawad͡ʒ
አያሌ	ʔˈajale
እድሜ	ʔˈɨdɨme
ከሥልጣን	kˈəsɨlɨt`an
ከሰው	kˈəsəw
የተሻለ	jˈətəʃalə
የቻይና	jˈət͡ʃajɨna
የአዲስ	jˈəʔadis
የክብር	jˈəkɨβɨr
ያዕቆብ	jˈaʔɨk`ob
ይሆን	jˈɨhon
ይፋ	jˈɨfa
ዳዊት	dˈawit
ጀርመን	d͡ʒˈərɨmən
ፈርዖኖች	fˈərɨʔonot͡ʃ
መሳፍንት	mˈəsafɨnɨt
መስቀል	mˈəsɨk`əl
ማግኘት	mˈaɡɨɲət
ስለሆኑ	sˈɨləhonu
በሁሉም	bˈəhulum
በሕዝብ	bˈəhɨzɨb
በመሆኑም	bˈəməhonum
በራሳቸው	bˈərasat͡ʃəw
በቅርብ	bˈək`ɨrɨb
በተለምዶ	bˈətələmɨdo
በተግባር	bˈətəɡɨβar
በአንዱ	bˈəʔanɨdu
በዛሬው	bˈəzarew
በየዓመቱ	bˈəjəʔamətu
በጦር	bˈət`or
በጦርነት	bˈət`orɨnət
ቤተሠብ	bˈetəsəb
አስቸጋሪ	ʔˈasɨt͡ʃəɡari
አቡበክር	ʔˈaβuβəkɨr
አንዱን	ʔˈanɨdun
ኣበራ	ʔˈaβəra
ኣንዳንድ	ʔˈanɨdanɨd
እርምጃ	ʔˈɨrɨmɨd͡ʒa
እግዚአብሔርን	ʔˈɨɡɨziʔaβɨherɨn
ከዓለም	kˈəʔaləm
ከዛም	kˈəzam
ካለ	kˈalə
ካውንቲ	kˈawɨnɨti
ወራሽ	wˈəraʃ
ውሳኔ	wˈɨsane
የሚከተሉት	jˈəmikətəlut
የተሰኘው	jˈətəsəɲəw
የከተማ	jˈəkətəma
የደቡብ	jˈədəβub
የግሪክ	jˈəɡɨrik
ግብር	ɡˈɨβɨr
ፈንታ	fˈənɨta
ፊደሉ	fˈidəlu
ሄዶ	hˈedo
ሕግጋት	hˈɨɡɨɡat
መዝገብ	mˈəzɨɡəb
መጥቶ	mˈət`ɨto
ማረፊያ	mˈarəfija
ምክትል	mˈɨkɨtɨl
ሰነዶች	sˈənədot͡ʃ
ስብሰባ	sˈɨβɨsəβa
ቀጥተኛ	k`ˈət`ɨtəɲa
ቅጂ	k`ˈɨd͡ʒi
በመስጠት	bˈəməsɨt`ət
በሽታው	bˈəʃɨtaw
በእንግሊዝኛ	bˈəʔɨnɨɡɨlizɨɲa
በውሃ	bˈəwɨha
በግሪክ	bˈəɡɨrik
ትቶ	tˈɨto
ነበረ	nˈəβərə
ንጥረ	nˈɨt`ɨrə
አሸናፊ	ʔˈaʃənafi
አይ	ʔˈaj
እቴጌ	ʔˈɨteɡe
ከግብጽ	kˈəɡɨβɨts
ወልድ	wˈəlɨd
ዋሻ	wˈaʃa
ዓላማ	ʔˈalama
ዘይት	zˈəjɨt
ዘፈን	zˈəfən
የሚሰጥ	jˈəmisət`
የተመሠረተው	jˈətəməsərətəw
የአፍሪካ	jˈəʔafɨrika
የኤርትራ	jˈəʔerɨtɨra
የእግዚአብሔር	jˈəʔɨɡɨziʔaβɨher
ይሄው	jˈɨhew
ድንበር	dˈɨnɨβər
ግንባር	ɡˈɨnɨβar
ግዕዝን	ɡˈɨʔɨzɨn
ጣኦት	t`ˈaʔot
ጥናቶች	t`ˈɨnatot͡ʃ
ፀሐይ	tsˈəhaj
ሐሳብ	hˈasab
ማየት	mˈajət
ምርት	mˈɨrɨt
ሞገድ	mˈoɡəd
ስልት	sˈɨlɨt
ቀኝ	k`ˈəɲ
ቁጥጥር	k`ˈut`ɨt`ɨr
በመጋቢት	bˈəməɡaβit
በምዕራብ	bˈəmɨʔɨrab
በእግዚአብሔር	bˈəʔɨɡɨziʔaβɨher
በከፊል	bˈəkəfil
ተመልሰው	tˈəməlɨsəw
ነጥቦች	nˈət`ɨβot͡ʃ
ነፍስ	nˈəfɨs
ንቅናቄ	nˈɨk`ɨnak`e
አለቃም	ʔˈalək`am
አነጋገር	ʔˈanəɡaɡər
ኤሌክትሪክ	ʔˈelekɨtɨrik
እነሱ	ʔˈɨnəsu
እንደዚህ	ʔˈɨnɨdəziç
ከእርሱ	kˈəʔɨrɨsu
ከጊዜ	kˈəɡize
ክስተት	kˈɨsɨtət
ወንዞች	wˈənɨzot͡ʃ
ውጪ	wˈɨt͡ʃ`i
ዛሬም	zˈarem
ዞራስተር	zˈorasɨtər
የለም	jˈələm
የሚሆነው	jˈəmihonəw
የምርምር	jˈəmɨrɨmɨr
የምድር	jˈəmɨdɨr
የባቢሎን	jˈəβaβilon
የተገኘው	jˈətəɡəɲəw
የነበሩትን	jˈənəβərutɨn
የእንግሊዝኛ	jˈəʔɨnɨɡɨlizɨɲa
ያንን	jˈanɨn
ያደረገው	jˈadərəɡəw
ግለሰቦች	ɡˈɨləsəβot͡ʃ
ጥፋት	t`ˈɨfat
ፊልም	fˈilɨm
ፕሬዚዳንት	pˈɨrezidanɨt
ፕሬዝዳንት	pˈɨrezɨdanɨt
ሀ	hˈa
ለየት	lˈəjət
መሆናቸውን	mˈəhonat͡ʃəwɨn
መንፈሳዊ	mˈənɨfəsawi
መጋቢት	mˈəɡaβit
ምርምር	mˈɨrɨmɨr
ምክንያቶች	mˈɨkɨnɨjatot͡ʃ
ራሱ	rˈasu
በሦስት	bˈəsosɨt
በሰላም	bˈəsəlam
በቅዱስ	bˈək`ɨdus
በተደጋጋሚ	bˈətədəɡaɡami
በአማርኛ	bˈəʔamarɨɲa
አንድነት	ʔˈanɨdɨnət
ኣንዱ	ʔˈanɨdu
እንደነበሩ	ʔˈɨnɨdənəβəru
እዚያው	ʔˈɨzijaw
እድል	ʔˈɨdɨl
ከጥቂት	kˈət`ɨk`it
ከፍታ	kˈəfɨta
ክርክር	kˈɨrɨkɨr
ወንዶችና	wˈənɨdot͡ʃɨna
ውጊያ	wˈɨɡija
ውጤቶች	wˈɨt`etot͡ʃ
የሃይማኖት	jˈəhajɨmanot
የሚሆን	jˈəmihon
የሚችሉ	jˈəmit͡ʃɨlu
የሚኖር	jˈəminor
የሴት	jˈəset
የተሠራ	jˈətəsəra
ያክል	jˈakɨl
ይህንንም	jˈɨhɨnɨnɨm
ይኖሩ	jˈɨnoru
ደሴቶች	dˈəsetot͡ʃ
ደስታ	dˈəsɨta
ገጽታ	ɡˈətsɨta
ግሪክ	ɡˈɨrik
ጥቃቅን	t`ˈɨk`ak`ɨn
ፊደሎች	fˈidəlot͡ʃ
ሁልጊዜ	hˈulɨɡize
ሃይማኖታዊ	hˈajɨmanotawi
ለመከላከል	lˈəməkəlakəl
ለማየት	lˈəmajət
ልማት	lˈɨmat
ሐውልት	hˈawɨlɨt
መፈንቅለ	mˈəfənɨk`ɨlə
ምርጥ	mˈɨrɨt`
ምትክ	mˈɨtɨk
ሳምንት	sˈamɨnɨt
ስልክ	sˈɨlɨk
ስራው	sˈɨraw
ቅርብ	k`ˈɨrɨb
በመሄድ	bˈəməhed
በሰሜን	bˈəsəmen
በተወለዱ	bˈətəwələdu
በደብረ	bˈədəβɨrə
ባሻገር	bˈaʃaɡər
ብሔሮች	bˈɨherot͡ʃ
ብረት	bˈɨrət
ተከትሎ	tˈəkətɨlo
ነዉ	nˈəwu
አላማ	ʔˈalama
አባባል	ʔˈaβaβal
አብ	ʔˈab
አዝማች	ʔˈazɨmat͡ʃ
እነርሱ	ʔˈɨnərɨsu
እንጨት	ʔˈɨnɨt͡ʃ`ət
ኦርቶዶክስ	ʔˈorɨtodokɨs
ከመሬት	kˈəməret
ክርስቲያናት	kˈɨrɨsɨtijanat
ወታደር	wˈətadər
ወጥቶ	wˈət`ɨto
ውስጥም	wˈɨsɨt`ɨm
ዘርፎች	zˈərɨfot͡ʃ
የቤት	jˈəβet
የተሰኘ	jˈətəsəɲə
ዲ	dˈi
ግዛቱ	ɡˈɨzatu
ግጥም	ɡˈɨt`ɨm
ጥላ	t`ˈɨla
ጽላቶች	tsˈɨlatot͡ʃ
ፈሳሽ	fˈəsaʃ
ፈጣሪ	fˈət`ari
ልጆችን	lˈɨd͡ʒot͡ʃɨn
መስጠት	mˈəsɨt`ət
መድሃኒት	mˈədɨhanit
መጨረሻው	mˈət͡ʃ`ərəʃaw
መጽሐፈ	mˈətsɨhafə
ማህበር	mˈahɨβər
ሰኔ	sˈəne
ሳይንሳዊ	sˈajɨnɨsawi
ስማቸው	sˈɨmat͡ʃəw
ስርጭት	sˈɨrɨt͡ʃ`ɨt
በሚለው	bˈəmiləw
በሚባል	bˈəmiβal
በሚከተለው	bˈəmikətələw
በተረፈ	bˈətərəfə
ባለሙያ	bˈaləmuja
ብቸኛ	bˈɨt͡ʃəɲa
ተወላጆች	tˈəwəlad͡ʒot͡ʃ
ታቦር	tˈaβor
ትእዛዝ	tˈɨʔɨzaz
አማልክት	ʔˈamalɨkɨt
አረመኔ	ʔˈarəməne
አስራ	ʔˈasɨra
አገረ	ʔˈaɡərə
እስር	ʔˈɨsɨr
እስያ	ʔˈɨsɨja
እውነተኛ	ʔˈɨwɨnətəɲa
ከተማውን	kˈətəmawɨn
ከአለት	kˈəʔalət
ካሳ	kˈasa
ክፉ	kˈɨfu
ኮሌጅ	kˈoled͡ʒ
ኮምፕዩተራይዝ	kˈomɨpɨjutərajɨz
ወንጀል	wˈənɨd͡ʒəl
ዕቃ	ʔˈɨk`a
ዝምድና	zˈɨmɨdɨna
ዝናብ	zˈɨnab
የህይወት	jˈəhɨjɨwət
የሕይወት	jˈəhɨjɨwət
የመሳሰሉ	jˈəməsasəlu
የሚታወቅ	jˈəmitawək`
የቀድሞው	jˈək`ədɨmow
የነበር	jˈənəβər
የጀርመን	jˈəd͡ʒərɨmən
ያለምንም	jˈaləmɨnɨm
ጅረት	d͡ʒˈɨrət
ጊዜያዊ	ɡˈizejawi
ጨለማ	t͡ʃ`ˈələma
ጨረር	t͡ʃ`ˈərər
ሀሣብ	hˈasab
ሁለቱን	hˈulətun
ሁሉን	hˈulun
ሃገር	hˈaɡər
ለኢትዮጵያ	lˈəʔitɨjop`ɨja
ልጃቸው	lˈɨd͡ʒat͡ʃəw
መስራች	mˈəsɨrat͡ʃ
መስፍን	mˈəsɨfɨn
መጥተው	mˈət`ɨtəw
ሙሴ	mˈuse
ማንነት	mˈanɨnət
ምክንያቱ	mˈɨkɨnɨjatu
ሦስተኛ	sˈosɨtəɲa
ሦስቱ	sˈosɨtu
ሲሄድ	sˈihed
ሳጥን	sˈat`ɨn
ስራዎችን	sˈɨrawot͡ʃɨn
ስጦታ	sˈɨt`ota
ቅዱሳን	k`ˈɨdusan
በሥነ	bˈəsɨnə
በርግጥ	bˈərɨɡɨt`
በስሜን	bˈəsɨmen
በተለየ	bˈətələjə
በኮምፕዩተር	bˈəkomɨpɨjutər
በየጊዜው	bˈəjəɡizew
ተረት	tˈərət
ተሰማ	tˈəsəma
ታዲያ	tˈadija
ንዑስ	nˈɨʔus
አባቶች	ʔˈaβatot͡ʃ
አብዮት	ʔˈaβɨjot
አጋጣሚ	ʔˈaɡat`ami
ኢብን	ʔˈiβɨn
እራሳቸውን	ʔˈɨrasat͡ʃəwɨn
እቃ	ʔˈɨk`a
እዚያ	ʔˈɨzija
ከቶ	kˈəto
ካሉት	kˈalut
ክርስቲያኖች	kˈɨrɨsɨtijanot͡ʃ
ክርስትና	kˈɨrɨsɨtɨna
ዘለቀ	zˈələk`ə
የሌለው	jˈəleləw
የመጡ	jˈəmət`u
የሚሆኑ	jˈəmihonu
የሚቆጠሩ	jˈəmik`ot`əru
የሚያስችል	jˈəmijasɨt͡ʃɨl
የሥነ	jˈəsɨnə
የራሳቸውን	jˈərasat͡ʃəwɨn
የራስ	jˈəras
የሱመር	jˈəsumər
የቆየ	jˈək`ojə
የቋንቋ	jˈək`wanɨk`wa
የታወቀ	jˈətawək`ə
የእርሱ	jˈəʔɨrɨsu
የጣልያን	jˈət`alɨjan
ዳርቻ	dˈarɨt͡ʃa
ግንዛቤ	ɡˈɨnɨzaβe
ጸሎት	tsˈəlot
ፍጡር	fˈɨt`ur
ሀገራት	hˈaɡərat
ህዋሳት	hˈɨwasat
ለተለያዩ	lˈətələjaju
ለዚህም	lˈəzihɨm
መሆናቸው	mˈəhonat͡ʃəw
መምህሮች	mˈəmɨhɨrot͡ʃ
መረዳት	mˈərədat
መታሰቢያ	mˈətasəβija
መካከለኛ	mˈəkakələɲa
መድረክ	mˈədɨrək
ማቅረብ	mˈak`ɨrəb
ማዕዘን	mˈaʔɨzən
ሠፈሮች	sˈəfərot͡ʃ
ሰውን	sˈəwɨn
ስመ	sˈɨmə
ሸለቆ	ʃˈələk`o
ቅርንጫፍ	k`ˈɨrɨnɨt͡ʃ`af
በሚባለው	bˈəmiβaləw
በማቅረብ	bˈəmak`ɨrəb
በርግጥም	bˈərɨɡɨt`ɨm
በስደት	bˈəsɨdət
በተመለከተ	bˈətəmələkətə
በተካሄደው	bˈətəkahedəw
በነበረበት	bˈənəβərəβət
በአራት	bˈəʔarat
በከተማው	bˈəkətəmaw
በዘመናዊ	bˈəzəmənawi
በጀርመን	bˈəd͡ʒərɨmən
ብዙዎቹ	bˈɨzuwot͡ʃu
ቫይረስ	vˈajɨrəs
ተጠቃሚዎች	tˈət`ək`amiwot͡ʃ
ተጽእኖ	tˈətsɨʔɨno
ትምህርታቸውን	tˈɨmɨhɨrɨtat͡ʃəwɨn
ትርጓሜ	tˈɨrɨɡwame
አማካይነት	ʔˈamakajɨnət
አሥር	ʔˈasɨr
አቋም	ʔˈak`wam
አባይ	ʔˈaβaj
