ላይ	lˈaj
አገሩን	ʔˈaɡərun
እናታቸው	ʔˈɨnatat͡ʃəw
እናንተ	ʔˈɨnanɨtə
ከነበሩት	kˈənəβərut
ክብደት	kˈɨβɨdət
ዋነኛ	wˈanəɲa
ዓመተ	ʔˈamətə
ዕድል	ʔˈɨdɨl
ዙር	zˈur
የመረጃ	jˈəmərəd͡ʒa
የሚባለውን	jˈəmiβaləwɨn
የምትገኝ	jˈəmɨtɨɡəɲ
የሮሜ	jˈərome
የሰውነት	jˈəsəwɨnət
የሳይንስ	jˈəsajɨnɨs
የባህር	jˈəβahɨr
የባሕር	jˈəβahɨr
የኔ	jˈəne
ይችላሉ	jˈɨt͡ʃɨlalu
ይኸው	jˈɨhəw
ዮሴፍ	jˈosef
ድንቅ	dˈɨnɨk`
ጎንደር	ɡˈonɨdər
ጥሬ	t`ˈɨre
ጥር	t`ˈɨr
ጨረቃ	t͡ʃ`ˈərək`a
ጸባይ	tsˈəβaj
ፈላስፋ	fˈəlasɨfa
ሁኔታዎች	hˈunetawot͡ʃ
ለሁለት	lˈəhulət
መረጃዎች	mˈərəd͡ʒawot͡ʃ
መስመሮች	mˈəsɨmərot͡ʃ
መስከረም	mˈəsɨkərəm
መከላከያ	mˈəkəlakəja
መገናኛ	mˈəɡənaɲa
መጠነ	mˈət`ənə
ምስክር	mˈɨsɨkɨr
ሰማይ	sˈəmaj
ሲኖሩ	sˈinoru
ስራዎች	sˈɨrawot͡ʃ
ስጋ	sˈɨɡa
ቀበሌ	k`ˈəβəle
ቀንድ	k`ˈənɨd
በመሬት	bˈəməret
በመጀመርያ	bˈəməd͡ʒəmərɨja
ባለስልጣን	bˈaləsɨlɨt`an
ቴወድሮስ	tˈewədɨros
ትምሕርት	tˈɨmɨhɨrɨt
ኛው	ɲˈaw
አባታቸው	ʔˈaβatat͡ʃəw
አትክልት	ʔˈatɨkɨlɨt
አንዷ	ʔˈanɨdwa
አዳም	ʔˈadam
አጠራር	ʔˈat`ərar
አጻጻፍ	ʔˈatsatsaf
ኣዲስ	ʔˈadis
ኤ	ʔˈe
እየተባለ	ʔˈɨjətəβalə
እጥፍ	ʔˈɨt`ɨf
ኦፍ	ʔˈof
ከእነዚህ	kˈəʔɨnəziç
ክልሎች	kˈɨlɨlot͡ʃ
ወንዶች	wˈənɨdot͡ʃ
ውጤቱ	wˈɨt`etu
ዘበኛ	zˈəβəɲa
ዜማ	zˈema
የመንግስት	jˈəmənɨɡɨsɨt
የመጨረሻው	jˈəmət͡ʃ`ərəʃaw
የሚባሉት	jˈəmiβalut
የብዙ	jˈəβɨzu
የነበራቸው	jˈənəβərat͡ʃəw
የንጉሠ	jˈənɨɡusə
የአሦር	jˈəʔasor
የአርጀንቲና	jˈəʔarɨd͡ʒənɨtina
የአውሮፓ	jˈəʔawɨropa
የአገሩ	jˈəʔaɡəru
የክርስትና	jˈəkɨrɨsɨtɨna
የዓመት	jˈəʔamət
የግንባታ	jˈəɡɨnɨβata
ያገኘው	jˈaɡəɲəw
ይበልጥ	jˈɨβəlɨt`
ይኖር	jˈɨnor
ይገኛል	jˈɨɡəɲal
ደርሶ	dˈərɨso
ድረ	dˈɨrə
ዶላር	dˈolar
ገበታ	ɡˈəβəta
ገዢ	ɡˈəʒi
ገዳማ	ɡˈədama
ጊዜው	ɡˈizew
ግምት	ɡˈɨmɨt
ግራ	ɡˈɨra
ግንቦት	ɡˈɨnɨβot
ጎሣ	ɡˈosa
ጠዋት	t`ˈəwat
ጥልቅ	t`ˈɨlɨk`
ጥገኛ	t`ˈɨɡəɲa
ጳውሎስ	p`ˈawɨlos
ፖሊስ	pˈolis
ሀሳብ	hˈasab
ሀገሮች	hˈaɡərot͡ʃ
ሂሳብ	hˈisab
ለመረዳት	lˈəmərədat
ለወዳጅነት	lˈəwədad͡ʒɨnət
ሌሊት	lˈelit
ልጆቹ	lˈɨd͡ʒot͡ʃu
ሕይወታቸውን	hˈɨjɨwətat͡ʃəwɨn
መሣሪያዎች	mˈəsarijawot͡ʃ
መሰል	mˈəsəl
መስራት	mˈəsɨrat
መቀነስ	mˈək`ənəs
መንግሥቱን	mˈənɨɡɨsɨtun
መዝገበ	mˈəzɨɡəβə
ማለቱ	mˈalətu
ማንኛውንም	mˈanɨɲawɨnɨm
ም	mˈɨ
ሥራው	sˈɨraw
ራሳቸውን	rˈasat͡ʃəwɨn
ራዲዮ	rˈadijo
ርስት	rˈɨsɨt
ሲደርስ	sˈidərɨs
ቆይቶ	k`ˈojɨto
ቆዳ	k`ˈoda
በመቀጠል	bˈəmək`ət`əl
በተለያየ	bˈətələjajə
በአገሪቱ	bˈəʔaɡəritu
በኣንድ	bˈəʔanɨd
በድንገት	bˈədɨnɨɡət
ባለሥልጣናት	bˈaləsɨlɨt`anat
ባርያ	bˈarɨja
ብሔረሰብ	bˈɨherəsəb
ብዙም	bˈɨzum
ተከተል	tˈəkətəl
ተወዳጅ	tˈəwədad͡ʒ
ተገዥ	tˈəɡəʒ
ተጽፎ	tˈətsɨfo
ተፈሪ	tˈəfəri
ትንቢት	tˈɨnɨβit
ነገድ	nˈəɡəd
ናት	nˈat
አስተዋጽኦ	ʔˈasɨtəwatsɨʔo
አንስቶ	ʔˈanɨsɨto
ኣከታተብ	ʔˈakətatəb
እርግጠኛ	ʔˈɨrɨɡɨt`əɲa
ከሌላው	kˈəlelaw
ክምችት	kˈɨmɨt͡ʃɨt
ወለድ	wˈələd
ወይን	wˈəjɨn
ዕውቅና	ʔˈɨwɨk`ɨna
ዝግጅት	zˈɨɡɨd͡ʒɨt
የሁለተኛ	jˈəhulətəɲa
የሚያሳይ	jˈəmijasaj
የቆዳ	jˈək`oda
የተፈጠረ	jˈətəfət`ərə
የአካል	jˈəʔakal
የኢየሱስ	jˈəʔijəsus
የካቲት	jˈəkatit
የጥንታዊ	jˈət`ɨnɨtawi
የጥንት	jˈət`ɨnɨt
የጻፈው	jˈətsafəw
ያልሆኑ	jˈalɨhonu
ዳግመኛ	dˈaɡɨməɲa
ድርሻ	dˈɨrɨʃa
ጊዜያት	ɡˈizejat
ግዕዝኤዲት	ɡˈɨʔɨzɨʔedit
ጸሐፊዎች	tsˈəhafiwot͡ʃ
ፍሬው	fˈɨrew
ለሌሎች	lˈəlelot͡ʃ
ላቲን	lˈatin
መርከብ	mˈərɨkəb
መኳንንት	mˈəkwanɨnɨt
መጠጥ	mˈət`ət`
መፍጠር	mˈəfɨt`ər
ማርች	mˈarɨt͡ʃ
ረቂቅ	rˈək`ik`
ሲሞቱ	sˈimotu
ቆጠራ	k`ˈot`əra
በመሆናቸው	bˈəməhonat͡ʃəw
በጥይት	bˈət`ɨjɨt
ቢሮ	bˈiro
ቢጫ	bˈit͡ʃ`a
ባብዛኛው	bˈaβɨzaɲaw
ብሄራዊ	bˈɨherawi
ተገቢ	tˈəɡəβi
ተጫዋች	tˈət͡ʃ`awat͡ʃ
ትዝታ	tˈɨzɨta
ኅብረት	hˈɨβɨrət
አረቢያ	ʔˈarəβija
አሸንፎ	ʔˈaʃənɨfo
እስራኤል	ʔˈɨsɨraʔel
እንግሊዝ	ʔˈɨnɨɡɨliz
እንግሊዞች	ʔˈɨnɨɡɨlizot͡ʃ
ከሆኑ	kˈəhonu
ከአዲስ	kˈəʔadis
ወንድሙ	wˈənɨdɨmu
ወደብ	wˈədəb
ወጣቶች	wˈət`atot͡ʃ
ዘይቤ	zˈəjɨβe
ዜሮ	zˈero
ዝነኛ	zˈɨnəɲa
የሕግ	jˈəhɨɡ
የመሳሰሉትን	jˈəməsasəlutɨn
የመጣው	jˈəmət`aw
የሚያገለግል	jˈəmijaɡələɡɨl
የተሰጠው	jˈətəsət`əw
የአላህ	jˈəʔalax
የኦሮሞ	jˈəʔoromo
የውስጥ	jˈəwɨsɨt`
የፈረንሳይ	jˈəfərənɨsaj
የፍልስፍና	jˈəfɨlɨsɨfɨna
ይቅርታ	jˈɨk`ɨrɨta
ዴሞክራሲያዊ	dˈemokɨrasijawi
ጀርባ	d͡ʒˈərɨβa
ጋዜጠኞች	ɡˈazet`əɲot͡ʃ
ለጥቂት	lˈət`ɨk`it
ለፊት	lˈəfit
ሐምሌ	hˈamɨle
ሐዋርያት	hˈawarɨjat
መዝሙር	mˈəzɨmur
መድኃኒት	mˈədɨhanit
መግቢያ	mˈəɡɨβija
ሙስሊሞች	mˈusɨlimot͡ʃ
ማሽን	mˈaʃɨn
ምስጋና	mˈɨsɨɡana
ሞላ	mˈola
ሥፍራዎች	sˈɨfɨrawot͡ʃ
ሰላማዊ	sˈəlamawi
ስነ	sˈɨnə
ሻለቃ	ʃˈalək`a
ቀጥሎም	k`ˈət`ɨlom
ቁሶች	k`ˈusot͡ʃ
ቃሉ	k`ˈalu
ቄስ	k`ˈes
ቋንቋው	k`wˈanɨk`waw
በሁለቱ	bˈəhulətu
በመርከብ	bˈəmərɨkəb
በመግባት	bˈəməɡɨβat
በራስ	bˈəras
በአፍሪካ	bˈəʔafɨrika
በእርግጥ	bˈəʔɨrɨɡɨt`
በእሳት	bˈəʔɨsat
በፍጥነት	bˈəfɨt`ɨnət
ባሉት	bˈalut
ባሕል	bˈahɨl
ብሎም	bˈɨlom
ብቃት	bˈɨk`at
ተሳትፎ	tˈəsatɨfo
ተግባራዊ	tˈəɡɨβarawi
ትላልቅ	tˈɨlalɨk`
ትንንሽ	tˈɨnɨnɨʃ
ኅልዮት	hˈɨlɨjot
ነገስታት	nˈəɡəsɨtat
ነጠላ	nˈət`əla
አሉት	ʔˈalut
አስተኔ	ʔˈasɨtəne
አንድም	ʔˈanɨdɨm
እርሻ	ʔˈɨrɨʃa
እሳቸው	ʔˈɨsat͡ʃəw
እንዳሉ	ʔˈɨnɨdalu
እንዴ	ʔˈɨnɨde
እያሱ	ʔˈɨjasu
ከሆኑት	kˈəhonut
ከመሆኑ	kˈəməhonu
ከታች	kˈətat͡ʃ
ከነሱም	kˈənəsum
ከውጭ	kˈəwɨt͡ʃ`
ኮምፕዩተር	kˈomɨpɨjutər
ወረቀት	wˈərək`ət
ዓረፍተ	ʔˈarəfɨtə
ዝርዮች	zˈɨrɨjot͡ʃ
ዝቅተኛ	zˈɨk`ɨtəɲa
የሁለት	jˈəhulət
የመሳሰሉት	jˈəməsasəlut
የሰሜን	jˈəsəmen
የቀረበ	jˈək`ərəβə
የበላይ	jˈəβəlaj
የአካባቢ	jˈəʔakaβaβi
የእስራኤል	jˈəʔɨsɨraʔel
የዱር	jˈədur
የጤና	jˈət`ena
ዩኒቨርስቲ	jˈunivərɨsɨti
ያለበትን	jˈaləβətɨn
ይልቁኑ	jˈɨlɨk`unu
ይታወቅ	jˈɨtawək`
ግዙፍ	ɡˈɨzuf
ግድግዳ	ɡˈɨdɨɡɨda
ግፊት	ɡˈɨfit
ጥቅስ	t`ˈɨk`ɨs
ሃያላት	hˈajalat
ሄደው	hˈedəw
ለመስራት	lˈəməsɨrat
ለመያዝ	lˈəməjaz
ለማመልከት	lˈəmaməlɨkət
ለማከም	lˈəmakəm
ሊቀመንበር	lˈik`əmənɨβər
ሊግ	lˈiɡ
ላይም	lˈajɨm
ሌላውን	lˈelawɨn
መዋቅር	mˈəwak`ɨr
ሙሐመድ	mˈuhaməd
ሚስቱ	mˈisɨtu
ማህበረሰብ	mˈahɨβərəsəb
ማስተማር	mˈasɨtəmar
ምሕረት	mˈɨhɨrət
ምንድን	mˈɨnɨdɨn
ሞክሼዎች	mˈokɨʃewot͡ʃ
ሠላሳ	sˈəlasa
ሠራተኞች	sˈəratəɲot͡ʃ
ሬዲዮ	rˈedijo
ርዕዮተ	rˈɨʔɨjotə
ሳይንቲስቶች	sˈajɨnɨtisɨtot͡ʃ
ስላለው	sˈɨlaləw
በሁሉ	bˈəhulu
በመስራት	bˈəməsɨrat
በማንኛውም	bˈəmanɨɲawɨm
በስተ	bˈəsɨtə
በስፋት	bˈəsɨfat
በተሻለ	bˈətəʃalə
በቻይና	bˈət͡ʃajɨna
በአገሩ	bˈəʔaɡəru
በውጭ	bˈəwɨt͡ʃ`
በዙሪያው	bˈəzurijaw
ተግባራት	tˈəɡɨβarat
ትተው	tˈɨtəw
ነብዩ	nˈəβɨju
ነዋሪዎች	nˈəwariwot͡ʃ
ነገሩ	nˈəɡəru
ንዋይ	nˈɨwaj
አ	ʔˈa
አምልኮ	ʔˈamɨlɨko
አምሥት	ʔˈamɨsɨt
አርባ	ʔˈarɨβa
አባቴ	ʔˈaβate
አካባቢው	ʔˈakaβaβiw
ኣጠቃቀም	ʔˈat`ək`ak`əm
እምነቶች	ʔˈɨmɨnətot͡ʃ
እሱን	ʔˈɨsun
እንቅፋት	ʔˈɨnɨk`ɨfat
እንደሚችል	ʔˈɨnɨdəmit͡ʃɨl
እንዳልሆነ	ʔˈɨnɨdalɨhonə
ከሞላ	kˈəmola
ከነበረው	kˈənəβərəw
ክስተቶች	kˈɨsɨtətot͡ʃ
ኮከብ	kˈokəb
ወለተ	wˈələtə
ወድቆ	wˈədɨk`o
ወጥተው	wˈət`ɨtəw
ዋንጫ	wˈanɨt͡ʃ`a
የሂሳብ	jˈəhisab
የመላእክት	jˈəməlaʔɨkɨt
የሚመራ	jˈəmiməra
የሚከተለውን	jˈəmikətələwɨn
የራዲዮ	jˈəradijo
የሮማ	jˈəroma
የተጀመረው	jˈətəd͡ʒəmərəw
የተፈለፈ	jˈətəfələfə
የት	jˈət
የንጉሥ	jˈənɨɡus
የንጉሱ	jˈənɨɡusu
የአገር	jˈəʔaɡər
የዚህን	jˈəzihɨn
የጣሊያን	jˈət`alijan
የጥንቱ	jˈət`ɨnɨtu
ዩኒኮድ	jˈunikod
ያላት	jˈalat
ይሄውም	jˈɨhewɨm
ደራስያን	dˈərasɨjan
ደርሰው	dˈərɨsəw
ድንጋዮች	dˈɨnɨɡajot͡ʃ
ጀግና	d͡ʒˈəɡɨna
ጆን	d͡ʒˈon
ገነት	ɡˈənət
ጠላት	t`ˈəlat
ጴጥሮስ	p`ˈet`ɨros
ፈረስ	fˈərəs
ፍርስራሽ	fˈɨrɨsɨraʃ
ፖለቲካ	pˈolətika
ህዋስ	hˈɨwas
ለህትመት	lˈəhɨtɨmət
ላዕላይነት	lˈaʔɨlajɨnət
ልውውጥ	lˈɨwɨwɨt`
ልጅና	lˈɨd͡ʒɨna
መለኪያ	mˈələkija
መለየት	mˈələjət
መላኩ	mˈəlaku
መልሶ	mˈəlɨso
መግባት	mˈəɡɨβat
ማንበብ	mˈanɨβəb
ሰአት	sˈəʔat
ሲያገለግሉ	sˈijaɡələɡɨlu
ሲገባ	sˈiɡəβa
ሳሉ	sˈalu
ሳርጎን	sˈarɨɡon
ስለነበረ	sˈɨlənəβərə
ስምዎ	sˈɨmɨwo
ሽግግር	ʃˈɨɡɨɡɨr
ቀኖና	k`ˈənona
ቀዳሚ	k`ˈədami
ቁልፍ	k`ˈulɨf
በሆነው	bˈəhonəw
በመጽሐፈ	bˈəmətsɨhafə
በመጽሐፍ	bˈəmətsɨhaf
በርሱ	bˈərɨsu
በቃ	bˈək`a
በአየር	bˈəʔajər
በእጅ	bˈəʔɨd͡ʒ
በጊዜ	bˈəɡize
በግልጽ	bˈəɡɨlɨts
በጎ	bˈəɡo
ባላቸው	bˈalat͡ʃəw
ብዙውን	bˈɨzuwɨn
ቴአትር	tˈeʔatɨr
አሦር	ʔˈasor
አርበኞች	ʔˈarɨβəɲot͡ʃ
አስረካቢ	ʔˈasɨrəkaβi
አቀማመጥ	ʔˈak`əmamət`
አንስተኛ	ʔˈanɨsɨtəɲa
አንበሳ	ʔˈanɨβəsa
አዘጋጅ	ʔˈazəɡad͡ʒ
አይን	ʔˈajɨn
አዳል	ʔˈadal
አገዛዝ	ʔˈaɡəzaz
አፈር	ʔˈafər
ኣዳዲስ	ʔˈadadis
እናቴ	ʔˈɨnate
እድሜው	ʔˈɨdɨmew
እጁን	ʔˈɨd͡ʒun
ከቤት	kˈəβet
ከተማዋ	kˈətəmawa
ከነዓን	kˈənəʔan
ከአባቱ	kˈəʔaβatu
ከግሪኩ	kˈəɡɨriku
ከጥንታዊ	kˈət`ɨnɨtawi
ካቶሊክ	kˈatolik
ክስ	kˈɨs
ወሬ	wˈəre
ወሳኝ	wˈəsaɲ
ወጣ	wˈət`a
ዠበብ	ʒˈəβəb
የመጨረሻ	jˈəmət͡ʃ`ərəʃa
የሚሉት	jˈəmilut
የተጻፈው	jˈətətsafəw
የተጻፉ	jˈətətsafu
የታዘዘ	jˈətazəzə
የኖረ	jˈənorə
የደረሱ	jˈədərəsu
ያልሆነ	jˈalɨhonə
ይላል	jˈɨlal
ደ	dˈə
ግራኝ	ɡˈɨraɲ
ጣሊያን	t`ˈalijan
ጣልያን	t`ˈalɨjan
ጽዮን	tsˈɨjon
ፈተና	fˈətəna
ፈጽሞ	fˈətsɨmo
ለመሆኑ	lˈəməhonu
ለውጦች	lˈəwɨt`ot͡ʃ
ሌሎችን	lˈelot͡ʃɨn
መላ	mˈəla
መምጣት	mˈəmɨt`at
መሥራት	mˈəsɨrat
መሥራች	mˈəsɨrat͡ʃ
መቸም	mˈət͡ʃəm
መንግስቱ	mˈənɨɡɨsɨtu
መግለጫ	mˈəɡɨlət͡ʃ`a
ሚዲያ	mˈidija
ማቴዎስ	mˈatewos
ምናልባትም	mˈɨnalɨβatɨm
ሞተ	mˈotə
ሥራውን	sˈɨrawɨn
ርዕስ	rˈɨʔɨs
ሰኑስረት	sˈənusɨrət
ሲመለሱ	sˈimələsu
ስማቸውን	sˈɨmat͡ʃəwɨn
ስንኳ	sˈɨnɨkwa
ቅድመ	k`ˈɨdɨmə
በሌላው	bˈəlelaw
በሕይወት	bˈəhɨjɨwət
በረራ	bˈərəra
በታላቅ	bˈətalak`
በውነት	bˈəwɨnət
በዓማርኛ	bˈəʔamarɨɲa
በግፍ	bˈəɡɨf
በጥሩ	bˈət`ɨru
በጥቂት	bˈət`ɨk`it
ቡና	bˈuna
ቢሊዮን	bˈilijon
ባለሙያዎች	bˈaləmujawot͡ʃ
ባሉ	bˈalu
ባል	bˈal
ቤተሰቦች	bˈetəsəβot͡ʃ
ተከታታይ	tˈəkətataj
ተፈጥሮ	tˈəfət`ɨro
ታማኝ	tˈamaɲ
ትርጉሞች	tˈɨrɨɡumot͡ʃ
አምክንዮ	ʔˈamɨkɨnɨjo
አርፎ	ʔˈarɨfo
አስር	ʔˈasɨr
አተር	ʔˈatər
አገልጋይ	ʔˈaɡəlɨɡaj
እስፔሊንግ	ʔˈɨsɨpelinɨɡ
እቅድ	ʔˈɨk`ɨd
እንጅ	ʔˈɨnɨd͡ʒ
እኮ	ʔˈɨko
ከሁሉም	kˈəhulum
ከምድር	kˈəmɨdɨr
ከሞት	kˈəmot
ከብት	kˈəβɨt
ካርታ	kˈarɨta
ክቡር	kˈɨβur
ኮሚቴ	kˈomite
ወሎ	wˈəlo
ወረዳዎች	wˈərədawot͡ʃ
ወፍ	wˈəf
ዓለምን	ʔˈaləmɨn
ዓማርኛውን	ʔˈamarɨɲawɨn
ዘሮች	zˈərot͡ʃ
ዘገባ	zˈəɡəβa
ዘፋኝ	zˈəfaɲ
የለውም	jˈələwɨm
የሌላ	jˈəlela
የሚገኘውን	jˈəmiɡəɲəwɨn
የምዕራብ	jˈəmɨʔɨrab
የተለመደ	jˈətələmədə
የተባበሩት	jˈətəβaβərut
የተገኙት	jˈətəɡəɲut
የተጻፈ	jˈətətsafə
የአካባቢው	jˈəʔakaβaβiw
የአይሁድ	jˈəʔajɨhud
የካቶሊክ	jˈəkatolik
የኮምፕዩተር	jˈəkomɨpɨjutər
የዛሬ	jˈəzare
ደረጃዎች	dˈərəd͡ʒawot͡ʃ
ደጋፊ	dˈəɡafi
ዱቄት	dˈuk`et
ድርድር	dˈɨrɨdɨr
ዶክተር	dˈokɨtər
ግሪኮች	ɡˈɨrikot͡ʃ
ጎደል	ɡˈodəl
ጥርስ	t`ˈɨrɨs
ጫማ	t͡ʃ`ˈama
ሃሳቦች	hˈasaβot͡ʃ
ሃይማኖቶች	hˈajɨmanotot͡ʃ
ህመም	hˈɨməm
ህጎች	hˈɨɡot͡ʃ
ለማጥፋት	lˈəmat`ɨfat
መመልከት	mˈəməlɨkət
መብላት	mˈəβɨlat
መጽሃፍ	mˈətsɨhaf
ማስታወቂያ	mˈasɨtawək`ija
ማክ	mˈak
ሰንሰለት	sˈənɨsələt
ሰውነት	sˈəwɨnət
ሲታይ	sˈitaj
ስርወ	sˈɨrɨwə
ሶፍትዌር	sˈofɨtɨwer
ሸንጎ	ʃˈənɨɡo
ቅጽል	k`ˈɨtsɨl
በህይወት	bˈəhɨjɨwət
በቀን	bˈək`ən
በተደረገ	bˈətədərəɡə
በውኑ	bˈəwɨnu
ቢሆኑም	bˈihonum
ቦምብ	bˈomɨb
ተለይቶ	tˈələjɨto
ተመራማሪ	tˈəməramari
ተቀምጦ	tˈək`əmɨt`o
ተደርገው	tˈədərɨɡəw
ተጽዕኖ	tˈətsɨʔɨno
ቲያትር	tˈijatɨr
ትምህርቶች	tˈɨmɨhɨrɨtot͡ʃ
ትርዒት	tˈɨrɨʔit
ኃላፊነት	hˈalafinət
ኃይለኛ	hˈajɨləɲa
ኅዋ	hˈɨwa
ነበረች	nˈəβərət͡ʃ
ነጋዴዎች	nˈəɡadewot͡ʃ
ነፋስ	nˈəfas
ንጉሰ	nˈɨɡusə
አለበት	ʔˈaləβət
አል	ʔˈal
አስደናቂ	ʔˈasɨdənak`i
አብዛኛዎቹ	ʔˈaβɨzaɲawot͡ʃu
አትሌት	ʔˈatɨlet
አንቺ	ʔˈanɨt͡ʃi
አዛዥ	ʔˈazaʒ
ኣልቦ	ʔˈalɨβo
እማሆይ	ʔˈɨmahoj
እነሱም	ʔˈɨnəsum
እነኚህ	ʔˈɨnəɲiç
እንዳላቸው	ʔˈɨnɨdalat͡ʃəw
እየሱስ	ʔˈɨjəsus
እያደገ	ʔˈɨjadəɡə
እጃቸውን	ʔˈɨd͡ʒat͡ʃəwɨn
ከሕንዳዊ	kˈəhɨnɨdawi
ከሱ	kˈəsu
ከበደ	kˈəβədə
ከጥቅም	kˈət`ɨk`ɨm
ኩባንያ	kˈuβanɨja
ኪሎሜትር	kˈilometɨr
ኮረብታ	kˈorəβɨta
ወደዚህ	wˈədəziç
ውስጣዊ	wˈɨsɨt`awi
ዕለተ	ʔˈɨlətə
ዕብራውያን	ʔˈɨβɨrawɨjan
ዘመናዊው	zˈəmənawiw
የህክምና	jˈəhɨkɨmɨna
የሕዝቡ	jˈəhɨzɨβu
የመሰለ	jˈəməsələ
የመጀመሪያዋ	jˈəməd͡ʒəmərijawa
የመጽሐፍ	jˈəmətsɨhaf
የሚባሉ	jˈəmiβalu
የሚታየው	jˈəmitajəw
የሚኖሩት	jˈəminorut
የሚደርስ	jˈəmidərɨs
የሲቪል	jˈəsivil
የቁጥር	jˈək`ut`ɨr
የቅርብ	jˈək`ɨrɨb
የባህል	jˈəβahɨl
የብር	jˈəβɨr
የተወለደው	jˈətəwələdəw
የተገኙ	jˈətəɡəɲu
የአምላክ	jˈəʔamɨlak
የከነዓን	jˈəkənəʔan
የኬጥያውያን	jˈəket`ɨjawɨjan
የወጣ	jˈəwət`a
የጀመረው	jˈəd͡ʒəmərəw
የገንዘብ	jˈəɡənɨzəb
የፍቅር	jˈəfɨk`ɨr
ይባላል	jˈɨβalal
ይኸውም	jˈɨhəwɨm
ይገኝ	jˈɨɡəɲ
ይግባኝ	jˈɨɡɨβaɲ
ደህና	dˈəhɨna
ደረሰ	dˈərəsə
ደቀ	dˈək`ə
ዳንኤል	dˈanɨʔel
ጌታችን	ɡˈetat͡ʃɨn
ግዴታ	ɡˈɨdeta
ጥሩነሽ	t`ˈɨrunəʃ
ጥቅሞች	t`ˈɨk`ɨmot͡ʃ
ጫና	t͡ʃ`ˈana
ጽኑ	tsˈɨnu
ፈንክሽን	fˈənɨkɨʃɨn
ፍንዳታ	fˈɨnɨdata
ህዝቡ	hˈɨzɨβu
ለማንኛውም	lˈəmanɨɲawɨm
ለራሳቸው	lˈərasat͡ʃəw
ለአጭር	lˈəʔat͡ʃ`ɨr
ለእርሱ	lˈəʔɨrɨsu
ለዓለም	lˈəʔaləm
ሊባኖስ	lˈiβanos
ልምድ	lˈɨmɨd
ሐይቅ	hˈajɨk`
መርሻ	mˈərɨʃa
መስፋፋት	mˈəsɨfafat
መካ	mˈəka
መጣ	mˈət`a
ማስታወሻ	mˈasɨtawəʃa
ምነው	mˈɨnəw
ሠርቶ	sˈərɨto
ሰልፍ	sˈəlɨf
ሲመጣ	sˈimət`a
ቀርቶ	k`ˈərɨto
ቁቤ	k`ˈuβe
ቅጂዎች	k`ˈɨd͡ʒiwot͡ʃ
ቆይተው	k`ˈojɨtəw
ቋንቋን	k`wˈanɨk`wan
ቍጥር	k`wˈɨt`ɨr
ቍጥሮች	k`wˈɨt`ɨrot͡ʃ
በሚገኙ	bˈəmiɡəɲu
በማናቸውም	bˈəmanat͡ʃəwɨm
በምሥራቅ	bˈəmɨsɨrak`
በርሳቸው	bˈərɨsat͡ʃəw
በተመሳሳይ	bˈətəməsasaj
በትንሹ	bˈətɨnɨʃu
