က	ka̰
ချိုချဉ်	t͡ɕʰòt͡ɕʰɪ̀ɴ
ချိုး	t͡ɕʰó
ချီလီ	t͡ɕʰìlì
ချုပ်	t͡ɕʰoʊʔ
ချူးအင်းဂမ်း	t͡ɕʰúʔɪ́ɴɡáɴ
ချေ	d͡ʑè
ချေ	d͡ʑì
ချေ	t͡ɕʰè
ချေ	t͡ɕʰì
ချော	t͡ɕʰɔ́
ချောကလက်	t͡ɕʰɔ́kəlɛʔ
ချောက်	t͡ɕʰaʊʔ
ချောင်	t͡ɕʰàʊɴ
ချောင်း	t͡ɕʰáʊɴ
ချော်	t͡ɕʰɔ̀
ချေး	t͡ɕʰí
ချေးထုပ်	t͡ɕʰétʰoʊʔ
ချဲ့ချဲ့	t͡ɕʰɛ̰d͡ʑɛ̰
ချွန်	t͡ɕʰʊ̀ɴ
ချွန်ထက်	t͡ɕʰʊ̀ɴtʰɛʔ
ချွေး	t͡ɕʰwé
ချွေးမ	t͡ɕʰwéma̰
ချွံချွံ	t͡ɕʰʊ̀ɴd͡ʑʊ̀ɴ
ခြ	t͡ɕʰa̰
ခြင်	t͡ɕʰɪ̀ɴ
ခြင်း	t͡ɕʰɪ́ɴ
ခြင်းလုံး	t͡ɕʰɪ́ɴlóʊɴ
ခြင်္သေ့	t͡ɕʰɪ̀ɴðḛ
ခြင်္သေ့ကလေး	t͡ɕʰɪ̀ɴðḛɡəlé
ခြင်္သေ့မ	t͡ɕʰɪ̀ɴðḛma̰
ခြည်	t͡ɕʰì
ခြတောင်ပို့	t͡ɕʰa̰tàʊɴbo̰
ခြမ်း	t͡ɕʰáɴ
ခြား	t͡ɕʰá
ခြားနား	t͡ɕʰáná
ခြားနားချက်	t͡ɕʰánád͡ʑɛʔ
ခြေ	t͡ɕʰè
ခြေစွပ်	t͡ɕʰèzʊʔ
ခြေထောက်	t͡ɕʰèdaʊʔ
ခြေနင်း	t͡ɕʰènɪ́ɴ
ခြေဖနောင့်	t͡ɕʰèbəna̰ʊɴ
ခြေဖဝါး	t͡ɕʰèbəwá
ခြေသည်း	t͡ɕʰèðé
ခြေအိတ်	t͡ɕʰèʔeɪʔ
ခြောက်	t͡ɕʰaʊʔ
ခြောက်လ	t͡ɕʰaʊʔla̰
ခြံ	t͡ɕʰàɴ
ခွက်	kʰwɛʔ
ခွင့်လွှတ်	kʰwɪ̰ɴl̥ʊʔ
ခွဆုံ	ɡwa̰zòʊɴ
ခွန်	kʰʊ̀ɴ
ခွန်း	kʰʊ́ɴ
ခွာ	kʰwà
ခွာနာလျှာနာ	kʰwànàʃànà
ခွေး	kʰwé
ခွေးမ	kʰwéma̰
ခွေးမသား	kʰwéma̰ðá
ခွေးရူးပြန်ရောဂါ	kʰwéjúbjàɴjɔ́ɡà
ခွေးသူတောင်းစား	kʰwéðədáʊɴzá
ခွေးအိမ်	kʰwéʔèɪɴ
ခွဲ	kʰwɛ́
ခွံ	kʰʊ̀ɴ
ဂငယ်	ɡa̰ŋɛ̀
ဂငယ်ကွေ့	ɡa̰ŋɛ̀ɡwḛ
ဂင်းနီဗစ်ဆော	ɡɪ́ɴnìbɪʔsʰɔ́
ဂင်္ဂါ	ɡɪ̀ɴɡà
ဂဏန်း	ɡənáɴ
ဂဏန်းတွက်စက်	ɡənáɴtwɛʔsɛʔ
ဂန္ထဗေဒ	ɡàɴtʰa̰bèda̰
ဂန္ထဝင်	ɡàɴdəwɪ̀ɴ
ဂန္ဒမာ	ɡàɴdəmà
ဂန်ဂျာ	ɡàɴd͡ʑà
ဂန်ဒူး	ɡàɴdú
ဂမ်ဘီယာ	ɡàɴbìjà
ဂယ်လက်ဆီ	ɡɛ̀lɛʔsʰì
ဂရပ်	ɡəɹaʔ
ဂရမ်	ɡəɹàɴ
ဂရိ	ɡəɹḭ
ဂရိတ်ဗြိတိန်	ɡəɹeɪʔbjḭtèɪɴ
ဂရု	ɡəjṵ
ဂလင်း	ɡəlɪ́ɴ
ဂဠုန်	ɡəlòʊɴ
ဂါထာ	ɡàtʰà
ဂါနာ	ɡànà
ဂါဘွန်	ɡàbʊ̀ɴ
ဂိတ်	ɡeɪʔ
ဂိတ်ဆုံး	ɡeɪʔsʰóʊɴ
ဂိမှာန်	ɡèɪɴm̥àɴ
ဂိရိမေခလာ	ɡḭɹḭmèkʰəlà
ဂိုင်ယာနာ	ɡàɪɴjànà
ဂိုဏ်း	ɡón
ဂိုဏ်းချုပ်	ɡáɪɴd͡ʑoʊʔ
ဂိုဏ်းထောက်	ɡóndaʊʔ
ဂိုဏ်းအုပ်	ɡónʔoʊʔ
ဂိုဒေါင်	ɡòdàʊɴ
ဂီတ	ɡìta̰
ဂီတပညာ	ɡìta̰pa̰ɲà
ဂီတသမား	ɡìta̰ðəmá
ဂီတာ	ɡìtà
ဂီနီ	ɡìnì
ဂုဏ်	ɡòʊɴ
ဂုန္တန်	ɡòʊɴdàɴ
ဂုရု	ɡṵɹṵ
ဂူ	ɡù
ဂေဟဗေဒ	ɡèha̰ta̰bèda̰
ဂေါက်	ɡaʊʔ
ဂေါတမ	ɡɔ́təma̰
ဂေါတမဘုရား	ɡɔ́təma̰pʰəjá
ဂေါ်	ɡɔ̀
ဂေါ်ဖီထုပ်	ɡɔ̀bìdoʊʔ
ဂေါ်ဖီပန်း	ɡɔ̀bìpáɴ
ဂေါ်မိတ်	ɡɔ̀meɪʔ
ဂေါ်ရခါး	ɡɔ̀jəkʰá
ဂေါ်ရခါးသီး	ɡɔ̀jəkʰáθí
ဂျက်	d͡ʑɛʔ
ဂျင်	d͡ʑɪ̀ɴ
ဂျင်းဘောင်းဘီ	d͡ʑɪ́ɴbáʊɴbì
ဂျပန်	d͡ʑəpàɴ
ဂျမေကာ	d͡ʑəmèkà
ဂျလေဘီ	d͡ʑəlèbì
ဂျာမနီ	d͡ʑàmənì
ဂျာမန်	d͡ʑàmàɴ
ဂျီဘူတီ	d͡ʑìbùtì
ဂျုံ	d͡ʑòʊɴ
ဂျုံမှုန့်	d͡ʑòʊɴm̥o̰ʊɴ
ဂျူး	d͡ʑú
ဂျေရုဆလင်	d͡ʑèɹṵsʰa̰lɪ̀ɴ
ဂျော့ခ်ျ	d͡ʑɔ̰t͡ɕʰə
ဂျော်ဂျီယာ	d͡ʑɔ̀d͡ʑìjà
ဂျော်ဒန်	d͡ʑɔ̀dàɴ
ဂျော်နီ	d͡ʑɔ̀nì
ဂြိုဟ်	d͡ʑò
ဂြိုဟ်တု	d͡ʑòhdṵ
ဂွမ်း	ɡʊ́ɴ
ဂွါတီမာလာ	ɡwàtìmàlà
ဂွေး	ɡwé
ဃကြီး	ɡa̰d͡ʑí
င	ŋa̰
ငချိတ်	ŋət͡ɕʰeɪʔ
ငတ်	ŋaʔ
ငန်	ŋàɴ
ငန်း	ŋáɴ
ငယ်	ŋɛ̀
ငရုတ်	ŋəjoʊʔ
ငရုတ်ကောင်း	ŋəjoʊʔɡáʊɴ
ငရဲ	ŋəjɛ́
ငရဲကြီးရှစ်ထပ်	ŋəjɛ́d͡ʑíʃɪʔtʰaʔ
ငရဲမင်း	ŋəjɛ́mɪ́ɴ
ငရဲသား	ŋəjɛ́ðá
ငလျင်	ŋəljɪ̀ɴ
ငါ	ŋà
ငါတို့	ŋàto̰
ငါ့	ŋa̰
ငါး	ŋá
ငါးကျပ်တင်	ŋát͡ɕaʔtɪ̀ɴ
ငါးကြင်း	ŋád͡ʑɪ́ɴ
ငါးခူ	ŋəkʰù
ငါးပိ	ŋəpḭ
ငါးပိထောင်း	ŋápḭtʰáʊɴ
ငါးပိရည်	ŋəpḭjè
ငါးပုဏ္ဏား	ŋəpòʊɴná
ငါးပေါင်းထုပ်	ŋəbáʊɴdoʊʔ
ငါးဖန်ခွက်	ŋəpʰàɴɡwɛʔ
ငါးဖယ်	ŋəpʰɛ̀
ငါးဖျင်းသလက်	ŋəpʰjɪ́ɴθəlɛʔ
ငါးမန်း	ŋəmáɴ
ငါးမုန့်	ŋámo̰ʊɴ
ငါးမူး	ŋámú
ငါးမျှားတံ	ŋəm̥jádàɴ
ငါးမြစ်ချင်း	ŋəmjɪʔt͡ɕʰɪ́ɴ
ငါးရံ့	ŋəja̰ɴ
ငါးလ	ŋála̰
ငါးသလောက်	ŋəθəlaʊʔ
ငါးသလောက်ပေါင်း	ŋəθəlaʊʔbáʊɴ
ငါးဥ	ŋáʔṵ
ငို	ŋò
ငု	ŋṵ
ငုစပ်	ŋṵzaʔ
ငုသိမ်	ŋṵðèɪɴ
ငူတူတူ	ŋùtùdù
ငံ	ŋàɴ
ငံပြာရည်	ŋàɴbjàjè
ငြာ	ɲà
ငြိမ်းချမ်းရေး	ɲéɪɴd͡ʑáɴjé
ငွေ	ŋwè
ငွေကြေး	ŋwèt͡ɕé
ငွေသား	ŋwèðá
ငွေ့ငွေ့	ŋwḛŋwḛ
ငှက်	ŋ̊ɛʔ
ငှက်ဆိုး	ŋ̊ɛʔsʰó
ငှက်ပျော	ŋəpjɔ́
ငှက်ပျောပေါင်း	ŋ̊əbjɔ́báʊɴ
ငှက်ဖျား	ŋ̊ɛʔpʰjá
ငှါး	ŋ̊á
ငှား	ŋ̊á
စ	sa̰
စကတ်	səkaʔ
စကား	zəɡá
စကားထာ	zəɡətʰà
စကားနည်းရန်စဲ	zəɡánɛ́jàɴzɛ́
စကားပုံ	zəɡəbòʊɴ
စကားပြန်	zəɡəbjàɴ
စကားပြောကြေးနန်း	zəɡábjɔ́t͡ɕénáɴ
စကားလုံး	zəɡəlóʊɴ
စကားဝှက်	zəɡəʍɛʔ
စက္ကန့်	sɛʔka̰ɴ
စက္ကရီတေရီ	sɛʔkəɹìtèjì
စက္ကူ	sɛʔkù
စက်	sɛʔ
စက်ခေါင်း	sɛʔɡáʊɴ
စက်ဆရာ	sɛʔsʰəjà
စက်ဆုပ်	sɛʔsʰoʊʔ
စက်တင်ဘာ	sɛʔtɪ̀ɴbà
စက်ဘီး	sɛʔbéɪɴ
စက်ရုပ်	sɛʔjoʊʔ
စက်ရုံ	sɛʔjòʊɴ
စက်လှေကား	sɛʔl̥èɡá
စက်သုံးဆီဆိုင်	sɛʔθóʊɴsʰìsʰàɪɴ
စက်သေနတ်	sɛʔθənaʔ
စကြဝဠာ	sɛʔt͡ɕàwəlà
စကြာ	sɛʔt͡ɕà
စကြာဝဠာဗေဒ	sɛʔt͡ɕàwəlàbèda̰
စခန်း	səkʰáɴ
စင်	sɪ̀ɴ
စင်ကာပူ	sɪ̀ɴɡəpù
စင်စင်	sɪ̀ɴzɪ̀ɴ
စင်း	sɪ́ɴ
စင်္ကာပူ	sɪ̀ɴɡəpù
စင်္ကြံ	zɪ́ɴd͡ʑàɴ
စစ်	sɪʔ
စစ်ကိုင်း	zəɡáɪɴ
စစ်ကဲ	sɪʔkɛ́
စစ်တပ်	sɪʔtaʔ
စစ်တုရင်	sɪʔbəjɪ̀ɴ
စစ်တွေ	sɪʔtwè
စစ်ဗိုလ်	sɪʔbò
စစ်သား	sɪʔθá
စဉ်းစား	sɪ́ɴzá
စည်	sì
စည်ပိုင်း	sìbáɪɴ
စည်း	sí
စည်းပုံ	síbòʊɴ
စတိုး	sətó
စတု	zətṵ
စတုဂံ	sətṵɡàɴ
စတုတ္ထ	zədoʊʔtʰa̰
စတုဒိသာ	sətṵdḭθà
စတုရန်း	sətṵjáɴ
စတေဒီယံ	sətèdìjàɴ
စနစ်	sənɪʔ
စနေ	sənè
စန္ဒရား	sàɴdəjá
စန္ဒာ	sàɴdà
စန္ဒီ	sàɴdì
စန္ဒြမာသ	sàɴdɹa̰màθa̰
စန္ဒြာ	sàɴdɹà
စန်း	sáɴ
စပါး	zəbá
စပါးလင်	zəbəlɪ̀ɴ
စပိန်	səpèɪɴ
စပ်	saʔ
စပျစ်	zəbjɪʔ
စပျစ်သီး	zəbjɪʔθí
စပွတ်နစ်	səpʊʔnɪʔ
စမတ်	səmaʔ
စမူဆာ	səmùzà
စမူဆာသုပ်	səmùzàθoʊʔ
စမ်း	sáɴ
စရိတ်	zəjeɪʔ
စရိုက်	zəjaɪʔ
စလုံး	sa̰lóʊɴ
စလွယ်	səlwè
စအို	səʔò
စာ	sà
စာကိုယ်	sàɡò
စာကြည့်တိုက်	sàt͡ɕḭdaɪʔ
စာချုပ်	sət͡ɕʰoʊʔ
စာစောင်	sàzàʊɴ
စာဆို	sàzò
စာတိုက်	sàdaɪʔ
စာပို့	sàbo̰
စာပို့	sàpo̰
စာပုံး	sàbóʊɴ
စာပေ	sàpè
စာဖတ်	sàpʰaʔ
စာမရီ	sàməjì
စာမေးပွဲ	sàmébwɛ́
စာမျက်နှာ	sàmjɛʔn̥à
စာမွဲ	səmwɛ́
စာရင်း	səjɪ́ɴ
စာရင်းကိုင်	səjɪ́ɴɡàɪɴ
စာရင်းကိုင်ပညာ	səjɪ́ɴɡàɪɴpjɪ̀ɴɲà
စာရင်းအင်း	sàjɪ́ɴʔɪ́ɴ
စာရေး	səjé
စာရေးဆရာ	sàjésʰəjà
စာရွက်စာတမ်း	sàjwɛʔsàdáɴ
စာလုံးပေါင်းသတ်ပုံ	səlóʊɴbáʊɴθaʔpòʊɴ
စာသင်ခန်း	sàθɪ̀ɴɡáɴ
စာသား	sàðá
စာအိတ်	sàʔeɪʔ
စာအုပ်	sàʔoʊʔ
စာအုပ်ဆိုင်	sàʔoʊʔsʰàɪɴ
စား	sá
စားချဉ့်ပြန်	sət͡ɕʰɪ̰ɴpjàɴ
စားစရာ	sázəjà
စားတော်ဆက်	sádɔ̀sʰɛʔ
စားတော်ဆက်	sádɔ̀zɛʔ
စားပြီးပြီလား	sápíbìlá
စားပွဲ	sábwɛ́
စားပွဲ	zəbwɛ́
စားပွဲထိုး	zábwɛ́dó
စားဖို	səpʰò
စားဖိုဆောင်	səpʰòzàʊɴ
စားမြုံ့ပြန်	səmjo̰ʊɴpjàɴ
စားသောက်ဆိုင်	sáθaʊʔsʰàɪɴ
စိတ္တဇ	seɪʔdəza̰
စိတ္တဇပန်းချီ	seɪʔdəza̰bəd͡ʑì
စိတ္တဇရောဂါ	seɪʔdəza̰jɔ́ɡà
စိတ္တဗေဒ	seɪʔta̰bèda̰
စိတ်	seɪʔ
စိတ်ဆိုး	seɪʔsʰó
စိတ်ဓာတ်	seɪʔdàt
စိတ်ပညာ	seɪʔpjɪ̀ɴɲà
စိတ်မှတ်	seɪʔm̥aʔ
စိတ်ရောဂါ	seɪʔjɔ́ɡà
စိန်	sèɪɴ
စိန်ဖြူ	sèɪɴpʰjù
စိမ့်	sḛɪɴ
စိမ်း	séɪɴ
စိမ်းစားဥ	séɪɴzáʔṵ
စို	sò
စိုက်	saɪʔ
စိုက်ပျိုးရေး	saɪʔpjójé
စိုင်း	sáɪɴ
စိုထိုင်း	sòtʰáɪɴ
စို့	so̰
စီဒီ	sìdì
စီလုံ	sìlòʊɴ
စီလုံတီး	sìlòʊɴtí
စီး	sí
စီးကရက်	síkəɹɛʔ
စီးကလိပ်	síkəleɪʔ
စီးနင်း	sínɪ́ɴ
စီးပွား	síbwá
စီးပွားရေး	síbwájé
စီးပွားရေးသမား	síbwájéðəmá
စုတ်	soʊʔ
စုန်း	sóʊɴ
စုပ်	soʊʔ
စုပ်စုပ်	soʊʔsoʊʔ
စုလျား	sṵjá
စုံစမ်း	sòʊɴzáɴ
စုံထောက်	sòʊɴdaʊʔ
စုံဖက်	sòʊɴpʰɛʔ
စူပါမားကတ်	sùpəmákaʔ
စူးစူး	súzú
စေတနာ	sèdənà
စေတနာရှင်	sèdənàʃɪ̀ɴ
စေတီ	zèdì
စော	sɔ́
စောက်	saʊʔ
စောင့်	sa̰ʊɴ
စောင်	sàʊɴ
စောင်း	sáʊɴ
စောင်းလျား	záʊɴjá
စောစော	sɔ́zɔ́
စောပြာ	sɔ́bjà
စော်ဘွား	sɔ̀bwá
စေ့စပ်	sḛzaʔ
စဲ	sɛ́
စံပယ်	zəbɛ̀
စွင့်	swɪ̰ɴ
စွတ်စွတ်နာ	sʊʔsʊʔnà
စွတ်ဖါး	sʊʔpʰá
စွန်	sʊ̀ɴ
စွန်ကုပ်	sʊ̀ɴɡoʊʔ
စွပ်	sʊʔ
စွပ်ပြုတ်	sʊʔpjoʊʔ
စွမ်း	swáɴ
စွမ်းအင်	swáɴʔɪ̀ɴ
စွယ်	swɛ̀
စွေ့စွေ့	swḛzwḛ
ဆက္ကဂံ	sʰɛʔkəɡàɴ
ဆက်	sʰɛʔ
ဆက်ဆံ	sʰɛʔsʰàɴ
ဆက်သွယ်ရေး	sʰɛʔθwɛ̀jé
ဆင့်	sʰɪ̰ɴ
ဆင်	sʰɪ̀ɴ
ဆင်ခြေထောက်ရောဂါ	sʰɪ̀ɴt͡ɕʰèdaʊʔjɔ́ɡà
ဆင်စွယ်	sʰɪ̀ɴzwɛ̀
ဆင်ဝင်	sʰɪ̀ɴwɪ̀ɴ
ဆင်း	sʰɪ́ɴ
ဆင်းရဲ	sʰɪ́ɴjɛ́
ဆစ်ဒနီ	sʰɪʔdənì
ဆဋ္ဌမ	sʰaʔtʰəma̰
ဆန့်ကျင်	sʰa̰ɴd͡ʑɪ̀ɴ
ဆန့်ကျင်ဘက်	sʰa̰ɴd͡ʑɪ̀ɴbɛʔ
ဆန္ဒ	sʰàɴda̰
ဆန္ဒပြပွဲ	sʰàɴda̰pja̰bwɛ́
ဆန်	sʰàɴ
ဆန်ခါ	zəɡà
ဆန်ပြုတ်	sʰàɴbjoʊʔ
ဆန်မာရီနို	sʰàɴmàɹìnò
ဆန်း	sʰáɴ
ဆန်းဒဝစ်	sʰáɴdəwɪʔ
ဆနွင်းမကင်း	sʰənwɪ́ɴməkɪ́ɴ
ဆပ္ပတ်	sʰaʔpaʔ
ဆပ်	sʰaʔ
ဆပ်ကပ်	sʰaʔkaʔ
ဆပ်ပြာ	sʰaʔpjà
ဆပ်သွားဖူး	sʰaʔθwápʰú
ဆယ့်တစ်	sʰɛ̰tɪʔ
ဆယ့်တစ်လ	sʰɛ̰tɪʔla̰
ဆယ့်နှစ်	sʰɛ̰n̥ɪʔ
ဆယ့်နှစ်ရာသီ	sʰɛ̰n̥əjàθì
ဆယ့်နှစ်လ	sʰɛ̰n̥əla̰
ဆယ်	sʰɛ̀
ဆယ်လ	sʰɛ̀la̰
ဆရာ	sʰəjà
ဆရာတော်	sʰəjàdɔ̀
ဆရာမ	sʰəjàma̰
ဆရာလေး	sʰəjàlé
ဆရာဝန်	sʰa̰jàwʊ̀ɴ
ဆရာသမား	sʰa̰jàθəmá
ဆလတ်	sʰəlaʔ
ဆလဗ	sʰəla̰ba̰
ဆလိမ်	sʰa̰lèɪɴ
ဆလိုင်း	sʰəláɪɴ
ဆလိုဗားကီးယား	sʰəlòbákíjá
ဆလိုဗေးနီးယား	sʰəlòbéníjá
ဆာ	sʰà
ဆာဂျင်	sʰàd͡ʑɪ̀ɴ
ဆာမူရိုင်း	sʰàmùɹáɪɴ
ဆာယာ	sʰàjà
ဆာရီ	sʰàɹì
ဆာလဖာ	sʰàləpʰà
ဆား	sʰá
ဆားကြက်ဥ	sʰát͡ɕɛʔʔṵ
ဆားဘီးယား	sʰábíjá
ဆားဘဲဥ	sʰábɛ́ʔṵ
ဆားရည်	sʰájè
ဆိတ်	sʰeɪʔ
ဆိတ်ကုလား	sʰeɪʔkəlá
ဆိတ်ချေး	sʰeɪʔt͡ɕʰí
ဆိတ်ထီး	sʰeɪʔtʰí
ဆိတ်မ	sʰeɪʔma̰
ဆိပ်	sʰeɪʔ
ဆိပ်ကမ်း	sʰeɪʔkáɴ
ဆိမ့်	sʰḛɪɴ
ဆို	sʰò
ဆိုကရေးတီး	sʰòka̰jétí
ဆိုကရေးတီး	sʰòkəɹétí
ဆိုက်	sʰaɪʔ
ဆိုက်ကား	sʰaɪʔká
ဆိုက်ပရပ်စ်	sʰaɪʔpəɹaʔs
ဆိုက်ဘေးရီးယား	sʰaɪʔbéɹíjá
ဆိုင်	sʰàɪɴ
ဆိုင်း	sʰáɪɴ
ဆိုင်းထိုး	sʰáɪɴtʰó
ဆိုင်းဘုတ်	sʰáɪɴboʊʔ
ဆိုင်းဝိုင်း	sʰáɪɴwáɪɴ
ဆိုဆုံးမ	sʰòsʰóʊɴma̰
ဆိုထုံး	sʰòdóʊɴ
ဆိုဒီယမ်	sʰòdìjàɴ
ဆိုဖာ	sʰòpʰà
ဆိုဗီယက်	sʰòbìjɛʔ
ဆိုမာလီယာ	sʰòmàlìjà
ဆိုမြည်	sʰòmjì
ဆိုရိုးစကား	sʰòjózəɡá
ဆိုး	sʰó
ဆိုးဆေး	sʰózé
ဆီ	sʰì
ဆီချက်	sʰìd͡ʑɛʔ
ဆီချက်ခေါက်ဆွဲ	sʰìd͡ʑɛʔkʰaʊʔsʰwɛ́
ဆီထမင်း	sʰìtʰəmɪ́ɴ
ဆီနီဂေါ	sʰìnìɡɔ́
ဆီပြန်	sʰìbjàɴ
ဆီမီးတောက်	sʰìmídaʊʔ
ဆီယူ	sʰìjù
ဆီရာလီယွန်	sʰìɹàlìjʊ̀ɴ
ဆီး	sʰí
ဆီးချို	sʰíd͡ʑò
ဆီးချုပ်ရောဂါ	sʰíd͡ʑoʊʔjɔ́ɡà
ဆီးပူညောင်းကျ	sʰípùɲáʊɴt͡ɕa̰
ဆီးဖြူ	zíbjù
ဆီးရီးယား	sʰíɹíjá
ဆီးအောင့်ရောဂါ	sʰíʔa̰ʊɴjɔ́ɡà
ဆု	sʰṵ
ဆုံး	sʰóʊɴ
ဆုံးဖြတ်	sʰóʊɴpʰjaʔ
ဆူ	sʰù
ဆူဒန်	sʰùdàɴ
ဆူရာနမ်	sʰùɹànàɴ
ဆူရှီ	sʰùʃì
ဆူး	sʰú
ဆူးပုပ်	sʰúboʊʔ
ဆောက်	sʰaʊʔ
ဆောင်	sʰàʊɴ
ဆောင်ပုဒ်	sʰàʊɴboʊʔ
ဆောင်း	sʰáʊɴ
ဆောင်းပါး	sʰáʊɴbá
ဆောင်းရာသီ	sʰáʊɴjàðì
ဆောင်းဦး	sʰáʊɴʔú
ဆောင်းဦးရာသီ	sʰáʊɴʔújàðì
ဆောရီး	sʰɔ́ɹí
ဆော့	sʰɔ̰
ဆော့ဖ်ဝဲလ်	sʰaʊʔwɛ́
ဆော်ဒီအာရေဗျ	sʰɔ̀dìʔàɹèbja̰
ဆေး	sʰé
ဆေးခန်း	sʰékʰáɴ
ဆေးခြောက်	sʰéd͡ʑaʊʔ
ဆေးဆိုင်	sʰézàɪɴ
ဆေးတံ	sʰédàɴ
ဆေးပေါ့လိပ်	sʰébɔ̰leɪʔ
ဆေးပြင်းလိပ်	sʰébjɪ́ɴleɪʔ
ဆေးဘဲဥ	sʰébɛ́ʔṵ
ဆေးရုံ	sʰéjòʊɴ
ဆေးရှဲ	sʰéʃɛ́
ဆေးလိပ်	sʰéleɪʔ
ဆေးလိပ်မသောက်ရ	sʰéleɪʔməθaʊʔja̰
ဆေးလုံး	sʰélóʊɴ
ဆံ	sʰàɴ
ဆံတော်ချ	sʰàɴtɔ̀t͡ɕʰa̰
ဆံပင်	zəbɪ̀ɴ
ဆံပင်ညှပ်	zəbɪ̀ɴɲ̊aʔ
ဆံပင်တု	zəbɪ̀ɴdṵ
ဆွစ်ဇာလန်	sʰwɪʔzəlàɴ
ဆွဆွ	sʰwa̰zwa̰
ဆွပ်	sʰʊʔ
ဆွမ်း	sʰʊ́ɴ
ဆွမ်းမွှေး	sʰʊ́ɴm̥wé
ဆွမ်းအုပ်	sʰʊ́ɴʔoʊʔ
ဆွယ်တာ	sʰwɛ̀tà
ဆွာဇီလန်	sʰwàzìlàɴ
ဆွီဒင်	sʰwìdɪ̀ɴ
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰwèkʰənəzɛʔmjókʰənəzɛʔ
ဆွဲ	sʰwɛ́
ဇကွဲ	za̰ɡwɛ́
ဇင့်ခ်	zɪ̰ɴ
ဇင်ဘာဘွေ	zɪ̀ɴbàbwè
ဇင်းမယ်	zɪ́ɴmɛ̀
ဇင်္ဂမဥစ္စာ	zɪ̀ɴɡəma̰ʔoʊʔsà
ဇစ်	zɪʔ
ဇနပုဒ်	zənəpoʊʔ
ဇနီး	zəní
ဇန်နဝါရီ	zàɴnəwàɹì
ဇမ်ဘီယာ	zàɴbìjà
ဇယ	zəja̰
ဇယား	zəjá
ဇရပ်	zəjaʔ
ဇရာ	zəjà
ဇလဗေဒ	zəla̰bèda̰
ဇလုံ	zəlòʊɴ
ဇာ	zà
ဇာဂနာ	zàɡənà
ဇာတိ	zàtḭ
ဇာတိပ္ဖိုလ်	zàdeɪʔpʰò
ဇာတိပ္ဖိုလ်စေ့	zàdeɪʔpʰòzḛ
ဇာတ်	zaʔ
ဇာတ်ကား	zaʔká
ဇာတ်ကြီးဆယ်ဘွဲ့	zàtd͡ʑísʰɛ̀bwɛ̰
ဇာတ်ခုံ	zaʔkʰòʊɴ
ဇာတ်ဆောင်	zaʔsʰàʊɴ
ဇာတ်ညွှန်း	zàtɲ̊ʊ́ɴ
ဇာတ်တော်	zàt
ဇာတ်ရုံ	zaʔjòʊɴ
ဇာနည်	zànì
ဇိန	zḭna̰
ဇိမ်မယ်	zèɪɴmɛ̀
ဇီဇဝါ	zìzəwà
ဇီရာ	zìjà
ဇီရာစေ့	zìjàsḛ
ဇီဝ	zìwa̰
ဇီဝကမ္မဗေဒ	zìwa̰kàɴma̰bèda̰
ဇီဝစက်	zìwa̰sɛʔ
ဇီဝဓာတုဗေဒ	zìwa̰dàtṵbèda̰
ဇီဝဗေဒ	zìwa̰bèda̰
ဇူလိုင်	zùlàɪɴ
ဇေ	zè
ဇေယျ	zèja̰
ဇေယျာပူရ	zèjàpùɹa̰
ဇော်ဂျီ	zɔ̀d͡ʑì
ဇွန်	zʊ̀ɴ
ဇွန်း	zʊ́ɴ
ဈမျဉ်းဆွဲ	za̰mjɪ́ɴzwɛ́
ဈာန်	zàn
ဈာပန	zàpəna̰
ဈေး	zé
ဈေးကြီး	zét͡ɕí
ဈေးချို	zét͡ɕʰò
ဈေးနှုန်း	zén̥óʊɴ
