адэхъу	aː d a χʷ
акъыл	ʔ aː q ə l
антыр	aː n t ə r
армэугъ	aː r m a w ʁ
арти	aː r t i
ахъ	aː χ
ахъчэмыкӏу	aː χ t͡ʃ a m ə kʷʼ
ахъщапс	aː χ ʃ aː p s
ашъоку	aː ʂʷ a kʷ
ашъыу	aː ʃʷʼ ə w
багьэ	b aː ɡʲ a
бае	b aː j a
батыргъэгъ	b aː t ə r ʁ a ʁ
бганэ	b ɣ aː n a
бгъакъэ	b ʁ aː q a
бгъашхъо	b ʁ aː ʃ χʷ a
бгъо	b ʁʷ a
бгъуагъэ	b ʁʷ aː ʁ a
бгъузагъ	b ʁʷ ə z aː ʁ
бгъузэ	b ʁʷ ə z a
бгъурышӏ	b ʁʷ ə r ə ʃʼ
бгъэгъакӏ	b ʁ a ʁ aː t͡ʃ
бгъэузы	b ʁ a w ə z ə
бгъэӏас	b ʁ a ʔ aː s
бжым	b ʒ ə m
бжыхьас	b ʒ ə ħ aː s
бжьаӏо	b ʑ aː ʔʷ a
бзашӏу	b z aː ʃʷʼ
бзудэгу	b z ə w d a ɡʷ
бзын	b z ə n
бзыуубыт	b z ə w w ə b ə t
бзэгу	b z a ɡʷ
бзэгужъый	b z a ɡʷ ʐ ə j
бзэджапӏэ	b z a d͡ʒ aː pˤʼ a
бзэныб	b z a n ə b
бзэхын	b z a x ə n
бланэ	b l a n ɜ
блапцӏэ	b l aː p t͡sʼ a
блегъэкӏын	b l a j ʁ a kʲʼ ə n
блэун	b l a w ə n
блэуц	b l a w t͡s
быбын	b ə b ə n
быбыпӏ	b ə b ə pʼ
быгъу	b ə ʁʷ
былымылы	b ə l ə m ə l ə
быяупӏ	b ə j aː w pʼ
бэджэбы	b a d͡ʒ a b ə
бэдзэогъумаз	b a d͡z a w a ʁʷ ə m aː z
бэжъу	b a ʐʷ
бэлэрыгъ	b a l a r ə ʁ
бэнакӏо	b a n aː kʷʼ a
бэнжъый	b a n ʐ ə j
бэрэ	b a r a
бэрэскэжъый	b a r a s k a ʐ ə j
гомыхь	ɡʷ a m ə ħ
гощын	ɡʷ a ɕ ə n
губгъэ	ɡʷ ə b ʁ a
гугъуемылӏ	ɡʷ ə ʁʷ e m ə lʼ
гузэгу	ɡʷ ə z a ɡʷ
гукъэкӏьыжьын	ɡʷ ə q a kʲʼ ə ʑ ə n
гулъытэн	ɡʷ ə ɬ ə t a n
гупсэфыпӏ	ɡʷ ə p s a f ə pʼ
гушӏон	ɡʷ ə ʃʷʼ a n
гушӏуагъо	ɡʷ ə ʃʷʼ aː ʁʷ a
гущаӏэ	ɡʷ ə ɕ aː ʔ a
гуӏэн	ɡʷ ə ʔ a n
гъогъон	ʁʷ a ʁʷ a n
гъожьышэплъ	ʁʷ a ʑ ə ʃ a p ɬ
гъойщэен	ʁʷ a j ɕ a j a n
гъонлагъэ	ʁʷ a n ɮ aː ʁ a
гъошэгь	ʁʷ a ʃ a ɡʲ
гъуапэ	ʁʷ aː p a
гъунэгъу	ʁʷ ə n a ʁʷ
гъы	ʁ ə
гъын	ʁ ə n
гъэджэн	ʁ a d͡ʒ a n
гъэлъэпӏэн	ʁ a ɬ a pʼ a n
гъэмысэн	ɮ aː ʑ a
гъэсэн	ʁ a s a n
гъэсэныгъэ	ʁ a s a n ə ʁ a
гъэсэфытхыдэ	ʁ a s a f ə t x ə d a
гъэтэрэзын	ʁ a t a r a z ə n
гъэтӏысын	ʁ a tʼ ə ɬ ə n
гъэуэн	ʁ a w a n
гъэхъужьын	ʁ a χʷ ə ʑ ə n
гъэхъун	ʁ a χʷ ə n
гъэӏулэн	ʁ a ʔʷ ə l a n
гыкӏалъэ	ɣ ə t͡ʃʼ aː ɬ a
гьары	ɡʲ aː r ə
дагъо	d aː ʁʷ a
дампӏ	d aː m pʼ
дао	d aː w a
дебзыкӏэн	d e b z ə t͡ʃ a n
дегъэбылъхьэн	d e ʁ a b ə ɬ ħ a n
дежъыон	d a j ʐ ə w a n
десэгъу	d a j s a ʁʷ
дефыен	d a j f ə j a n
джау	d͡ʒ aː w
джашъо	d͡ʒ aː ʃʷ a
джын	d͡ʒ ə n
джынэузэщ	d͡ʒ ə n a w z a ɕ
джэдыгу	d͡ʒ a d ə ɡʷ
джэмышх	d͡ʒ a m ə ʃ x
джэрыуакӏо	d͡ʒ a r ə w aː kʷʼ a
дзакӏо	d͡z aː kʷʼ a
дзэкӏолӏы	d͡z a kʷʼ a ɬʼ ə
дзэпщ	d͡z a p ɕ ə
дыин	d ə j ə n
дын	d ə n
дырын	d ə r ə n
дыухьэ	d ə w ħ a
дэж	d a ʒ
дэжь	d a ʑ
дэкӏогъу	d a kʷʼ a ʁʷ
дэхьагъо	d a ħ aː ʁʷ a
дэщэн	d a ɕ a n
егупсэн	j a ɡʷ ə p s a n
егъашӏи	j a ʁ aː ʃʼ ə j
екӏун	j a kʷʼ ə n
енэкӏьэон	j a n a kʲ a w a n
енэпэон	n a p a w a n
еплъын	j a p ɬ ə n
епщэн	j p ɕ a n
естылӏэн	j a s t ə ɬʼ a n
етӏапсӏэ	j a tʼ aː p t͡sʼ a
еубэн	j a w b a n
еун	j a w ə n
еутэкӏын	j a w t a t͡ʃʼ ə n
ешъутырын	m a ʃʷ t ə r ə h
еӏункӏын	j a ʔʷ ə n t͡ʃʼ ə n
жабз	ʒ a b z
жакъэ	ʒ aː q a
жакӏэ	ʒ aː t ʃʼ a
жъогъозекӏу	ʐʷ a ʁʷ a z e kʷ
жъы	ʐ ə
жъын	ʐ ə n
жъыу	ʐ ə w
жъэгъуай	ʐ a ʁʷ a j
жьыдзакӏо	ʑ ə d͡z aː kʷʼ a
жьэн	ʑ a n
жэдэкон	ʒ a d a kʷ a n
жэдэлъхьажьын	ʒ a d a ɬ ħ aː ʑ ə n
жэлый	ʒ a l ə j
жэхэлъэдэн	ʒ a x a ɬ a d a n
закъу	z aː qʷ
зао	z aː w a
зегъэунэжъыен	z e ʁ a w n a ʐ ə j a n
зегъэхьын	z a j ʁ a ħ ə n
зифэпэжьыгъ	z ə j f a p a ʑ ə ʁ
зыпэгъутхьажьын	z ə p a ʁʷ a t ħ a ʑ ə n
зытегъэкӏэн	z ə t a j ʁ a t͡ʃʼ a n
зышӏоу	z ə ʃʷʼ ə w
зэгу	z a ɡʷ ə
зэдзэкӏакӏу	z a d͡z a t͡ʃ aː kʷʼ
зэкъошныгъ	z a qʷ a ʃ n ə ʁ
зэкӏон	z a kʷʼ a n
зэкӏэкӏон	z a t͡ʃʼ a kʷʼ a n
зэпыдагъэу	z a p ə d aː ʁ a w
зэпыутын	z a p ə w t ə n
зэтэлъхьэн	z a t a ɬ ħ a n
зэтӏэхъун	z a tʼ a χʷ ə n
зэуалӏ	z a w aː ɬʼ
зэшӏожьын	z a ʃʷʼ ə ʑ ə n
ибэдалэу	j ə b a d aː l a w
игъоин	j ə ʁʷ a j ə n
игъуадж	j ə ʁʷ aː d͡ʒ
изэу	j ə z a w
инахэкӏэ	j ə n aː x a t͡ʃʼ a
ины	j ə n ə
иусыф	j ə w s ə f
ичэ	j ə t͡ʃ a
ишъун	j ə ʃʷ ə n
копкъ	kʷ a p q
кушъхьэ	kʷ ə ʂ ħ a
къазмэ	q aː z m a
къамыщ	q aː m ə ɕ
къелэлэхын	q a j ɬ a ɬ a x ə n
къизын	q i z ə n
къолэнсэлэн	qʷ a l a n s a l a n
къопс	qʷ a p s
къошъофы	qʷ a ʂʷ a f ə
къуамэ	qʷ aː m a
къуапэ	qʷ aː p a
къузмэзадэ	qʷ ə z m a z aː d a
къухьэ	qʷ ə ħ a
къухьэтӏысыпӏ	qʷ ə ħ a tʼ ə s ə pʼ
къычӏэгъэкӏьын	q ə t͡ʃʼ a ʁ a kʲʼ ə n
къэбкӏэ	q a b kʲʼ a
къэгупшысын	q a ɡʷ ə p ʃ ə s ə n
къэгъэлъэгъоны	q a ʁ a ɬ a ʁʷ a n ə
къэгъэущын	q a ʁ a w ɕ ə n
къэплъан	q a p ɬ aː n
къэпшӏэжын	q a p ʃʼ a ʑ ə n
къэпшӏэн	q a p ʃʼ a n
къэпы	q a p ə
къэсын	q a s ə n
къэхъун	q a χʷ ə n
къэц	q a t͡s
къэцӏын	t͡sʼ ə n
кӏосэн	kʷʼ a s a n
кӏын	t͡ʃʼ ə n
кӏыхьэ	t͡ʃʼ ə ħ a
кӏьасэ	kʲʼ aː s a
кӏьэлъыун	kʲʼ a ɬ ə w ə n
кӏэлъыкӏон	t͡ʃ a ɬ ə kʷʼ a n
кӏэлэегьакӏо	t͡ʃʼ a l a j a ɡʲ aː kʷʼ a
кӏэнэкӏэн	t͡ʃʼ a n a t͡ʃʼ a n
кӏэп	t͡ʃʼ a p
кӏэпщ	t͡ʃʼ a p ɕ
кӏэтхъун	t͡ʃʼ a t χʷ ə n
кӏэшъун	t͡ʃʼ a ʃʷ ə n
кӏэӏэжьын	t͡ʃʼ a ʔ a ʑ ə n
кӏэӏэн	t͡ʃʼ a ʔ a n
лъапӏэ	ɬ aː pʼ a
лъащэ	ɬ aː ɕ a
лъежьэн	ɬ a j ʑ a n
лъышӏэжь	ɬ ə ʃʼ a ʑ
лъышӏэжьын	ɬ ə ʃʼ a ʑ ə n
лъыӏэбэн	ɬ ə ʔ a b a n
лъэ	ɬ a
лъэбыӏу	ɬ a b ə ʔʷ
лъэгъун	p ɬ a ʁʷ ə n
лъэецуакъо	ɬ a j a t͡sʷ aː qʷ a
лъэкъорыгъачъэ	ɬ a qʷ a r ə ʁ aː t͡ʂ a
лъэн	ɬ a n
лъэпкъ	ɬ a p q
лъэпкъгъэкӏод	ɬ a p q ʁ a kʷʼ a d
лъэпс	ɬ a p s
лъэужьэу	ɬ a w ʑ ə m ə j
лъэш	ɬ a ʃ
лые	ɮ ə j a
лыкъумэ	l ə qʷ m a
лӏакъо	ɬʼ aː qʷ a
лӏы	ɬʼ ə
лӏыжъыгъу	ɬʼ ə ʐ ə ʁʷ
лӏыукӏ	m a χ aː d͡ʒ a
лӏэн	ɬʼ a n
мазэ	m aː z a
макъэ	m aː q a
мышкӏу	m ə ʃ kʷ
мыӏэрысэпсы	m ə ʔ a r ə s a p s ə
мэгущыӏэн	m a ɡʷ ɕ ə ʔ a n
мэгъолъын	m a ʁʷ a ɬ ə n
мэдрэр	m a d r a
мэжъутхэн	m a ʒʷ ə t x a n
мэкъамэ	m a q aː m a
мэкӏодын	m a kʷʼ a d ə n
мэкӏьыин	m a kʲʼ ə j ə n
мэкӏэтхъэн	m a t͡ʃ a t χ a n
мэл	m a l
мэпӏэстхъэн	pʼ a s χ a n
мэсӏын	sʼ ə n
мэтӏыгъо	m a t ə ʁʷ a
мэуцӏэлэн	m a w t͡sʼ a l a n
мэхэр	m a x a r
мэцӏэшъутэн	m a t͡sʼ a ʃʷ t a n
мэшӏуач	m a ʃʷʼ aː t͡ʃ
мэщынэн	m a ɕ ə n a n
набгъу	n aː b ʁʷ ə
насыпынчъэ	n aː s ə p ə n t͡ʂ
нафэ	n aː f a
нахэ	n aː x a
ныбгъу	n ə b ʁʷ ə
ныожъ	n ə w a ʐ
нысэ	n ə s a
нэбзый	n a b z ə j
нэбзыц	n a b z ə t͡s
нэгушъоутын	n a ɡʷ ə ʃʷ a w t ə n
нэгушӏу	n a ɡʷ ə ʃʷʼ
нэгъуцу	n a ʁʷ ə t͡ʃʷ
нэмыкӏыр	n a m ə t͡ʃʼ ə r
нэмыӏэкӏэ	n a m ə ʔ a t͡ʃʼ a
нэплъэгъу	n a p ɬ a ʁʷ
нэпх	n a p x
нэриплъ	n a r ə j p ɬ
нэсын	n a s ə n
нэшан	n a ʃ aː n
нэшъу	n a ʂʷ ə
нэшэбэгу	n a ʃ a b a ɡʷ
нэӏу	n a ʔʷ
он	w a n
онджэкъ	w a n d͡ʒ a q
опсэу	w a p s a w
оры	w a r ə
пагэ	p aː ɣ a
пкъышъолы	p q ə ʃʷ a l ə
пкӏышъхьэмышъхьэ	p t͡ʃ ə ʂ ħ a m ə ʂ ħ a
пкӏэшъэхъу	p t͡ʃ a ʂ a χʷ
плӏы	p ɬʼ ə
псыкъу	p s ə qʷ
псынкӏагъэ	p s ə t͡ʃʼ aː ʁ a
псыхьэн	p s ə ħ a n
псэлъыхъон	p s a ɬ ə χʷ ə n
псэолъэшӏ	p s a w a ɬ a ʃʼ
псӏашъухъо	p sˤʼ aː ʃʷ χʷ a
пхъацӏэ	p χ aː t͡s a
пхъу	p χʷ ə
пхъэкӏэн	p χ a t͡ʃ a n
пхъэныӏу	p χ a n ə ʔʷ
пхэ	p x a
пхэндж	p x a n d͡ʒ
пцэкъэнтф	p t͡s a q a n t f
пчъэпсы	p t͡ʃ a p s ə
пчэдыжьы	p t͡ʃ a d ə ʑ ə
пшысэ	p ʃ ə s a
пщагъу	p ɕ aː ʁʷ
пщэры	p ɕ a r ə
пщэрыхь	p ɕ a r ə ħ
пщэрыхьан	p ɕ a r ə ħ aː n
пыдж	p ə d͡ʒ
пыжъы	p ə ʐ ə
пыскӏьэн	p ə s kʲ a n
пытэ	p ə t a
пытӏэрын	p ə tʼ a r ə n
пэкӏо	p a kʷʼ a
пэщэн	p a ɕ a m
пэӏухъо	p a ʔʷ ə χʷ a
пэӏухъон	p a ʔʷ ə χʷ a n
пӏалъэ	pʼ aː ɬ a
пӏэсхъэн	pʼ a s χ a n
ригъэчъэхын	j a ʁ a t͡ʂ a x ə n
рилъэшъон	r ə j ɬ a ʃʷ a n
ришъун	r j ə ʃʷ ə n
сахъэ	s aː χ a
стаф	s t aː f
стын	s t ə n
сыунэхъугъ	s ə w n a χʷ ə ʁ
сэкъат	s a q aː t
сэраджэ	s a r aː d͡ʒ a
тегъэбылъхьэн	t e ʁ a b ə ɬ ħ a n
теупӏэпӏэн	t a j w pʼ a pʼ a n
теуцӏэлэн	t a w t͡sʼ a l a n
тикӏэн	t i kʲ a n
тфый	t f ə j
тхьапэ	t ħ aː p a
тхьауегъэпсэу	t ħ aː w a j ʁ a p s a w
тхьэгъэлэдж	t ħ a ʁ a l a d͡ʒ
тхьэкӏумэ	t ħ a kʷʼ m a
тыдэ	t ə d a
тэгъзакӏэ	t a ʁ z aː kʲʼ a
тэгъэфэн	t a ʁ a f a n
тэдэгьи	t a d a ɡʲ i
тэжъутхэн	t a ʒʷ ə t x a n
тэрэз	t a r a z
тэцӏэшъутыкӏын	t a t͡sʼ a ʃʷ t ə t͡ʃʼ ə n
тӏурытӏу	tʷʼ ə r ə tʷʼ
удж	w ə d͡ʒ
ужы	w ʒ ə
узын	w ə z ə n
укӏытэн	w ə t͡ʃʼ ə t a n
укӏьытапх	w kʲʼ ə t aː p x
унагъобзэ	w ə n aː ʁʷ a b z a
урам	w r aː m
утӏэтӏэн	w ə tʼ a tʼ a n
ухъумэн	w χʷ ə m a n
уцупӏэ	w ə t͡sʷ ə pʼ a m
уцы	w ə t͡s ə
уцышъо	w ə t͡s ə ʂʷ a
ушхъухьан	w ə ʃ χʷ ħ aː n
фегъэпэн	f a j ʁ a p a n
фэдиз	f a d i z
фэжъыуф	fˤ a ʐ ə w fˤ
фэпсӏын	f a p sʼ ə n
фэрэхьатын	f a r a ħ aː t ə n
фэусын	f a w s ə n
фэӏофытэн	ʔʷ a f ə t a n
хигъэгъощэн	x i ʁ a ʁʷ a ɕ a n
хъонэн	χʷ a n a n
хъохъ	χʷ a χʷ
хъохъу	ɡʷ ə ʃʷʼ aː ʁʷ a
хъушъу	χʷ ə ʃʷ
хы	x ə
хыгъунэ	x ə ʁʷ ə n a
хыхьэ	x ə ħ a
хьаку	ħ aː kʷ
хьэбзу	ħ a b z ə w
хьэдрыхэ	ħ a d r ə x a
хьэдэкъаз	ħ a d a q aː z
хьэкуку	ħ a kʷ ə kʷ
хьэлъэбэкъищ	ħ a ɬ a b a q i ɕ
хьэпӏацӏэ	ħ a pʼ aː t͡sʼ a
хэгъэкӏын	x a ʁ a t͡ʃ ə n
хэгъэон	x a ʁ a w a n
хэкӏодыкӏын	x a kʷʼ a d ə t͡ʃʼ ə m
хэнэн	x a n a n
хэутын	x a w t ə n
хэхын	x a x ə n
хэщыжьын	x a ɕ ə ʑ ə n
цуакъэ	t͡sʷ aː q a
цыгьан	t͡s ə ɡʲ aː n
цые	t͡s ə j a
цыпэ	t͡s ə p a
цыхьэмышӏ	t͡sʼ ə ħ a m ə ʃʼ
цӏыун	t͡sʼ ə w ə n
чъыяпӏэ	t͡ʂ ə j aː pʼ a
чъыӏыхэн	t͡ʂ ə ʔ ə x a n
чылэдэс	t͡ʃ ə ɮ a d a s
чыӏу	t͡ʃʼ ə ʔʷ
чэмахъо	t͡ʃ a m aː χʷ a
чэрэгъун	t͡ʃ a r a ʁʷ ə n
чэщ	t͡ʃ a ɕ
чэщтао	t͡ʃ a ɕ t aː w a
чӏыбгъэ	ħ aː s a t x
шхончау	ʃ xʷ a n t͡ʃ aː w
шхоӏу	ʃ xʷ a ʔʷ
шхъуантӏэ	ʃ χʷ aː n tʼ a
шхын	ʃ x əː n
шъуашэ	ʃʷ aː ʃ a
шъутыжъ	ʃʷ ə t ə ʐ
шъхьакӏун	ʂ ħ aː kʷʼ ə n
шъхьакӏэ	ʂ ħ aː t͡ʃʼ a
шъхьалы	ʂ ħ aː l ə
шъхьантэ	ʂ ħ aː n t a
шъхьатепӏэ	ʂ ħ aː t e pʼ a
шъхьэнгъупчъэ	ʂ ħ a n ʁʷ ə p t ʂ a
шъхьэфитынгъэ	ʂ ħ a f i t n ə ʁ a
шъыкӏэ	ʂ ə kʲ a
шъыпкъэ	ʂ ə p q a
шъэджашъ	ʂ a d͡ʒ aː ʂ
шъэджэшъэжъ	ʂ a d͡ʒ aː ʂ ə ʐ
шыбзы	ʃ ə b z ə
шыгугъон	ʃ ə ɡʷ ʁʷ a n
шыдкъолэн	ʃ ə d qʷ a l a n
шыфэн	ʃ ə f a n
шӏокӏьын	ʃʷʼ a kʲʼ ə n
шӏыхьагъэ	ʃʼ ə ħ aː ʁ a
шӏэнгъэ	ʃʼ a n ʁ a
щагуикӏыпӏэ	ɕ aː ɡʷ i t͡ʃ ə pʼ a
щамсый	ɕ aː m s ə j
щанэ	ɕ aː n a
щхын	ɕ x ə n
щыгушӏукӏын	ʃ ə ɡʷ ə ʃʷʼ t͡ʃʼ ə n
щыгушӏукӏьын	ʃ ə ɡʷ ə ʃʷʼ kʲʼ ə n
щыгъэтын	ɕ ə ʁ a t ə n
щыхьан	ɕ ə ħ aː n
щыщэн	ɕ ə ɕ a n
щэчын	ɕ a t͡ʃ ə n
янэш	j aː n a ʃ
ӏапӏэ	ʔ aː pʼ a
ӏорышӏэджэн	ʔʷ a r ʃʼ a d͡ʒ a n
ӏофы	ʔʷ a f ə
ӏофытхьабз	ʔʷ a f ə t ħ aː b z
ӏукӏьыбзэ	ʔʷ ə kʲʼ ə b z a
ӏукӏэхьан	ʔʷ ə t͡ʃʼ a ħ aː n
ӏэбжъанэ	ʔ a b ʐ aː n a
ӏэгьы	ʔ a ɡʲ ə
ӏэгьэ	ʔ a ɡʲ a
ӏэджэбыжэ	ʔ a d͡ʒ a b ə ʒ a
ӏэнтэгъу	ʔ a n t a ʁʷ
ӏэтын	ʔ aː t ə n
