adja	ɒ ɟː ɒ
admirális	ɒ d m i r aː l i ʃ
adomány	ɒ d o m aː ɲ
adományként	ɒ d o m aː ɲ k eː n t
alapanyag	ɒ l ɒ p ɒ ɲ ɒ ɡ
alkohol	ɒ l k o h o l
alkotó	ɒ l k o t oː
alsó	ɒ l ʃ oː
amaz	ɒ m ɒ z
amelyektől	ɒ m ɛ j ɛ k t øː l
atlantisz	ɒ t l ɒ n t i s
automatikus	ɒ u t o m ɒ t i k u ʃ
balázs	b ɒ l aː ʒ
bele	b ɛ l ɛ
beleszeretni	b ɛ l ɛ s ɛ r ɛ t n i
bemutatkozik	b ɛ m u t ɒ t k o z i k
beszélt	b ɛ s eː l t
bevonása	b ɛ v o n aː ʃ ɒ
beérkező	b ɛʲ eː r k ɛ z øː
bicikli	b i t͡s i ɡ l i
biológiai	b iʲ o l oː ɡ iʲ ɒʲ i
bizalmát	b i z ɒ l m aː t
biztosító	b i s t o ʃ iː t oː
boldog	b o l d o ɡ
boldogságot	b o l d o k ʃ aː ɡ o t
bor	b o r
boros	b o r o ʃ
borsot	b o r ʃ o t
brazília	b r ɒ z iː l iʲ ɒ
bár	b aː r
bármiféle	b aː r m i f eː l ɛ
bér	b eː r
bérek	b eː r ɛ k
béren	b eː r ɛ n
bért	b eː r t
börtönben	b ø r t ø m b ɛ n
családja	t͡ʃ ɒ l aː ɟː ɒ
csomagban	t͡ʃ o m ɒ ɡ b ɒ n
csoportosítás	t͡ʃ o p o r t o ʃ iː t aː ʃ
csípések	t͡ʃ iː p eː ʃ ɛ k
célja	t͡s eː jː ɒ
dinamikusan	d i n ɒ m i k u ʃ ɒ n
drámai	d r aː m ɒʲ i
egyetértés	ɛ ɟː ɛ t eː r t eː ʃ
egyidejűleg	ɛ ɟː i d ɛ j yː l ɛ ɡ
egymásra	ɛ ɟ m aː ʃ r ɒ
együttes	ɛ ɟː y tː ɛ ʃ
egészségügyi	ɛ ɡ eː ʃː eː ɡ y ɟ i
egészét	ɛ ɡ eː s eː t
eladási	ɛ l ɒ d aː ʃ i
elemek	ɛ l ɛ m ɛ k
elemet	ɛ l ɛ m ɛ t
elfér	ɛ l f eː r
elkészíteni	ɛ l k eː s iː t ɛ n i
ellen	ɛ lː ɛ n
ellenfél	ɛ lː ɛ ɱ f eː l
elégséges	ɛ l eː k ʃ eː ɡ ɛ ʃ
elérhetővé	ɛ l eː r ɦ ɛ t øː v eː
előre	ɛ l øː r ɛ
említ	ɛ m l iː t
enni	ɛ nː i
ennyire	ɛ ɲː i r ɛ
eredmények	ɛ r ɛ d m eː ɲ ɛ k
eredményre	ɛ r ɛ d m eː ɲ r ɛ
eredményt	ɛ r ɛ d m eː ɲ t
erejű	ɛ r ɛ j yː
erőmű	ɛ r øː m yː
erősen	ɛ r øː ʃ ɛ n
esztendő	ɛ s t ɛ n d øː
esztendőben	ɛ s t ɛ n d øː b ɛ n
felelősség	f ɛ l ɛ l øː ʃː eː ɡ
felelősséget	f ɛ l ɛ l øː ʃː eː ɡ ɛ t
felmérés	f ɛ l m eː r eː ʃ
felmérések	f ɛ l m eː r eː ʃ ɛ k
felnőtt	f ɛ l n øː tː
felnőttek	f ɛ l n øː tː ɛ k
felsőfokú	f ɛ l ʃ øː f o k uː
felénk	f ɛ l eː ŋ k
felügyelet	f ɛ l y ɟ ɛ l ɛ t
felületi	f ɛ l y l ɛ t i
felületű	f ɛ l y l ɛ t yː
fenyő	f ɛ ɲ øː
fenyők	f ɛ ɲ øː k
fiatalabb	f iʲ ɒ t ɒ l ɒ bː
finanszírozás	f i n ɒ n s iː r o z aː ʃ
finoman	f i n o m ɒ n
foglalkozó	f o ɡ l ɒ l k o z oː
foglalt	f o ɡ l ɒ l t
fognak	f o ɡ n ɒ k
fogyasztás	f o ɟ ɒ s t aː ʃ
forgalmi	f o r ɡ ɒ l m i
forintos	f o r i n t o ʃ
formája	f o r m aː j ɒ
félév	f eː l eː v
férje	f eː r j ɛ
földi	f ø l d i
fúzió	f uː z iʲ oː
főszerkesztője	f øː s ɛ r k ɛ s t øː j ɛ
fővel	f øː v ɛ l
főváros	f øː v aː r o ʃ
fővárosban	f øː v aː r o ʒ b ɒ n
gazdaság	ɡ ɒ z d ɒ ʃ aː ɡ
gond	ɡ o n d
gondot	ɡ o n d o t
gratulálok	ɡ r ɒ t u l aː l o k
gróf	ɡ r oː f
gyümölcs	ɟ y m ø l t͡ʃ
gyümölcsök	ɟ y m ø l t͡ʃ ø k
gyümölcsöt	ɟ y m ø l t͡ʃ ø t
gél	ɡ eː l
géza	ɡ eː z ɒ
hagynia	h ɒ ɟ n iʲ ɒ
hallgat	h ɒ l ɡ ɒ t
hallgatni	h ɒ l ɡ ɒ t n i
harc	h ɒ r t͡s
harci	h ɒ r t͡s i
harcot	h ɒ r t͡s o t
használták	h ɒ s n aː l t aː k
határai	h ɒ t aː r ɒʲ i
hatású	h ɒ t aː ʃ uː
hazafi	h ɒ z ɒ f i
hegy	h ɛ ɟ
hektár	h ɛ k t aː r
hiszi	h i s i
hitel	h i t ɛ l
hogyan	h o ɟ ɒ n
horgászbot	h o r ɡ aː z b o t
hozott	h o z o tː
hónap	h oː n ɒ p
hónapok	h oː n ɒ p o k
hónapot	h oː n ɒ p o t
hónapra	h oː n ɒ p r ɒ
igazgatója	i ɡ ɒ z ɡ ɒ t oː j ɒ
igazán	i ɡ ɒ z aː n
igyekezett	i ɟ ɛ k ɛ z ɛ tː
igyekszik	i ɟ ɛ k s i k
igénye	i ɡ eː ɲ ɛ
illik	i lː i k
import	i m p o r t
indulnak	i n d u l n ɒ k
innen	i nː ɛ n
integráció	i n t ɛ ɡ r aː t͡s iʲ oː
irányítása	i r aː ɲ iː t aː ʃ ɒ
ismerkedik	i ʃ m ɛ r k ɛ d i k
itthon	i t h o n
jelentős	j ɛ l ɛ n t øː ʃ
jellegzetes	j ɛ lː ɛ ɡ z ɛ t ɛ ʃ
juttatás	j u tː ɒ t aː ʃ
jóllehet	j oː lː ɛ h ɛ t
jóval	j oː v ɒ l
kabinetje	k ɒ b i n ɛ cː ɛ
kamionok	k ɒ m iʲ o n o k
kar	k ɒ r
kategória	k ɒ t ɛ ɡ oː r iʲ ɒ
kategóriában	k ɒ t ɛ ɡ oː r iʲ aː b ɒ n
kategóriákat	k ɒ t ɛ ɡ oː r iʲ aː k ɒ t
kedden	k ɛ dː ɛ n
kedvezmény	k ɛ d v ɛ z m eː ɲ
kedvezmények	k ɛ d v ɛ z m eː ɲ ɛ k
kenyeret	k ɛ ɲ ɛ r ɛ t
kereskedelmi	k ɛ r ɛ ʃ k ɛ d ɛ l m i
kevesen	k ɛ v ɛ ʃ ɛ n
kevés	k ɛ v eː ʃ
kezd	k ɛ z d
kezdeményezésére	k ɛ z d ɛ m eː ɲ ɛ z eː ʃ eː r ɛ
kiadott	k iʲ ɒ d o tː
kiderült	k i d ɛ r y l t
kismama	k i ʃ m ɒ m ɒ
kiszolgáló	k i s o l ɡ aː l oː
kitűnik	k i t yː n i k
kitűnő	k i t yː n øː
kiválasztása	k i v aː l ɒ s t aː ʃ ɒ
kizárólag	k i z aː r oː l ɒ ɡ
komolyabb	k o m o j ɒ bː
komolyan	k o m o j ɒ n
konföderáció	k o ɱ f ø d ɛ r aː t͡s iʲ oː
koreai	k o r ɛ ɒʲ i
kormánypárti	k o r m aː ɲ p aː r t i
kulturális	k u l t u r aː l i ʃ
kutatók	k u t ɒ t oː k
kártékony	k aː r t eː k o ɲ
kérvény	k eː r v eː ɲ
készülék	k eː s y l eː k
később	k eː ʃ øː bː
kíván	k iː v aː n
kölcsönös	k ø l t͡ʃ ø n ø ʃ
körüli	k ø r y l i
köze	k ø z ɛ
közeli	k ø z ɛ l i
közepes	k ø z ɛ p ɛ ʃ
közismert	k ø z i ʃ m ɛ r t
köztársaság	k ø s t aː r ʃ ɒ ʃ aː ɡ
közé	k ø z eː
közép	k ø z eː p
középiskolák	k ø z eː p i ʃ k o l aː k
külön	k y l ø n
leadni	l ɛ ɒ d n i
legközelebb	l ɛ kː ø z ɛ l ɛ bː
legkülönbözőbb	l ɛ kː y l ø m b ø z øː bː
letöltése	l ɛ t ø l t eː ʃ ɛ
látszólagos	l aː t͡sː oː l ɒ ɡ o ʃ
látták	l aː tː aː k
látvány	l aː t v aː ɲ
látványos	l aː t v aː ɲ o ʃ
létrehozni	l eː t r ɛ ɦ o z n i
magam	m ɒ ɡ ɒ m
maguknak	m ɒ ɡ u k n ɒ k
magukra	m ɒ ɡ u k r ɒ
magyarul	m ɒ ɟ ɒ r u l
magyarán	m ɒ ɟ ɒ r aː n
magyarázó	m ɒ ɟ ɒ r aː z oː
manapság	m ɒ n ɒ p ʃ aː ɡ
maximális	m ɒ k s i m aː l i ʃ
meggyőző	m ɛ ɡ ɟ øː z øː
megszerez	m ɛ k s ɛ r ɛ z
meleg	m ɛ l ɛ ɡ
menedzsment	m ɛ n ɛ d͡ʒ m ɛ n t
menj	m ɛ ɲː
ment	m ɛ n t
messzi	m ɛ sː i
mesél	m ɛ ʃ eː l
mezei	m ɛ z ɛʲ i
meztelen	m ɛ s t ɛ l ɛ n
mihez	m i ɦ ɛ z
miként	m i k eː n t
mindhárom	m i n t h aː r o m
mintha	m i n t h ɒ
minőséget	m i n øː ʃ eː ɡ ɛ t
mit	m i t
mivel	m i v ɛ l
mobiltelefon	m o b i l t ɛ l ɛ f o n
mosdó	m o ʒ d oː
mostanában	m o ʃ t ɒ n aː b ɒ n
mozgalom	m o z ɡ ɒ l o m
munkálatok	m u ŋ k aː l ɒ t o k
mutatja	m u t ɒ cː ɒ
mágia	m aː ɡ iʲ ɒ
májusában	m aː j u ʃ aː b ɒ n
mária	m aː r iʲ ɒ
mérhető	m eː r ɦ ɛ t øː
módosított	m oː d o ʃ iː t o tː
módosítások	m oː d o ʃ iː t aː ʃ o k
múltja	m uː l c ɒ
múmia	m uː m iʲ ɒ
működés	m yː k ø d eː ʃ
működése	m yː k ø d eː ʃ ɛ
működésének	m yː k ø d eː ʃ eː n ɛ k
működését	m yː k ø d eː ʃ eː t
nagyjából	n ɒ ɟː aː b oː l
nagymama	n ɒ ɟ m ɒ m ɒ
nagyszabású	n ɒ c s ɒ b aː ʃ uː
nap	n ɒ p
napig	n ɒ p i ɡ
napja	n ɒ p j ɒ
napjától	n ɒ p j aː t oː l
napnak	n ɒ p n ɒ k
napokat	n ɒ p o k ɒ t
napokban	n ɒ p o ɡ b ɒ n
napokra	n ɒ p o k r ɒ
napon	n ɒ p o n
napot	n ɒ p o t
napra	n ɒ p r ɒ
napról	n ɒ p r oː l
naptár	n ɒ p t aː r
naptól	n ɒ p t oː l
negyedévben	n ɛ ɟ ɛ d eː v b ɛ n
neki	n ɛ k i
nemzedékek	n ɛ m z ɛ d eː k ɛ k
nevű	n ɛ v yː
nyújtani	ɲ uː j t ɒ n i
német	n eː m ɛ t
németek	n eː m ɛ t ɛ k
némi	n eː m i
nőknek	n øː k n ɛ k
oktatás	o k t ɒ t aː ʃ
oktatást	o k t ɒ t aː ʃ t
olimpia	o l i m p iʲ ɒ
olvasható	o l v ɒ ʃ h ɒ t oː
olyanok	o j ɒ n o k
országgyűlési	o r s aː ɡ ɟ yː l eː ʃ i
osztályba	o s t aː j b ɒ
padok	p ɒ d o k
parádé	p ɒ r aː d eː
piacok	p iʲ ɒ t͡s o k
piacokat	p iʲ ɒ t͡s o k ɒ t
piacokra	p iʲ ɒ t͡s o k r ɒ
piacon	p iʲ ɒ t͡s o n
piacra	p iʲ ɒ t͡s r ɒ
probléma	p r o b l eː m ɒ
problémák	p r o b l eː m aː k
problémákkal	p r o b l eː m aː kː ɒ l
problémát	p r o b l eː m aː t
professzorokra	p r o f ɛ sː o r o k r ɒ
próféták	p r oː f eː t aː k
pszichológiai	p s i ɦ o l oː ɡ iʲ ɒʲ i
párbaj	p aː r b ɒ j
párhuzamos	p aː r ɦ u z ɒ m o ʃ
rangos	r ɒ ŋ ɡ o ʃ
recept	r ɛ t͡s ɛ p t
rendezett	r ɛ n d ɛ z ɛ tː
rendszerint	r ɛ n t͡s ɛ r i n t
rendszerváltozás	r ɛ n t s ɛ r v aː l t o z aː ʃ
romániában	r o m aː n iʲ aː b ɒ n
ruha	r u ɦ ɒ
ráadásul	r aː ɒ d aː ʃ u l
rádiós	r aː d iʲ oː ʃ
rám	r aː m
résztvevő	r eː s t v ɛ v øː
résztvevők	r eː s t v ɛ v øː k
rómába	r oː m aː b ɒ
sebességű	ʃ ɛ b ɛ ʃː eː ɡ yː
statisztika	ʃ t ɒ t i s t i k ɒ
stressz	ʃ t r ɛ sː
sugár	ʃ u ɡ aː r
szakadt	s ɒ k ɒ tː
szakmát	s ɒ k m aː t
szavakat	s ɒ v ɒ k ɒ t
személye	s ɛ m eː j ɛ
személyi	s ɛ m eː j i
szerek	s ɛ r ɛ k
szerencsém	s ɛ r ɛ n t͡ʃ eː m
szereti	s ɛ r ɛ t i
szokatlan	s o k ɒ t l ɒ n
szolgál	s o l ɡ aː l
sztem	s ɛ r i n t ɛ m
számolni	s aː m o l n i
számoltak	s aː m o l t ɒ k
számítástechnika	s aː m iː t aː ʃ t ɛ x n i k ɒ
széchenyi	s eː t͡ʃ eː ɲ i
szélesebb	s eː l ɛ ʃ ɛ bː
szélhámosok	s eː l ɦ aː m o ʃ o k
szövetségi	s ø v ɛ t͡ʃː eː ɡ i
szülők	s y l øː k
szőlő	s øː l øː
sándor	ʃ aː n d o r
találtak	t ɒ l aː l t ɒ k
tanév	t ɒ n eː v
tart	t ɒ r t
tartalmának	t ɒ r t ɒ l m aː n ɒ k
tartalmát	t ɒ r t ɒ l m aː t
tartott	t ɒ r t o tː
tartunk	t ɒ r t u ŋ k
technikát	t ɛ x n i k aː t
technológiák	t ɛ x n o l oː ɡ iʲ aː k
tehát	t ɛ ɦ aː t
tekintve	t ɛ k i n t v ɛ
teljesítését	t ɛ jː ɛ ʃ iː t eː ʃ eː t
templom	t ɛ m p l o m
tenni	t ɛ nː i
terület	t ɛ r y l ɛ t
területek	t ɛ r y l ɛ t ɛ k
területen	t ɛ r y l ɛ t ɛ n
területet	t ɛ r y l ɛ t ɛ t
területi	t ɛ r y l ɛ t i
testek	t ɛ ʃ t ɛ k
tetején	t ɛ t ɛ j eː n
tetejére	t ɛ t ɛ j eː r ɛ
tetemes	t ɛ t ɛ m ɛ ʃ
titka	t i t k ɒ
tizenöt	t i z ɛ n ø t
tomi	t o m i
továbbra	t o v aː b r ɒ
tranzakció	t r ɒ n z ɒ k t͡s iʲ oː
tud	t u d
tudja	t u ɟː ɒ
tudnak	t u d n ɒ k
tudnivalók	t u d n i v ɒ l oː k
tudok	t u d o k
tudományos	t u d o m aː ɲ o ʃ
tulajdonosi	t u l ɒ j d o n o ʃ i
tv	t eː v eː
támogató	t aː m o ɡ ɒ t oː
társul	t aː r ʃ u l
téglalapok	t eː ɡ l ɒ l ɒ p o k
térkép	t eː r k eː p
térképen	t eː r k eː p ɛ n
többi	t ø bː i
többit	t ø bː i t
törnek	t ø r n ɛ k
tört	t ø r t
törtek	t ø r t ɛ k
történet	t ø r t eː n ɛ t
történetet	t ø r t eː n ɛ t ɛ t
történik	t ø r t eː n i k
török	t ø r ø k
túlélés	t uː l eː l eː ʃ
tőletek	t øː l ɛ t ɛ k
urat	u r ɒ t
utazni	u t ɒ z n i
vadon	v ɒ d o n
vagyis	v ɒ ɟ i ʃ
valaki	v ɒ l ɒ k i
valamikor	v ɒ l ɒ m i k o r
valószínű	v ɒ l oː s iː n yː
valószínűleg	v ɒ l oː s iː n yː l ɛ ɡ
vasas	v ɒ ʃ ɒ ʃ
velem	v ɛ l ɛ m
velence	v ɛ l ɛ n t͡s ɛ
vesz	v ɛ s
vették	v ɛ tː eː k
vezetését	v ɛ z ɛ t eː ʃ eː t
vezetője	v ɛ z ɛ t øː j ɛ
vicces	v i t͡sː ɛ ʃ
villant	v i lː ɒ n t
világháborús	v i l aː k h aː b o r uː ʃ
vivát	v i v aː t
vizuális	v i z u aː l i ʃ
vonalak	v o n ɒ l ɒ k
vonalon	v o n ɒ l o n
vonások	v o n aː ʃ o k
válaszul	v aː l ɒ s u l
várható	v aː r ɦ ɒ t oː
város	v aː r o ʃ
városa	v aː r o ʃ ɒ
városba	v aː r o ʒ b ɒ
városokat	v aː r o ʃ o k ɒ t
városokban	v aː r o ʃ o ɡ b ɒ n
víz	v iː z
vízbe	v iː z b ɛ
zenekar	z ɛ n ɛ k ɒ r
zsolt	ʒ o l t
zsűri	ʒ yː r i
zárják	z aː r j aː k
állampolgárságú	aː lː ɒ m p o l ɡ aː r ʃ aː ɡ uː
általunk	aː l t ɒ l u ŋ k
átfogó	aː t f o ɡ oː
élesen	eː l ɛ ʃ ɛ n
élje	eː jː ɛ
én	eː n
ér	eː r
értelemben	eː r t ɛ l ɛ m b ɛ n
értelmet	eː r t ɛ l m ɛ t
érvényes	eː r v eː ɲ ɛ ʃ
érvényesek	eː r v eː ɲ ɛ ʃ ɛ k
évi	eː v i
évszázad	eː f s aː z ɒ d
évszázadok	eː f s aː z ɒ d o k
évtizedekben	eː f t i z ɛ d ɛ ɡ b ɛ n
ökumenikus	ø k u m ɛ n i k u ʃ
ölt	ø l t
önmaga	ø mː ɒ ɡ ɒ
ördögök	ø r d ø ɡ ø k
összege	ø sː ɛ ɡ ɛ
összegyűlik	ø sː ɛ ɟ yː l i k
ötvenedik	ø t v ɛ n ɛ d i k
úr	uː r
ült	y l t
üzletek	y z l ɛ t ɛ k
őt	øː t
űrállomás	yː r aː lː o m aː ʃ
