aanbrengertje	aː n b r ɛ ŋ ə r t j ə
aandelenemissie	aː n d eː l ə n eː m ɪ s i
aankooien	aː n k oː i̯ ə n
aansmeden	aː n s m eː d ə n
aantal	aː n t ɑ l
aantocht	aː n t ɔ x t
aard	aː r t
aardhoop	aː r t ɦ oː p
aardslang	aː r t s l ɑ ŋ
aarswis	aː r s ʋ ɪ s
achterbuurt	ɑ x t ə r b yː r t
achterhuis	ɑ x t ə r ɦ œ y̯ s
achternicht	ɑ x t ə r n ɪ x t
achtertocht	ɑ x t ə r t ɔ x t
acrostichon	aː k r ɔ s t i x ɔ n
addergebroed	ɑ d ə r ɣ ə b r u t
adeldom	aː d ə l d ɔ m
ademnood	aː d ə m n oː t
adenoom	aː d ə n oː m
adrenocorticaal	aː d r eː n oː k ɔ r t i k aː l
adrie	aː d r i
afbedelen	ɑ f b eː d ə l ə n
afbreken	ɑ v b r eː k ə n
afgaan	ɑ f x aː n
afgodisch	ɑ f x oː d i s
afstraffing	ɑ f s t r ɑ f ɪ ŋ
aftroeven	ɑ f t r u v ə n
afwerking	ɑ f ʋ ɛ r k ɪ ŋ
aldaar	ɑ l d aː r
aldehyde	ɑ l d ə ɦ i d ə
alledaagsheid	ɑ l ə d aː x s ɦ ɛ i̯ t
alruin	ɑ l r œ y̯ n
ambras	ɑ m b r ɑ s
ambt	ɑ m p t
amfibisch	ɑ m f i b i s
analyse	aː n aː l iː z ə
anatomie	aː n aː t oː m i
angola	ɑ ŋ ɣ oː l aː
angstgegner	ɑ ŋ s t ɡ eː ɡ n ə r
anneke	ɑ n ə k ə
arbeidsman	ɑ r b ɛ i̯ t s m ɑ n
arbeidspool	ɑ r b ɛ i̯ t s p uː l
archivarius	ɑ r x i v aː r i ʏ s
archont	ɑ r x ɔ n t
armeens	ɑ r m eː n s
artsenijkunde	ɑ r t s ə n ɛ i̯ k ʏ n d ə
baarmoederhals	b aː r m u d ə r ɦ ɑ l s
baboes	b aː b u s
bakkerij	b ɑ k ə r ɛ i̯
bakt	b ɑ k t
bami	b aː m i
bandsperfilter	b ɑ n t s p ɛ r f ɪ l t ə r
bangerik	b ɑ ŋ ə r ɪ k
barones	b aː r ɔ n ɛ s
bastaardklaproos	b ɑ s t aː r t k l ɑ p r oː s
beboeting	b ə b u t ɪ ŋ
bedek	b ə d ɛ k
bedekken	b ə d ɛ k ə n
bedekte	b ə d ɛ k t ə
bedlamp	b ɛ t l ɑ m p
bedremmelen	b ə d r ɛ m ə l ə n
bedvriendin	b ɛ t f r i n d ɪ n
begeerd	b ə ɣ eː r t
begeren	b ə ɣ eː r ə n
behandelaar	b ə ɦ ɑ n d ə l aː r
behandelen	b ə ɦ ɑ n d ə l ə n
behartenswaardig	b ə ɦ ɑ r t ə n s ʋ aː r d ə x
bei	b ɛ i̯
beklijven	b ə k l ɛ i̯ v ə n
bekroning	b ə k r oː n ɪ ŋ
belastingdruk	b ə l ɑ s t ɪ ŋ d r ʏ k
beletsel	b ə l ɛ t s ə l
benaaien	b ə n aː i̯ ə n
bengaals	b ɛ ŋ ɣ aː l s
bereider	b ə r ɛ i̯ d ə r
bermlamp	b ɛ r m l ɑ m p
berokken	b ə r ɔ k ə n
besparen	b ə s p aː r ə n
beter	b eː t ə r
betuttelen	b ə t ʏ t ə l ə n
bewettigen	b ə ʋ ɛ t ə ɣ ə n
bewijsmiddel	b ə ʋ ɛ i̯ s m ɪ d ə l
bewolking	b ə ʋ ɔ l k ɪ ŋ
bewoording	b ə ʋ oː r d ɪ ŋ
bezabberen	b ə z ɑ b ə r ə n
bidon	b i d ɔ n
bierazijn	b iː r aː z ɛ i̯ n
bierbrouwer	b iː r b r ɑ u̯ ə r
bijwerking	b ɛ i ʋ ɛ r k ɪ ŋ
bijwoord	b ɛ i̯ ʋ oː r t
binden	b ɪ n d ə n
binnentrekken	b ɪ n ə n t r ɛ k ə n
biosfeer	b i oː s f eː r
bisdom	b ɪ s d ɔ m
bivakkeren	b i v ɑ k eː r ə n
bladgroente	b l ɑ t x r u n t ə
blaren	b l aː r ə n
bloedschande	b l u t s x ɑ n d ə
boenen	b u n ə n
boevengilde	b u v ə n ɣ ɪ l d ə
bom	b ɔ m
bondgenoot	b ɔ n t x ə n oː t
botergeil	b oː t ə r ɣ ɛ i̯ l
bovenbuur	b oː v ə n b yː r
bovenwinds	b oː v ə n ʋ ɪ n t s
branden	b r ɑ n d ə n
brandweervrouw	b r ɑ n t ʋ eː r v r ɑ u̯
breinaald	b r ɛ i̯ n aː l t
breinvlies	b r ɛ i̯ n v l i s
broeden	b r u d ə n
broer	b r uː r
brokken	b r ɔ k ə n
brombeer	b r ɔ m b eː r
brooche	b r oː x ə
buikworm	b œ y̯ k ʋ ɔ r m
buis	b œ y̯ s
bunker	b ʏ ŋ k ə r
canapé	k aː n aː p eː
cassette	k ɑ s ɛ t ə
chemicaliëntanker	x eː m i k aː l i ə n t ɛ ŋ k ə r
circumfix	s ɪ r k ʏ m f ɪ k s
citroenappel	s i t r u n ɑ p ə l
corrie	k ɔ r i
curiosum	k yː r i oː z ʏ m
cytoskelet	s i t oː s k ə l ɛ t
dagvaarden	d ɑ x f aː r d ə n
dam	d ɑ m
dapper	d ɑ p ə r
debiteur	d eː b i t øː r
delen	d eː l ə n
demoduleren	d eː m oː d y l eː r ə n
dempen	d ɛ m p ə n
dichtkundig	d ɪ x t k ʏ n d ə x
dierenrechtenactivisme	d iː r ə n r ɛ x t ə n ɑ k t i v ɪ s m ə
dierenwelzijn	d iː r ə n ʋ ɛ l z ɛ i̯ n
dierhalve	d iː r ɦ ɑ l v ə
dierperk	d iː r p ɛ r k
dobber	d ɔ b ə r
doodgegaan	d oː t x ə ɣ aː n
dooiaanval	d oː i̯ aː n v ɑ l
doordrijven	d oː r d r ɛ i̯ v ə n
dopers	d oː p ə r s
drekpoëet	d r ɛ k p oː eː t
duffels	d ʏ f ə l s
duivenhuis	d œ y̯ v ə n ɦ œ y̯ s
dukaat	d y k aː t
ecoduct	eː k oː d ʏ k t
eiken	ɛ i̯ k ə n
elk	ɛ l k
endocarp	ɛ n d oː k ɑ r p
epigrafisch	eː p i ɣ r aː f i s
epoche	eː p ɔ x ə
ernstvuurwerk	ɛ r n s t f yː r ʋ ɛ r k
factie	f ɑ k s i
factureren	f ɑ k t y r eː r ə n
faunist	f ɑ u̯ n ɪ s t
filtervoeder	f ɪ l t ə r v u d ə r
flipperspel	f l ɪ p ə r s p ɛ l
fonkelen	f ɔ ŋ k ə l ə n
fonologie	f o n ɔ l ɔ ɣ i
fosfaat	f ɔ s f aː t
galliër	ɣ ɑ l i ə
gedaagde	ɣ ə d aː x d ə
gedachtig	ɣ ə d ɑ x t ə x
geduldig	ɣ ə d ʏ l d ə x
gegrepen	ɣ ə ɣ r eː p ə n
geldigheid	ɣ ɛ l d ə x ɦ ɛ i̯ t
gemoeder	ɣ ə m u d ə r
genitiefobject	ɣ eː n i t i f ɔ p j ɛ k t
genua	ɣ eː n y ʋ aː
gevaar	ɣ ə v aː r
gezinsmoord	ɣ ə z ɪ n s m oː r t
geïnterviewde	ɣ ə ɪ n t ə r v j u d ə
gleuf	ɣ l øː f
gloed	ɣ l u t
godheid	ɣ ɔ t ɦ ɛ i̯ t
goeie	ɣ u j ə
golfpapier	ɣ ɔ l f p aː p iː r
groeneveld	ɣ r u n ə v ɛ l t
gruwel	ɣ r y ə l
haai	ɦ aː i̯
hammam	ɦ ɑ m ɑ m
hang	ɦ ɑ ŋ
heggenmus	ɦ ɛ ɣ ə n m ʏ s
heidendom	ɦ ɛ i̯ d ə n d ɔ m
helena	ɦ eː l eː n aː
hem	ɦ ɛ m
hersenkind	ɦ ɛ r s ə n k ɪ n t
heterogeniteit	ɦ eː t ə r oː ɣ eː n i t ɛ i̯ t
heur	ɦ øː r
hongaars	ɦ ɔ ŋ ɣ aː r s
hoorzitting	ɦ oː r z ɪ t ɪ ŋ
hospitaalkerkschip	ɦ ɔ s p i t aː l k ɛ r k s x ɪ p
houtprent	ɦ ɑ u̯ t p r ɛ n t
hugenoot	ɦ y ɣ ə n oː t
icoon	i k oː n
ijsbeer	ɛ i̯ s b eː r
ijshoen	ɛ i̯ s ɦ u n
ijsplateau	ɛ i̯ s p l aː t oː
inchoatief	ɪ ŋ x oː aː t i f
ingewanden	ɪ n ɣ ə ʋ ɑ n d ə n
instrument	ɪ n s t r y m ɛ n t
interviews	ɪ n t ə r v j u s
jenevervrienden	j ə n eː v ə r v r i n d ə n
jurk	j ʏ r k
kaas	k aː s
kalefateren	k aː l ə f aː t ə r ə n
kan	k ɑ n
kapmes	k ɑ p m ɛ s
karbouw	k ɑ r b ɑ u̯
katoen	k aː t u n
kattenkruid	k ɑ t ə n k r œ y̯ t
keek	k eː k
kernfysica	k ɛ r n f i z i k aː
kerosine	k eː r oː z i n ə
kerriepoeder	k ɛ r i p u d ə r
kiesstelsel	k i s t ɛ l s ə l
kijkoperatie	k ɛ i̯ k oː p ə r aː t s i
kikker	k ɪ k ə r
klapper	k l ɑ p ə r
klappernoot	k l ɑ p ə r n oː t
klauwen	k l ɑ u̯ ə n
kleden	k l eː d ə n
kleinodiën	k l ɛ i̯ n oː d i ə n
klimaat	k l i m aː t
kling	k l ɪ ŋ
klootzak	k l oː t z ɑ k
knap	k n ɑ p
knappen	k n ɑ p ə n
knekelstad	k n eː k ə l s t ɑ t
knil	k n ɪ l
koemelk	k u m ɛ l k
kokerjuffer	k oː k ə r j ʏ f ə r
kombuis	k ɔ m b œ y̯ s
kommavlinder	k ɔ m aː v l ɪ n d ə r
kortheidshalve	k ɔ r t ɦ ɛ i̯ t s ɦ ɑ l v ə
kosmonaut	k ɔ s m oː n ɑ u̯ t
kost	k ɔ s t
kozijn	k oː z ɛ i̯ n
kraamwijn	k r aː m ʋ ɛ i̯ n
krant	k r ɑ n t
krentenbol	k r ɛ n t ə n b ɔ l
lactoscoop	l ɑ k t oː s k oː p
landadel	l ɑ n t aː d ə l
langharig	l ɑ ŋ ɦ aː r ə x
langtong	l ɑ ŋ t ɔ ŋ
lauwerkrans	l ɑ u̯ ə r k r ɑ n s
ledebraken	l eː d ə b r aː k ə n
leren	l eː r ə n
levensbeschrijving	l eː v ə n s b ə s x r ɛ i̯ v ɪ ŋ
lever	l eː v ə r
leverpastei	l eː v ə r p ɑ s t ɛ i̯
lezer	l eː z ə r
lipstick	l ɪ p s t ɪ k
loempia	l u m p i aː
luchtbombardement	l ʏ x t b ɔ m b ɑ r d ə m ɛ n t
luteren	l y t eː r ə n
makreel	m aː k r eː l
mandril	m ɑ n d r ɪ l
martyrium	m ɑ r t iː r i ʏ m
matrijs	m aː t r ɛ i̯ s
matroos	m aː t r oː s
meerjarig	m eː r j aː r ə x
meetinstrument	m eː t ɪ n s t r y m ɛ n t
mekander	m ə k ɑ n d ə r
mensachtige	m ɛ n s ɑ x t ə ɣ ə
mezekouw	m eː z ə k ɑ u̯
middenin	m ɪ d ə n ɪ n
miezerd	m i z ə r t
mijnwerkershelm	m ɛ i̯ n ʋ ɛ r k ə r s ɦ ɛ l m
milonga	m i l ɔ ŋ ɡ aː
miltvuurbos	m ɪ l t f yː r b ɔ s
minister	m i n ɪ s t ə r
minziek	m ɪ n z i k
mis	m ɪ s
monique	m oː n i k
monocultuur	m oː n oː k ʏ l t yː r
moorden	m oː r d ə n
moorkop	m oː r k ɔ p
mouillering	m u i̯ eː r ɪ ŋ
muf	m ʏ f
naargelang	n aː r ɣ ə l ɑ ŋ
nachtpo	n ɑ x t p oː
nachtpot	n ɑ x t p ɔ t
nageboorte	n aː ɣ ə b oː r t ə
nasaleren	n aː z aː l eː r ə n
nasmaak	n aː s m aː k
natiestaat	n aː t s i s t aː t
natuurgids	n aː t uː r ɣ ɪ t s
net	n ɛ t
noordvaarder	n oː r t f aː r d ə r
ochtendhumeur	ɔ x t ə n t ɦ y m øː r
oliemolen	oː l i m oː l ə n
onaards	ɔ n aː r t s
oncoloog	ɔ n k oː l oː x
onderscheidend	ɔ n d ə r s x ɛ i̯ d ə n t
ondicht	ɔ n d ɪ x t
ongehoorzaamheid	ɔ n ɣ ə ɦ ɔː r z aː m ɦ ɛ i̯ t
ontbossen	ɔ n t b ɔ s ə n
ontfermen	ɔ n t f ɛ r m ə n
ontgrendelen	ɔ n t ɣ r ɛ n d ə l ə n
ontluizen	ɔ n t l œ y̯ z ə n
ontnemen	ɔ n t n eː m ə n
ontworstelen	ɔ n t ʋ ɔ r s t ə l ə n
onzichtbaarheid	ɔ n z ɪ x t b aː r ɦ ɛ i̯ t
oorlogvoering	oː r l ɔ x f uː r ɪ ŋ
oplichtster	ɔ p l ɪ x t s t ə r
organist	ɔ r ɣ aː n ɪ s t
overhalen	oː v ə r ɦ aː l ə n
overmoed	oː v ə r m u t
paard	p aː r t
paardenfluisteraar	p aː r d ə n f l œ y̯ s t ə r aː r
paasbaken	p aː s b aː k ə n
paasfeest	p aː s f eː s t
pakt	p ɑ k t
paradepaard	p aː r aː d ə p aː r t
parendans	p aː r ə n d ɑ n s
paringsdans	p aː r ɪ ŋ s d ɑ n s
pergamum	p ɛ r ɣ aː m ʏ m
perifrastisch	p eː r i f r ɑ s t i s
pijpensteel	p ɛ i̯ p ə n s t eː l
pimpel	p ɪ m p ə l
pinakel	p i n aː k ə l
plezierjacht	p l ə z iː r j ɑ x t
plosief	p l oː z i f
pluim	p l œ y̯ m
pluk	p l ʏ k
poppen	p ɔ p ə n
portret	p ɔ r t r ɛ t
potentie	p oː t ɛ n s i
prisoen	p r i z u n
proef	p r u f
prostituee	p r ɔ s t i t y eː
pyriet	p iː r i t
reddingsvest	r ɛ d ɪ ŋ s f ɛ s t
regentes	r eː ɣ ɛ n t ɛ s
remparachute	r ɛ m p aː r aː ʃ y t
rentmeester	r ɛ n t m eː s t ə r
roodbaars	r oː t b aː r s
roofkunst	r oː f k ʏ n s t
rotjeknor	r ɔ t j ə k n ɔ r
rotten	r ɔ t ə n
salto	s ɑ l t oː
sappig	s ɑ p ə x
saterfries	s aː t ə r f r i s
scalperen	s k ɑ l p eː r ə n
scapulier	s k aː p y l iː r
schans	s x ɑ n s
schatting	s x ɑ t ɪ ŋ
schizofreen	s x i t s oː f r eː n
scrip	s k r ɪ p
selderij	s ɛ l d ə r ɛ i̯
seraf	s eː r ɑ f
serafijn	s eː r aː f ɛ i̯ n
sirene	s i r ɛ n ə
sjacheren	ʃ ɑ x ə r ə n
slagboom	s l ɑ x b oː m
sloegen	s l u ɣ ə n
sluier	s l œ y̯ ə r
smaadrede	s m aː t r eː d ə
smeltpunt	s m ɛ l t p ʏ n t
smetstof	s m ɛ t s t ɔ f
smetvrees	s m ɛ t f r eː s
sneer	s n eː r
snoepreep	s n u p r eː p
spandoek	s p ɑ n d u k
speelfilm	s p eː l f ɪ l m
spelleider	s p ɛ l ɛ i̯ d ə r
spierwit	s p iː r ʋ ɪ t
spinhuis	s p ɪ n ɦ œ y̯ s
spookstad	s p oː k s t ɑ t
stabiel	s t aː b i l
stamhoofd	s t ɑ m ɦ oː f t
stamkroeg	s t ɑ m k r u x
steenvrucht	s t eː n v r ʏ x t
sterrenbeeld	s t ɛ r ə n b eː l t
stik	s t ɪ k
stink	s t ɪ ŋ k
stoottoon	s t oː t oː n
stram	s t r ɑ m
tamil	t aː m i l
tandplak	t ɑ n t p l ɑ k
tas	t ɑ s
taxi	t ɑ k s i
teerzand	t eː r z ɑ n t
tekenen	t eː k ə n ə n
themapark	t eː m aː p ɑ r k
theose	t eː oː z ə
tittel	t ɪ t ə l
tjiftjaf	t j ɪ f t j ɑ f
toerfiets	t uː r f i t s
toonladder	t oː n l ɑ d ə r
torren	t ɔ r ə n
tovergodin	t oː v ə r ɣ oː d ɪ n
transmens	t r ɑ n s m ɛ n s
triplan	t r i p l ɑ n
troef	t r u f
tsarendynastie	t s aː r ə n d i n ɑ s t i
tuigleren	t œ y̯ x l eː ə r n
tuinstad	t œ y̯ n s t ɑ t
uitdelgen	œ y̯ d ɛ l ɣ ə n
uitspraakwoordenboekjes	œ y̯ t s p r aː k ʋ oː r d ə n b u k j ə s
uitstellen	œ y̯ t s t ɛ l ə n
uitwerpsel	œ y̯ t ʋ ɛ r p s ə l
valg	v ɑ l x
vangt	v ɑ ŋ t
vaticaanstad	v aː t i k aː n s t ɑ t
veteraantje	v e t e r a n t j ə
veto	v eː t oː
viel	v i l
vierkant	v iː r k ɑ n t
vliegtuigslurf	v l i x t œ y̯ x s l ʏ r f
voetafdruk	v u t ɑ f d r ʏ k
voor	v oː r
voorbeeldzin	v oː r b eː l t s ɪ n
voorgebergte	v oː r ɣ ə b ɛ r x t ə
voorpoot	v oː r p oː t
vrijspraak	v r ɛ i̯ s p r aː k
vuurzee	v yː r z eː
waakvlam	ʋ aː k f l ɑ m
wade	ʋ aː d ə
wagenpark	ʋ aː ɣ ə n p ɑ r k
wederhalen	ʋ eː d ə r ɦ aː l ə n
wind	ʋ ɪ n t
windstoot	ʋ ɪ n t s t oː t
wiri	ʋ i r i
woekerhypotheek	ʋ u k ə r ɦ i p oː t eː k
woen	ʋ u n
wolven	ʋ ɔ l v ə n
wormvormig	ʋ ɔ r m v ɔ r m ə x
wortelen	ʋ ɔ r t ə l ə n
xylofoon	k s i l oː f oː n
zaan	z aː n
zandvoort	z ɑ n t f oː r t
zaterdag	z aː t ə r d ɑ x
zegswijze	z ɛ x s ʋ ɛ i̯ z ə
zenuwoorlog	z eː n y u̯ oː r l ɔ x
zieder	z i d ə r
zinnebeeld	z ɪ n ə b eː l t
zinnelijk	z ɪ n ə l ə k
zitskiester	z ɪ t s k i s t ə r
zomer	z oː m ə r
zona	z oː n aː
zorgen	z ɔ r ɣ ə n
zowat	z oː ʋ ɑ t
zowel	z oː ʋ ɛ l
zoönotisch	z oː oː n oː t i s
zuivering	z œ y̯ v ə r ɪ ŋ
zullen	z ʏ l ə n
zwemvlies	z ʋ ɛ m v l i s
